typeid,posx,posy,dir
4930,358,548,0
4930,368,557,8
4930,351,549,8
4930,362,572,6
4931,356,577,8
4931,363,551,6
4931,342,576,6
4931,350,578,8
4930,348,604,10
4930,342,599,6
4930,356,608,10
4931,427,588,14
4930,313,616,14
4930,316,606,2
4930,319,614,4
4930,292,639,8
4930,286,635,6
4930,295,633,6
4933,279,587,2
4933,289,591,0
4933,292,582,14
4933,299,585,12
4933,287,558,0
4933,276,548,0
4933,295,549,14
4933,293,540,0
4934,401,743,8
4932,436,748,6
4932,437,740,4
4932,435,744,4
4932,467,740,6
4932,462,737,8
4932,466,736,6
4932,408,764,6
4932,404,763,10
4933,406,759,8
4933,371,688,6
4933,369,679,6
4933,362,674,8
4932,422,639,10
4932,426,632,8
4931,392,623,12
4931,385,613,12
4931,394,616,12
4932,375,652,10
4932,381,654,6
4932,371,658,12
4935,381,793,4
4935,372,791,0
4935,364,791,0
4935,364,803,8
4935,373,802,8
4935,382,801,4
4935,338,840,8
4935,347,840,8
4935,336,848,4
4935,349,848,12
4935,334,890,6
4935,334,899,6
4935,356,893,10
4935,355,884,10
4935,354,876,10
4935,333,907,6
4935,334,946,4
4935,334,937,4
4935,401,923,2
4935,406,935,0
4935,411,928,14
4935,406,915,0
4935,411,923,14
4935,468,996,12
4935,468,988,12
4935,474,894,0
4935,483,894,0
4935,474,885,0
4935,483,885,0
4935,476,996,12
4935,478,988,12
4935,480,853,12
4935,480,844,12
4935,489,853,12
4935,489,844,12
4935,411,919,14
4935,401,919,2
4935,401,928,2
4935,401,932,2
4935,411,932,14
4935,486,805,12
4935,486,795,12
4935,477,805,12
4935,477,795,12
4930,343,611,6
4933,357,641,8
4933,365,638,8
4933,373,634,10
4933,362,630,10
4931,434,590,10
4931,463,570,14
4931,473,573,14
4931,466,577,12
4932,395,685,8
4932,400,690,6
4932,395,692,8
4939,417,534,10
4951,420,791,12
4936,406,890,8
4941,358,689,14
4945,474,546,4
4946,475,539,8
4947,484,526,14
4948,488,529,8
4949,465,531,8
4940,482,591,2
4943,454,992,10
4942,323,943,4
4944,457,806,14
4957,473,991,8
4958,479,889,8
4959,486,848,8
4960,484,799,8
4937,494,536,14
4935,384,974,10
4935,386,967,12
4935,428,955,12
4935,428,946,12
4935,334,932,4
4935,334,953,4
4935,433,951,12
4935,401,828,8
4935,411,828,8
4935,404,823,8
4935,408,823,8
4950,405,837,8
4933,278,701,10
4933,283,694,8
4933,289,690,8
4932,463,665,6
4932,464,656,8
4932,471,666,4
4932,480,600,8
4932,489,597,10
4932,489,605,10
4933,405,711,8
4933,395,711,8
4933,400,714,8
4931,425,583,10
4931,391,609,10
4930,282,629,8
4930,324,620,4
4930,478,549,14
4930,487,549,14
4930,489,535,14
4931,469,531,0
4931,485,531,14
4931,473,526,0
4931,470,545,0
4931,493,527,0
5037,321,942,6
