,主角模型ID[int],,门派[int],出生场景[string],出生位置[int;int],装备衣服[int],装备手套[int],装备鞋子[int],装备武器[int],道具包携带道具[int;int;...],"特殊道具携带[int,int,int,int;int,int,int,int;...]",副法宝1[int],携带技能[int;int;...],增加快捷栏[skill:int;item:int;misc:int;...],说明,炉石NpcId,备注
ID,ModelID,CareerName,PartyID,BornScene,BornPosition,Dress,Glove,Shoes,Weapon,ItemBag,ItemEx,SubTrump1,Skill,AddShortcut,Readme,HomeStoneNpcId,Remark
1,101,$L:actor_emeinan$,0,,373;1188,0,0,0,,380;381;8023;5998,,,1;52;53,201;202;misc:3;item:380;item:381;misc:1;misc:2;misc:4;,$L:emIndex$,4373,
2,106,$L:actor_emeinv$,0,,373;1188,0,0,0,,380;381;8023;5998,,,1;52;53,201;202;misc:3;item:380;item:381;misc:1;misc:2;misc:4;,$L:emIndex$,4373,
3,102,$L:actor_fomennan1$,1,,373;1188,0,0,0,,380;8021;5998,,,1;54;55,401;402;misc:3;item:380;misc:1;misc:2;misc:4;,$L:fmIndex$,4373,
4,0,$L:actor_fomennan2$,1,,373;1188,0,0,0,,380;8021;5998,,,1;54;55,401;402;misc:3;item:380;misc:1;misc:2;misc:4;,$L:fmIndex$,4373,
5,104,$L:actor_qingcheng1$,2,,373;1188,0,0,0,,380;8024;5998,,,1;58;59,501;502;misc:3;item:380;misc:1;misc:2;misc:4;,$L:qcIndex$,4373,
6,0,$L:actor_qingcheng2$,2,,373;1188,0,0,0,,380;8024;5998,,,1;58;59,501;502;misc:3;item:380;misc:1;misc:2;misc:4;,$L:qcIndex$,4373,
7,0,$L:actor_baihuanan$,3,,373;1188,0,0,0,,380;381;8022;5998,,,1;56;57,305;307;misc:3;item:380;item:381;misc:1;misc:2;misc:4;,$L:bhIndex$,4373,
8,103,$L:actor_baihuanv$,3,,373;1188,0,0,0,,380;381;8022;5998,,,1;56;57,305;307;misc:3;item:380;item:381;misc:1;misc:2;misc:4;,$L:bhIndex$,4373,
9,0,$L:actor_xianqingnan$,4,,373;1188,0,0,0,,380;381;8025;5998,,,1;60;61;21;22,601;602;misc:3;item:380;item:381;misc:1;misc:2;misc:4;,$L:xqIndex$,4373,
10,105,$L:actor_xianqingnv$,4,,373;1188,0,0,0,,380;381;8025;5998,,,1;60;61;21;22,601;602;misc:3;item:380;item:381;misc:1;misc:2;misc:4;,$L:xqIndex$,4373,
