33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,说明,门派,部位,,品质,价值倍率,物理防御,主属性,体质,力量,敏捷,智力,道具等级,最大修炼等级,装备需求等级,法宝超级等级,闪躲,爆击,招架,hp回复,mp回复,闪躲率,爆击率,招架率,法术防御1,法术防御2,法术防御3,法术防御4,法术防御5,最大hp+x%,,,,,,,,,,,,,,,,,
ID,Desc,FactorParty,FactorType,FactorSubType,FactorColor,ValueRate,pPhyArmor,pMAttr,pCon,pStr,pDex,pWit,pItemLevel,pTrumpMaxUpdateLevel,pItemNeedLevel,pTrumpSuperLevel,pDodge,pCriticalHit,pParry,pHpRecover,pMpRecover,pDodgeRate,pCirticalHitRate,pParryRate,pMagicArmor1,pMagicArmor2,pMagicArmor3,pMagicArmor4,pMagicArmor5,pMaxHpRate,,,,,,,,,,,,,,,,,
1,护具,5,3;4;5;6;7;8,,1,1.3,,ItemGetMAttr*1+1,ItemGetCon*1+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,护具,5,3;4;5;6;7;8,,1,1.3,,,ItemGetCon*1.25+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,护具,5,3;4;5;6;7;8,,1,1.3,,ItemGetMAttr*1.25+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,护具,5,3;4;5;6;7;8,,2,1.6,,ItemGetMAttr*1+2,ItemGetCon*1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,护具,5,3;4;5;6;7;8,,2,1.6,,,ItemGetCon*1.25+2,,,,,,,,ItemGetDodge*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,护具,5,3;4;5;6;7;8,,2,1.6,,ItemGetMAttr*1.25+2,,,,,,,,,,ItemGetCHit*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,护具,5,3;4;5;6;7;8,,3,2,,ItemGetMAttr*1+3,ItemGetCon*1+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,护具,5,3;4;5;6;7;8,,3,2,,,ItemGetCon*1.25+3,,,,,,,,ItemGetDodge*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,护具,5,3;4;5;6;7;8,,3,2,,ItemGetMAttr*1.25+3,,,,,,,,,,ItemGetCHit*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,护具,,,,0,2,"DRRToArmor(0.20,60)/6+2",ItemGetMAttr*1+3,ItemGetCon*1+3,,,,,,,,ItemGetDodge*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,护具,,,,0,2,,,ItemGetCon*1.25+3,,,,,,,,,ItemGetCHit*1,,,,,,,"DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2","DRRToArmor(0.20,60)/6+2",,,,,,,,,,,,,,,,,,
