typeid,posx,posy,dir
3325,137,29,0
3316,142,64,8
3316,149,64,8
3316,143,85,0
3316,149,85,8
3316,156,85,0
3316,135,108,8
3316,136,112,8
3316,168,101,0
3316,173,101,8
3316,170,122,0
3316,177,118,8
3316,174,123,0
3316,109,128,8
3316,119,121,0
3316,112,123,8
3316,127,137,0
3316,123,138,8
3316,165,146,0
3316,171,143,8
3317,186,97,14
3317,186,95,6
3317,188,92,14
3317,196,78,6
3317,200,77,14
3317,205,78,6
3317,214,97,14
3317,210,93,6
3317,208,96,14
3317,205,111,6
3317,200,107,14
3317,198,102,6
3317,215,133,14
3317,217,128,6
3317,211,130,14
3317,208,158,6
3317,208,146,14
3317,202,144,6
3317,199,130,8
3317,192,130,6
3318,39,184,8
3318,49,176,0
3318,53,182,8
3318,37,155,0
3318,44,150,8
3318,52,146,0
3318,49,126,8
3318,46,119,0
3318,54,117,8
3318,44,96,0
3318,49,91,8
3318,58,90,0
3318,79,106,8
3318,76,101,0
3318,82,96,8
3318,87,129,0
3318,91,127,8
3318,95,118,0
3318,76,155,8
3318,81,162,0
3318,103,177,8
3318,107,172,0
3318,113,167,8
3318,113,195,0
3318,119,189,8
3317,164,173,8
3317,155,168,0
3317,149,166,8
3317,149,190,8
3317,142,188,8
3316,138,150,8
3316,146,150,0
3316,128,175,8
3316,134,172,0
3319,139,213,8
3316,138,108,8
3320,126,255,8
3320,133,256,0
3320,141,256,8
3320,126,273,6
3320,136,273,0
3321,133,278,8
3321,133,298,8
3321,142,297,0
3321,193,336,8
3321,193,329,0
3321,187,332,8
3320,107,336,4
3320,106,330,12
3320,113,330,4
3320,127,357,6
3320,135,357,14
3320,142,357,6
3321,162,337,8
3321,162,330,0
3321,162,322,8
3321,80,416,0
3321,83,409,8
3321,102,392,0
3321,176,400,2
3321,181,404,0
3321,181,396,8
3321,202,407,0
3321,206,401,8
3321,127,465,8
3321,132,459,0
3321,136,453,8
3320,109,391,8
3320,152,417,12
3320,211,408,8
3320,214,385,0
3320,218,382,8
3320,37,391,0
3320,41,387,8
3320,42,378,0
3320,88,415,8
3322,50,467,8
3322,56,467,0
3322,63,466,8
3322,102,441,0
3322,109,441,8
3322,115,439,0
3322,167,475,12
3322,167,469,12
3322,173,472,12
3322,195,478,12
3323,233,468,12
3322,228,471,10
3322,228,464,12
3322,217,478,10
3321,196,471,12
3321,197,487,12
3321,216,456,10
3321,203,446,12
3322,224,443,12
3322,201,450,14
3322,202,454,14
3322,219,483,10
3322,214,459,10
3322,226,446,12
3322,90,471,8
3322,86,464,0
3322,93,465,8
3322,133,428,0
3322,139,429,8
3326,152,100,4
3320,150,413,12
3320,148,409,14
3320,212,380,8
