,合成名称,需要技能,需要技能等级,产品,材料,材料个数,颜色概率,说明,卷轴学习
ID,Name,NeedSkill,NeedSkillLev,Product,Materials,MaterialNums,ColorRate,Desc,NeedActive
1,$L:compose_1$,14,1,2025,2000;,2,,,0
2,$L:compose_2$,14,1,2026,2001;,2,,,0
3,$L:compose_3$,14,1,2023,2000;2002;,2;2,,,0
4,$L:compose_4$,14,1,2024,2001;2002;,2;2,,,0
5,$L:compose_5$,14,2,2041,2003;,2,,,0
6,$L:compose_6$,14,2,2042,2004;,2,,,0
7,$L:compose_7$,14,2,2039,2003;2005,2;2,,,0
8,$L:compose_8$,14,2,2040,2004;2005,2;2,,,0
9,$L:compose_9$,14,3,2045,2006;,2,,,0
10,$L:compose_10$,14,3,2046,2007;,2,,,0
11,$L:compose_11$,14,3,2043,2006;2008;,2;2,,,0
12,$L:compose_12$,14,3,2044,2007;2008;,2;2,,,0
13,$L:compose_13$,14,4,2049,2009;,2,,,0
14,$L:compose_14$,14,4,2050,2010;,2,,,0
15,$L:compose_15$,14,4,2047,2009;2011;,2;2,,,0
16,$L:compose_16$,14,4,2048,2010;2011;,2;2,,,0
17,$L:compose_17$,14,5,2053,2012;,2,,,0
18,$L:compose_18$,14,5,2054,2013;,2,,,0
19,$L:compose_19$,14,5,2051,2012;2014,2;2,,,0
20,$L:compose_20$,14,5,2052,2013;2014,2;2,,,0
21,$L:compose_21$,15,1,2030,2015;,2,,,0
22,$L:compose_22$,15,1,2031,2016;,2,,,0
23,$L:compose_23$,15,2,2055,2017;,2,,,0
24,$L:compose_24$,15,2,2056,2018;,2,,,0
25,$L:compose_25$,15,3,2057,2019;,2,,,0
26,$L:compose_26$,15,3,2058,2020;,2,,,0
27,$L:compose_27$,15,4,2059,2021;,2,,,0
28,$L:compose_28$,15,4,2060,2022;,2,,,0
29,$L:compose_29$,15,5,2061,2063;,2,,,0
30,$L:compose_30$,15,5,2062,2064;,2,,,0
31,$L:compose_31$,24,1,3515,500;2015;3725,2;2;2,,,0
32,$L:compose_32$,24,3,3516,502;2019;3729,2;2;2,,,0
33,$L:compose_33$,24,5,3517,504;514;2063;3733,2;2;2;4,,,0
34,$L:compose_34$,24,8,3518,506;516,2;2,,,0
35,$L:compose_35$,24,10,3519,508;518,2;2,,,0
41,$L:compose_41$,24,2,3525,501;2017;3727,2;2;2,,,0
42,$L:compose_42$,24,4,3526,503;2021;3731,2;2;2,,,0
43,$L:compose_43$,24,6,3527,505;515;4877;4882,2;2;2;4,,,0
44,$L:compose_44$,24,8,3528,507;517,2;2,,,0
45,$L:compose_45$,24,10,3529,509;519,2;2,,,0
51,$L:compose_51$,24,2,3535,501;2018;3728,2;2;2,,,0
52,$L:compose_52$,24,4,3536,503;2022;3732,2;2;2,,,0
53,$L:compose_53$,24,6,3537,505;515;4878;4883,2;2;2;4,,,0
54,$L:compose_54$,24,8,3538,507;517,2;2,,,0
55,$L:compose_55$,24,10,3539,509;519,2;2,,,0
61,$L:compose_61$,24,2,3545,501;2018;3728,2;2;2,,,0
62,$L:compose_62$,24,4,3546,503;2022;3732,2;2;2,,,0
63,$L:compose_63$,24,6,3547,505;515;4878;4883,2;2;2;4,,,0
64,$L:compose_64$,24,8,3548,507;517,2;2,,,0
65,$L:compose_65$,24,10,3549,509;519,2;2,,,0
71,$L:compose_71$,24,1,3550,500;2016;3726,2;2;2,,,0
72,$L:compose_72$,24,3,3551,502;2020;3730,2;2;2,,,0
73,$L:compose_73$,24,5,3552,504;514;2064;3734,2;2;2;4,,,0
74,$L:compose_74$,24,8,3553,506;516,2;2,,,0
75,$L:compose_75$,24,10,3554,508;518,2;2,,,0
76,$L:compose_76$,24,2,501,500,3,,,0
77,$L:compose_77$,24,3,502,501,3,,,0
78,$L:compose_78$,24,4,503,502,3,,,0
79,$L:compose_79$,24,5,504,503,3,,,0
80,$L:compose_80$,24,6,505,504,3,,,0
81,$L:compose_81$,24,7,506,505,3,,,0
82,$L:compose_82$,24,8,507,506,3,,,0
83,$L:compose_83$,24,9,508,507,3,,,0
84,$L:compose_84$,24,10,509,508,3,,,0
85,$L:compose_85$,24,2,511,510,3,,,0
86,$L:compose_86$,24,3,512,511,3,,,0
87,$L:compose_87$,24,4,513,512,3,,,0
88,$L:compose_88$,24,5,514,513,3,,,0
89,$L:compose_89$,24,6,515,514,3,,,0
90,$L:compose_90$,24,7,516,515,3,,,0
91,$L:compose_91$,24,8,517,516,3,,,0
92,$L:compose_92$,24,9,518,517,3,,,0
93,$L:compose_93$,24,10,519,518,3,,,0
94,$L:compose_94$,14,6,4887,4871,2,,,0
95,$L:compose_95$,14,6,4888,4872,2,,,0
96,$L:compose_96$,14,6,4889,4871;4873,2;2,,,0
97,$L:compose_97$,14,6,4890,4872;4873,2;2,,,0
98,$L:compose_98$,14,7,4893,4874,2,,,0
99,$L:compose_99$,14,7,4894,4875,2,,,0
100,$L:compose_100$,14,7,4895,4874;4876,2;2,,,0
101,$L:compose_101$,14,7,4896,4875;4876,2;2,,,0
102,$L:compose_102$,14,7,4900,4874;4876,2;2,,,1
103,$L:compose_103$,14,7,4901,4875;4876,2;2,,,1
104,$L:compose_104$,14,7,4899,4874;4875;4876,2;2;2,,,1
105,$L:compose_105$,15,6,4891,4877,2,,,0
106,$L:compose_106$,15,6,4892,4878,2,,,0
107,$L:compose_107$,15,7,4897,4879,2,,,0
108,$L:compose_108$,15,7,4898,4880,2,,,0
109,$L:compose_109$,15,7,4902,4879,4,,,1
110,$L:compose_110$,15,7,4903,4881,4,,,1
111,$L:compose_111$,15,7,4904,4879;4881,2;2,,,1
112,$L:compose_112$,15,7,4905,4880,4,,,1
113,$L:compose_113$,15,7,4906,4880;4881,2;2,,,1
114,$L:compose_114$,15,7,4907,4879;4880,2;2,,,1
115,$L:compose_115$,24,7,3575,512;521;4881;4884,2;2;2;4,,,0
116,$L:compose_116$,24,7,3576,514;522;4881;4884,2;2;2;4,,,1
117,$L:compose_117$,24,7,3577,516;523;4881;4884,2;2;2;4,,,1
118,$L:compose_118$,24,7,3585,512;521;4879;4885,2;2;2;4,,,0
119,$L:compose_119$,24,7,3586,514;522;4879;4885,2;2;2;4,,,1
120,$L:compose_120$,24,7,3587,516;523;4879;4885,2;2;2;4,,,1
121,$L:compose_121$,24,7,3595,512;521;4880;4886,2;2;2;4,,,0
122,$L:compose_122$,24,7,3596,514;522;4880;4886,2;2;2;4,,,1
123,$L:compose_123$,24,7,3597,516;523;4880;4886,2;2;2;4,,,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
