,道具颜色,最小道具等级,最大道具等级,分解出物品,分解出物品的概率
ID,Color,MinLevel,MaxLevel,Items,Rates
1,1,1,10,500;500,1;0.01
2,1,11,20,501;501,1;0.01
3,1,21,30,502;502,1;0.01
4,1,31,40,503;503,1;0.01
5,1,41,50,504;504,1;0.01
6,1,51,60,505;505,1;0.01
7,1,61,70,506;506,1;0.01
8,1,71,80,507;507,1;0.01
9,1,81,90,508;508,1;0.01
10,1,91,100,509;509,1;0.01
11,2,1,10,510;510;510,1;1;0.01
12,2,11,20,511;511;511,1;1;0.01
13,2,21,30,512;512;512,1;1;0.01
14,2,31,40,513;513;513,1;1;0.01
15,2,41,50,514;514;514,1;1;0.01
16,2,51,60,515;515;515,1;1;0.01
17,2,61,70,516;516;516,1;1;0.01
18,2,71,80,517;517;517,1;1;0.01
19,2,81,90,518;518;518,1;1;0.01
20,2,91,100,519;519;519,1;1;0.01
21,3,1,10,520;520;520,1;1;0.01
22,3,11,20,521;521;521,1;1;0.01
23,3,21,30,522;522;522,1;1;0.01
24,3,31,40,523;523;523,1;1;0.01
25,3,41,50,524;524;524,1;1;0.01
26,3,51,60,525;525;525,1;1;0.01
27,3,61,70,526;526;526,1;1;0.01
28,3,71,80,527;527;527,1;1;0.01
29,3,81,90,528;528;528,1;1;0.01
30,3,91,100,529;529;529,1;1;0.01
