,"这个名字与scenes.csv对应
用于查找","这个ID与scenes.csv对应
用于查找",,,"x,y,z(默认)","x,y,z",id,id,分钟,,,,,expr,string,string,string,string,string,string
,名字,资源id,阵营,等级要求,出生点,退出点,退出场景,道具要求,空转时间,最少人数,最大人数,描述,响应事件,进入条件,进入条件错误信息,进入条件错误信息,进入条件错误信息,进入条件错误信息,进入条件错误信息,进入条件错误信息
ID,Name,SceneResID,Faction,ReqLev,BornPos,ExitPos,ExitScene,ReqItem,Limit,MinChr,MaxChr,Desc,Event,EnterContidion,EnterError1,EnterError2,EnterError3,EnterError4,EnterError5,EnterError6
1,$L:ectype_yunlingshanshexue$,2,,15,"472,-208,0","-172,-209,0",1,,5,0,5,"god bless you.",,,,,,,,
2,$L:ectype_ciyunsihuanxidian$,3,,25,"55,33,0","-345,-284,0",1,,5,0,5,"only strong survive.",,,,,,,,
3,$L:Scenestable_huzhuashantengxvdong$,5,,15,"63,-453,0","-197,-825,0",1,,5,0,5,"you will die for nothing.",,,,,,,,
4,$L:Scenestable_ningbiyamidong$,6,,10,"53,36,0","391,1152,0",1,,5,0,5,…,,,,,,,,
5,$L:Scenestable_qingluoshanmogong$,4,,40,"105,-191,0","-1206,-1994,0",1,,5,0,5,…,,,,,,,,
6,$L:sn001_baihuachaoyin$,7,,20,"128,38,0","390,1166,0",1,,5,0,5,aa,,,,,,,,
7,$L:ectype_yaorendongfufuben$,8,,45,"423,53,0","1395,-630,0",1,,5,0,5,,,,,,,,,
10,$L:ectype_guihuashanhonghuadong$,10,,35,"98,41,0","-348,-906,0",1,,5,0,5,,,,,,,,,
11,$L:Scenestable_sdtfb001$,11,,1,"665,456,0","150,500,0",1,,5,0,5,,,,,,,,,
13,$L:ectype_qixingtai$,13,,55,"150,60,0","2713,-454,0",1,,5,0,5,,OnEnterBattle;OnLeaveBattle;OnTimer;OnLaunchSelfScript;,GetItemCount(4163)>=1,$L:ecypt_enterqixingtai$,,,,,
14,$L:ectype_wenzhudong$,15,,60,"1507,-1480,0","2401,-413,0",1,,5,0,5,,OnTimer;OnEnterBattle;OnLeaveBattle;,GetItemCount(4178)>=1,$L:ecypt_enterwenzhudong$,,,,,
15,$L:ectype_61to65simenshan$,16,,61,"410,532,0","1510,1754,0",17,,5,0,5,,,,,,,,,
16,$L:Scenestable_yinfengdong$,18,,65,"208,53,0","1655,1000,0",17,,5,0,5,,,,,,,,,
17,$L:Scenestable_wanzhujian$,19,,10,"672,29,0","398,181,0",1,,5,0,5,,,,,,,,,
18,$L:Scenestable_qiyundong$,20,,25,"684,528,0","-811,-41,0",1,,5,0,5,,,,,,,,,
19,$L:Scenestable_youanmilin$,22,,30,"565,1345,1","-1506,-137,4",1,,5,0,5,,,,,,,,,
20,$L:Scenestable_xuanshizhijie$,23,,35,"-550,1994,1","-1762,226,10",1,,5,0,5,,,,,,,,,
21,$L:Scenestable_wanzhujian2$,25,,83,"672,29,0","471,-513,0",1,,5,0,5,,,,,,,,,
22,$L:Scenestable_qiyundong2$,26,,85,"684,528,0","1516,1751,0",24,,5,0,5,,,,,,,,,
23,$L:Scenestable_wanzhujian3$,27,,90,"672,29,0","471,-513,0",1,,5,0,5,,,,,,,,,
