,,基础属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,释放过程（针对主动技能）,,,,,,,,,,,,,,,,,,,,,,,,,,特效表现,,,客户端表现,,,
DWORD,string,int,int,,action,bool,bool,bool,bool,expr,bool,bool,bool,bool,,,,,,,,,,,,,,,,,int,DWORD,string,int,,,BYTE,WORD,int,,,,,int,int,,action,action,action,action,float,action,action,action,action,,,,,,string,bool,bool,
,名字,效果类型,效果等级,效果减益类型,作用条件,同级是否覆盖,不能被自己取消（只对有益性的有效）,强制可以自行取消,下线后取消,效果消失执行,攻击后消除,被攻击后消除,移动后消除,死亡后消除,触发次数,触发方式,触发并miss后是否计数,死亡后自身执行,攻击后自身执行,被近程攻击后自身执行,闪躲后自身执行,爆击后自身执行,招架后自身执行,被杀死后目标执行,攻击后目标执行,被近程攻击后目标执行,闪躲后目标执行,爆击后目标执行,招架后目标执行,竞技场专用,有益性,目标类型,目标限制,特殊作用,特殊处理,miss概率,最大目标个数,最大目标距离,地面目标半径,引导开始前自身临时执行,引导开始前目标临时执行,引导开始前自身执行,引导开始前目标执行,引导时间,引导次数,引导间隔,引导时自身临时执行,引导时目标临时执行,引导时自身执行,引导时目标执行,爆击几率,释放时自身临时执行,释放时目标临时执行,释放时自身执行,释放时目标执行,,,目标身上特效,目标身上特效link,特效比例,图标,是否不显示图标,是否显示时间等信息,
ID,Name,m_Type,m_Level,m_DeBuffWeakType,m_pAddCondition,m_bOverlayOnSameLevel,m_bDisableSelfRemove,m_bSelfRemove,bQuitRemove,m_pEffectEndAction,m_bAttackDisappear,m_bBeAttackDisappear,m_bMoveDisappear,m_bDieDisappear,m_Trigger_Total,m_Trigger_Every,m_bTrigger_CountMiss,m_pTrigger_SelfDie,m_pTrigger_SelfAttack,m_pTrigger_SelfBeMeleeAttack,m_pTrigger_SelfMiss,m_pTrigger_SelfCritical,m_pTrigger_SelfParry,m_pTrigger_TargetDie,m_pTrigger_TargetAttack,m_pTrigger_TargetBeMeleeAttack,m_pTrigger_TargetMiss,m_pTrigger_TargetCritical,m_pTrigger_TargetParry,bDungeonOnly,Benefit,TargetType,TargetCondition,Special,NeedIdentity,ExecuteMissRate,TargetCount,TargetRange,TargetRadius,BeforeLoadingTmpSelf,BeforeLoadingTmpTarget,BeforeLoadingSelf,BeforeLoadingTarget,LoadingTime,LoadingCount,LoadingPeriod,LoadingTmpSelf,LoadingTmpTarget,LoadingSelf,LoadingTarget,CriticalRate,LaunchTmpSelf,LaunchTmpTarget,LaunchSelf,LaunchTarget,m_graph_StartEff,m_graph_StartEffLink,m_graph_Eff,m_graph_EffLink,graph_HitEffScale,Icon,m_bHide,m_bNotShowInfo,bcache
1,雷动九天,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,20000,4,,,,AddHp(10),,,,,,,,,,,,cpsw01,,,0
2,雷动九天,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,40000,8,,,,AddHp(20),,,,,,,,,,,,cpsw01,,,0
3,雷动九天,1,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,60000,12,,,,AddHp(30),,,,,,,,,,,,cpsw01,,,0
4,神盾护体,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,2000,2,,,,AddHp(5),,,,,,,,,,,,cpsw01,,,0
5,神盾护体,2,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,4000,4,,,,AddHp(50),,,,,,,,,,,,cpsw01,,,0
6,持续加血,3,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddHp(50),,,,,,,,,,,,cpsw01,,,0
7,持续伤血,4,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,1,,,,,,,,,,10000,5,,,,AddHp(-20),,,,,,,,,eff_poison_dot,,,cpsw01,,,1
