typeid,posx,posy,dir
4655,138,112,8
4655,140,104,12
4655,132,106,12
4655,146,139,6
4655,153,147,4
4655,144,148,4
4655,177,164,8
4655,170,157,8
4655,168,166,10
4655,140,175,8
4655,154,183,8
4655,150,175,6
4656,134,201,8
4656,126,196,0
4656,134,193,8
4663,34,171,2
4656,57,209,4
4656,53,215,6
4656,59,202,0
4656,35,193,2
4656,43,186,0
4656,33,186,0
4656,61,180,8
4656,53,182,6
4656,56,174,0
4656,79,181,14
4656,72,176,14
4656,73,184,12
4656,38,176,2
4656,42,172,2
4656,63,166,0
4656,59,161,14
4656,68,163,14
4655,164,125,10
4655,160,118,12
4655,157,124,8
4657,198,157,10
4657,189,157,10
4657,194,150,8
4657,201,127,14
4657,205,136,12
4657,196,133,10
4657,230,122,12
4657,229,136,10
4657,224,129,12
4657,223,117,10
4657,262,146,8
4657,255,141,10
4657,263,139,6
4657,250,122,14
4657,259,125,10
4657,256,117,14
4658,322,93,14
4658,302,123,10
4658,314,109,0
4658,317,86,0
4658,330,92,14
4665,391,56,12
4658,354,77,10
4658,362,74,6
4658,355,70,12
4658,332,59,0
4658,326,64,0
4658,335,65,2
4658,367,59,14
4658,367,50,10
4658,374,55,14
4658,281,165,10
4658,279,174,8
4658,287,169,12
4659,248,193,8
4659,239,190,2
4659,246,186,10
4659,230,216,8
4659,244,216,4
4659,237,221,10
4659,210,211,6
4659,215,217,8
4659,206,219,0
4659,217,239,8
4659,208,239,10
4659,211,247,2
4664,336,473,8
4667,352,419,2
4660,325,455,8
4660,330,452,8
4660,324,446,12
4660,346,441,8
4660,339,439,10
4660,343,446,8
4660,239,417,12
4660,245,421,12
4660,246,412,12
4660,273,425,9
4660,278,421,11
4660,271,417,11
4660,303,402,7
4660,297,407,15
4660,306,410,15
4660,305,430,9
4660,313,427,15
4660,306,421,11
4660,335,412,10
4660,330,418,12
4660,335,421,0
4659,182,280,8
4659,183,289,0
4659,176,284,8
4659,161,280,0
4659,153,282,8
4659,157,273,0
4659,217,306,8
4659,224,302,0
4659,226,309,8
4659,174,328,0
4659,168,333,8
4659,168,324,0
4660,191,417,8
4660,186,420,0
4660,187,413,8
4660,171,403,0
4660,163,394,8
4660,157,392,0
4660,150,372,8
4660,147,367,0
4660,150,363,8
4661,320,206,8
4661,322,198,8
4661,337,184,12
4661,328,192,14
4661,332,223,10
4661,339,220,6
4661,334,213,8
4661,359,224,12
4661,354,218,10
4661,351,225,14
4661,360,193,14
4661,358,200,0
4661,367,198,8
4661,331,185,0
4666,378,416,6
4662,391,394,8
4662,395,401,6
4662,385,399,6
4662,402,415,8
4662,401,408,0
4662,395,413,8
4662,381,387,6
4662,373,387,4
4662,377,394,8
4661,399,374,8
4662,406,369,8
4662,398,365,8
4662,410,339,10
4662,410,346,8
4662,401,343,10
4662,404,304,8
4662,398,301,6
4661,400,308,8
4661,396,307,6
4662,425,283,8
4662,418,289,10
4662,416,280,8
4662,438,302,8
4662,430,303,10
4661,429,311,8
4661,392,203,12
4661,390,195,12
4661,397,198,14
4662,414,237,8
4662,419,230,6
4662,409,231,10
4662,423,204,12
4662,416,209,14
4662,416,197,12
4670,97,41,12
4671,348,464,10
4672,424,383,10
4662,418,343,8
