WORD,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORD,,,,,,,,,,,,,,,,,,,,,,list,,list,DWORD,,,,,,int,DWORD,string,int,BYTE,WORD,int,int,char[20],char[20],char[20],char[20],int,int,action,action,action,action,int,int,int,int,int,float,,int,,action,action,action,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名字,地区版本备注,是否测试道具,类型,武器类型,门派,道具等级,道具最高修炼等级,最低可装备等级,元神需求等级,伤害等级,默认品质,默认属性ID,默认打开属性个数,属性检索ID,分解ID,不生成DBID,是否套装装备,PK红名不可掉落,可交易,可存仓库,可销售,可丢弃,商城道具,道具自动使用效果,可删除,可锻造,使用方式,是否可数,初始个数,最大个数,是否消耗,"功能1
(使用时间 秒)",是否任务道具,是否唯一,是否双手武器,价值,点数,耐久度上限,使用条件,装备条件,拾取效果,表格用等级,装备执行,装备物理防御,火防御,水防御,毒防御,电防御,佛法防御,伤害吸收,装备Dps,装备招架,初始化数值,其他参数,其他参数2,其他参数3,魔石镶嵌等级,魔石镶嵌类型,道具使用时弹出对话框,法宝技能,法宝终极技能,法宝天赋,主法宝默认技能,技能前置开始动作,技能前置动作,技能前置动作,竞技场专用,释放类型,有益性,目标类型,目标限制,特殊作用,最大目标个数,最大目标距离,地面目标半径,前置时间,引导开始前自身临时执行,引导开始前目标临时执行,引导开始前自身执行,引导开始前目标执行,引导时间,引导次数,引导时自身临时执行,引导时目标临时执行,引导时自身执行,引导时目标执行,冷却时间,公共冷却时间,分组冷却Id,禁止行动时间,动作时间,爆击几率,特效几率,附加显示特殊系数,伤害属性类型,释放时自身临时执行,释放时目标临时执行,释放时自身执行,释放时目标执行,非有益技能是否计算伤害,实际伤害时间,最小最大伤害,参数2,图标,模型,蓝色模型,金色模型,加10模型,缩放比例,武器模型2,武器蓝色模型2,武器金色模型2,加10模型,是否带路径,武器link,坐骑+10特效,坐骑+10特效Link,武器1收起link点,武器link2,武器2收起link点,声音,场景特效,受击特效,受击特效link,不受攻击状态限制,,
ID,_name,,IsTestItem,m_Type,m_WeaponType,m_Party,m_ItemLevel,m_ItemMaxLevel,m_EquipNeedLevel,m_EquipNeedGodLevel,m_DamageLevel,DefaultColor,DefaultAttrib,DefaultAttribNum,Factor,DecomposeId,NoDBID,m_bSuit,m_bPkDropLock,m_bCanTrade,m_bCanBank,m_bCanShop,m_bCanDrop,m_bPointShop,m_BindBuff,m_bCanDelete,m_bCanSmithing,m_UseType,m_bCountable,m_InitCount,m_MaxCount,m_bConsume,TimeLimit,m_bTaskItem,m_bSingle,m_bBothHand,m_Value,m_CardPoints,m_MaxHardiness,m_pUseCondition,m_pEquipCondition,m_pPickAction,Level_TableUse,m_pEquipAction,m_pEquipPhyArmor,EquipArm_Fire,EquipArm_Wator,EquipArm_Poison,EquipArm_Light,EquipArm_Fo,m_pEquipDamageAbsorb,m_pEquipDps,m_pEquipParry,InitValue,OtherParam,OtherParam2,OtherParam3,GemmyLevel,GemmyType,strItemUseMessage,arrTrumpSkills,arrTrumpFinalSkills,arrTrumpTalents,m_TrumpAttackSkill,graph_PreStartPose,graph_PrePose,graph_EndPose,bDungeonOnly,ReleaseType,Benefit,TargetType,TargetCondition,Special,TargetCount,TargetRange,TargetRadius,PreTime,BeforeLoadingTmpSelf,BeforeLoadingTmpTarget,BeforeLoadingSelf,BeforeLoadingTarget,LoadingTime,LoadingCount,LoadingTmpSelf,LoadingTmpTarget,LoadingSelf,LoadingTarget,CDTime,PublicCDTime,TypeCDId,ForbiddenTime,PoseTime,CriticalRate,EffRate,AddtionShowParam,DmgType,LaunchTmpSelf,LaunchTmpTarget,LaunchSelf,LaunchTarget,NoDamage,RealDmgTime,DamageMinMax,graph_Param2,Icon,Model,Model_Blue,Model_Golden,Model_10,Scale_Value,Model2,Model_Blue2,Model_Golden2,Model2_10,m_bPath,weaponLink,ItemRiderEffect,ItemRiderEffectLink,weapon1DrawInLink,weaponLink2,weapon1DrawInLink2,m_Sound,graph_SceneEff,graph_HitEff,graph_HitEffLink,bNotCheckAttState,bcache,bPrePoseDrawInWeapon
1,天涯刀,,,1,,0,,,,,,,,,,,1,,,1,1,1,1,,,1,,1,,,,,,,,,100,,3000,,,,,AddHp(10);AddEffect(1),,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,-2,ic_iwea01,id001,id001,id001,,,,,,,,,,,,,,,,,,,0,
2,方天画戟,,,1,,0,,,,,,,,,,,,,,1,1,1,1,,,1,,1,,,,,,,,,100,,3000,,,,,AddHp(10),,,,,,,,,,,,,,,,,101;103;1000,,,1,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,-2,ic_iwea01,id001,id001,id001,,,,,,,,,,,,,,,,,,,0,
3,红药水,,,,,5,,,,,,,,,,,,,,1,1,1,1,,,1,,,1,3,99,1,,,,,200,,300,,,AddEffect(1),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea01,,,,,,,,,,,,,,,,,,,,,,0,
4,玄龟,,,1,1,0,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,1,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea01,iwea01;iwea01,iwea01;iwea01,iwea01;iwea01,,,,,,,1,,,,,,,,,,,,1,
5,赤苏,,,1,1,0,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,10,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea02,iwea02;iwea02,iwea02_01;iwea02_01,iwea02_01;iwea02_01,,,,,,,1,,,,,,,,,,,,1,
6,青灵,,,1,1,0,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,20,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea03,iwea03;iwea03,iwea03_01;iwea03_01,iwea03_01;iwea03_01,,,,,,,1,,,,,,,,,,,,1,
7,烈火,,,1,1,0,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,30,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea04,iwea04;iwea04,iwea04_01;iwea04_01,iwea04_02;iwea04_02,,,,,,,1,,,,,,,,,,,,1,
8,紫电,,,1,1,0,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,40,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea05,iwea05;iwea05,iwea05_01;iwea05_01,iwea05_02;iwea05_02,,,,,,,1,,,,,,,,,,,,1,
9,水母,,,1,1,0,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,50,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea06,iwea06;iwea06,iwea06_01;iwea06_01,iwea06_02;iwea06_02,,,,,,,1,,,,,,,,,,,,1,
10,阳魄,,,1,1,0,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,60,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea07,iwea07;iwea07,iwea07_01;iwea07_01,iwea07_02;iwea07_02,,,,,,,1,,,,,,,,,,,,1,
11,金鼍,,,1,1,0,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,70,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,1427,231;232;234;233;235;236;237;238,52,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea08,iwea08;iwea08,iwea08_01;iwea08_01,iwea08_02;iwea08_02,,,,,,,1,,,,,,,,,,,,1,
12,天啸,,,1,1,0,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,80,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,1427,231;232;234;233;235;236;237;238,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea09,iwea09;iwea09,iwea09_01;iwea09_01,iwea09_02;iwea09_02,,,,,,,1,,,,,,,,,,,,1,
13,南明离火,,,1,1,0,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,90,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,1427,231;232;234;233;235;236;237;238,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea0822,iwea08;iwea08,iwea08_01;iwea08_01,iwea08_02;iwea08_02,,,,,,,1,,,,,,,,,,,,1,
14,淡水,,,1,2,0,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,5,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb01,iweb01;iweb01,iweb01;iweb01,iweb01;iweb01,,,,,,,1,,,,,,,,,,,,1,
15,奔流,,,1,2,0,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,15,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb02,iweb02;iweb02,iweb02_01;iweb02_01,iweb02_01;iweb02_01,,,,,,,1,,,,,,,,,,,,1,
16,青泉,,,1,2,0,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,25,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb03,iweb03;iweb03,iweb03_01;iweb03_01,iweb03_01;iweb03_01,,,,,,,1,,,,,,,,,,,,1,
17,冷月,,,1,2,0,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,35,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb04,iweb04;iweb04,iweb04_01;iweb04_01,iweb04_02;iweb04_02,,,,,,,1,,,,,,,,,,,,1,
18,破水,,,1,2,0,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,45,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb05,iweb05;iweb05,iweb05_01;iweb05_01,iweb05_02;iweb05_02,,,,,,,1,,,,,,,,,,,,1,
19,盘龙,,,1,2,0,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,55,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb06,iweb06;iweb06,iweb06_01;iweb06_01,iweb06_02;iweb06_02,,,,,,,1,,,,,,,,,,,,1,
20,天罡,,,1,2,0,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,65,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb07,iweb07;iweb07,iweb07_01;iweb07_01,iweb07_02;iweb07_02,,,,,,,1,,,,,,,,,,,,1,
21,龙泉,,,1,2,0,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,75,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1428,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb08,iweb08;iweb08,iweb08_01;iweb08_01,iweb08_02;iweb08_02,,,,,,,1,,,,,,,,,,,,1,
22,海潮,,,1,2,0,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,85,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1428,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb09,iweb09;iweb09,iweb09_01;iweb09_01,iweb09_02;iweb09_02,,,,,,,1,,,,,,,,,,,,1,
23,屠龙,,,1,2,0,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,95,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1428,251;252;253;255;254;256;257;258,53,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb0822,iweb08;iweb08,iweb08_01;iweb08_01,iweb08_02;iweb08_02,,,,,,,1,,,,,,,,,,,,1,
24,青木,,,1,3,1,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,1,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa01,iwfa01,iwfa01,iwfa01,,,,,,,,,,,,,,,,,,,1,
25,百炼,,,1,3,1,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,10,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa02,iwfa02,iwfa02_01,iwfa02_01,,,,,,,,,,,,,,,,,,,1,
26,入世,,,1,3,1,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,20,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa03,iwfa03,iwfa03_01,iwfa03_01,,,,,,,,,,,,,,,,,,,1,
27,新月,,,1,3,1,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,30,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa04,iwfa04,iwfa04_01,iwfa04_02,,,,,,,,,,,,,,,,,,,1,
28,狮吼,,,1,3,1,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,40,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa05,iwfa05,iwfa05_01,iwfa05_02,,,,,,,,,,,,,,,,,,,1,
29,虎啸,,,1,3,1,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,50,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa06,iwfa06,iwfa06_01,iwfa06_02,,,,,,,,,,,,,,,,,,,1,
30,随缘,,,1,3,1,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,60,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa07,iwfa07,iwfa07_01,iwfa07_02,,,,,,,,,,,,,,,,,,,1,
31,开光,,,1,3,1,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,70,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1430,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa08,iwfa08,iwfa08_01,iwfa08_02,,,,,,,,,,,,,,,,,,,1,
32,玄机,,,1,3,1,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,80,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1430,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa09,iwfa09,iwfa09_01,iwfa09_02,,,,,,,,,,,,,,,,,,,1,
