程序导标记，不用翻译
ID,Name,Action1_hint,Action2_hint,Action3_hint,Action4_hint,Action5_hint,Action6_hint,Action7_hint,Action8_hint,Action9_hint,Action10_hint
1,Fire Dragon Suit,,Increase 50 points Vitality.,,Increase fire related attack 18 points.,,Increase Fire Burst range 20%.,,,,
2,Thunder Sound Suit,,Increase 70 points Vitality.,,Increase block rate 10%.,,Decrease Buddha Shield cooling time 60 seconds.,,,,
3,Lily Suit,,Increase 75 points Intelligence.,,Increase healing effect 46 points.,,Decrease Purple Shield cooling time 30 seconds.,,,,
4,Demon Ruin Suit,,Increase 75 points Dexterity.,,Increase dodge rate 10%.,,Decrease Swift Move cooling time 60 seconds.,,,,
5,Blue Snipe Suit,,Increase 65 points Intelligence.,,Increase water critical strike rate 2%.,,Decrease Rapid Crack cooling time 0.5 second.,,,,
6,Seven Stars Suit,,Increase 200 points Intelligence.,,Increase fire critical strike rate 25%.,,Decrease Fire Burst cooling time 2 seconds.,,,,
7,Buddha Vigor Suit,,Increase 200 points Strength.,,Increase defense 50%.,,Decrease Fatal Bash stamina cost 20 points.,,,,
8,Willow Suit,,Increase 200 points Intelligence.,,Increase healing effect 300 points.,,Increase Healing Spell effect range 50.,,,,
9,Greedy Wolf Suit,,Increase 200 points Dexterity.,,Increase lightning damage 10%.,,Decrease Lightning Sweeping stamina cost 10 points.,,,,
10,Red Ibis Suit,,Increase 200 points Intelligence.,,Increase move speed 20%.,,Decrease Heavy Crack preparing time 0.5 second.,,,,
11,Chilly Light Suit,,Increase 200 points Vitality.,,Increase water critical strike rate 20%.,,Increase Tide Spout range 20%.,,,,
12,Nature Voice Suit,,Increase 200 points Vitality.,,Increase buddha damage 20%.,,Increase Giant Raid critical strike rate 40%.,,,,
13,Catkin Suit,,Increase 200 points Vitality.,,Increase lightning damage 20%.,,Decrease Sheen Slice preparing time 1 second.,,,,
14,Sun Chase Suit,,Increase 200 points Vitality.,,Increase poison critical strike rate 20%.,,Decrease Elements Array cooling time 20 seconds.,,,,
15,Birds Uprush Suit,,Increase 200 points Vitality.,,Increase poison critical strike rate 20%.,,Decrease Power Shoot preparing time 1 second.,,,,
16,Aestus Suit,Increase 1000 points Vitality.,Increase 2000 points Intelligence.,Increase fire critical strike rate 25%.,Increase water critical strike rate 25%.,Decrease Fire Burst cooling time 3 seconds.,Increase Tide Spout range 30%.,,,,
17,Emnilda Suit,Increase 1000 points Vitality.,Increase 2000 points Strength.,Increase block rate 25%.,Decrease Fatal Bash stamina cost 20 points.,Increase Giant Raid critical strike rate 40%.,Increase buddha damage 20%.,,,,
18,Vivimorte Suit,Increase 1000 points Vitality.,Increase 2000 points Intelligence.,Increase healing effect 1000 points.,Increase lightning damage 25%.,Increase Healing Spell effect range 100.,Decrease Sheen Slice preparing time 1.5 second.,,,,
19,Atis Suit,Increase 1000 points Vitality,Increase 2000 points Dexterity.,Increase dodge rate 30%.,Increase lightning damage 10%.,Decrease Lightning Sweeping stamina cost 10 points.,	Increase poison critical strike rate 25%.,,,,
20,Araksjel Suit,Increase 1000 points Vitality.,Increase 2000 points Intelligence.,Increase poison critical strike rate 20%.,Decrease Rapid Crack cooling time 1 second.,Decrease Heavy Crack preparing time 1 second.,Increase poison critical strike rate 25%.,,,,
21,Aestus Suit,Increase 1000 points Vitality.,Increase 2000 points Intelligence.,Increase fire critical strike rate 25%.,Increase water critical strike rate 25%.,Decrease Fire Burst cooling time 3 seconds.,Increase Tide Spout range 30%.,,,,
22,Emnilda Suit,Increase 1000 points Vitality.,Increase 2000 points Strength.,Increase block rate 25%.,Decrease Fatal Bash stamina cost 20 points.,Increase Giant Raid critical strike rate 40%.,Increase buddha damage 20%.,,,,
23,Vivimorte Suit,Increase 1000 points Vitality.,Increase 2000 points Intelligence.,Increase healing effect 1000 points.,Increase lightning damage 25%.,Increase Healing Spell effect range 100.,Decrease Sheen Slice preparing time 1.5 second.,,,,
24,Atis Suit,Increase 1000 points Vitality,Increase 2000 points Dexterity.,Increase dodge rate 30%.,Increase lightning damage 10%.,Decrease Lightning Sweeping stamina cost 10 points.,	Increase poison critical strike rate 25%.,,,,
25,Araksjel Suit,Increase 1000 points Vitality.,Increase 2000 points Intelligence.,Increase poison critical strike rate 20%.,Decrease Rapid Crack cooling time 1 second.,Decrease Heavy Crack preparing time 1 second.,Increase poison critical strike rate 25%.,,,,

