typeid,posx,posy,dir
3301,-623,-1601,8
3306,-614,-1709,6
3305,-604,-1703,8
3303,-602,-1740,0
3304,-592,-1740,0
3302,-690,-1719,4
3311,-557,-1708,8
3311,-534,-1699,8
3311,-546,-1649,8
3311,-548,-1641,8
3311,-565,-1667,8
3311,-567,-1687,8
3311,-616,-1610,8
3311,-683,-1597,8
3311,-719,-1625,8
3311,-690,-1647,8
3311,-661,-1667,8
3311,-668,-1661,8
3311,-659,-1673,8
3311,-623,-1684,8
3311,-618,-1691,8
3311,-612,-1782,8
3311,-688,-1755,8
3311,-659,-1754,8
3311,-579,-1657,8
3311,-593,-1645,8
3311,-649,-1667,8
3311,-653,-1682,8
3311,-618,-1636,8
3311,-643,-1637,8
3311,-642,-1628,8
3311,-697,-1600,8
3311,-676,-1781,8
3311,-686,-1784,8
3311,-666,-1787,8
3311,-510,-1699,8
3311,-525,-1722,8
3311,-524,-1698,8
3311,-592,-1676,8
3311,-613,-1649,8
3311,-638,-1619,8
3311,-564,-1710,8
3311,-546,-1730,8
3311,-562,-1730,8
3313,-626,-1900,8
3313,-626,-1914,8
3313,-602,-1899,8
3313,-598,-1912,8
3313,-583,-1923,8
3313,-580,-1932,8
3313,-583,-1942,8
3313,-619,-1904,8
3313,-609,-1873,8
3313,-637,-1884,8
3313,-626,-1883,8
3313,-641,-1935,8
3313,-638,-1942,8
3313,-620,-1940,8
3313,-623,-1870,8
3314,-557,-1659,8
3314,-558,-1669,8
3314,-550,-1652,8
3314,-547,-1664,8
3312,-320,-1640,8
3312,-322,-1649,8
3312,-340,-1656,8
3312,-318,-1677,8
3312,-308,-1685,8
3312,-312,-1694,8
3312,-306,-1720,8
3312,-357,-1667,8
3312,-394,-1608,8
3312,-402,-1610,8
3312,-330,-1631,8
3312,-365,-1655,8
3310,-387,-1690,8
3310,-427,-1765,8
3310,-409,-1757,8
3310,-359,-1713,8
3310,-348,-1748,8
3310,-366,-1761,8
3310,-466,-1697,8
3310,-459,-1698,8
3310,-470,-1752,8
3310,-464,-1762,8
3312,-351,-1652,8
3312,-386,-1606,8
3312,-334,-1626,8
3312,-341,-1635,8
3312,-336,-1647,8
3312,-349,-1662,8
3312,-325,-1675,8
3312,-320,-1667,8
3312,-323,-1685,8
3312,-311,-1710,8
3310,-360,-1706,8
3310,-366,-1718,8
3310,-356,-1720,8
3310,-355,-1743,8
3310,-338,-1742,8
3310,-348,-1736,8
3310,-363,-1740,8
3310,-369,-1749,8
3310,-362,-1754,8
3310,-356,-1757,8
3310,-406,-1749,8
3310,-397,-1746,8
3310,-433,-1757,8
3310,-436,-1762,8
3310,-414,-1751,8
3310,-409,-1741,8
3310,-435,-1749,8
3310,-445,-1750,8
3310,-400,-1740,8
3310,-391,-1708,8
3310,-472,-1700,8
3313,-612,-1916,8
3313,-597,-1856,8
3313,-617,-1867,8
3313,-636,-1898,8
3313,-619,-1911,8
3313,-585,-1933,8
3313,-576,-1938,8
3313,-596,-1904,8
3313,-589,-1903,8
3313,-612,-1898,8
3313,-610,-1861,8
3313,-613,-1940,8
3313,-608,-1932,8
3313,-621,-1932,8
3307,-593,-1703,8
4379,-534,-1722,8
333,-599,-1703,8
396,-597,-1739,0
