typeid,posx,posy,dir
2914,279,-535,8
4376,286,-529,12
4446,282,-504,8
4412,307,-530,12
4566,244,-477,10
20,356,-739,8
20,374,-691,0
20,363,-743,8
20,367,-710,0
20,398,-735,8
20,372,-707,0
20,363,-697,8
20,363,-706,0
20,380,-698,8
20,364,-735,0
20,362,-749,8
20,369,-741,8
20,375,-746,0
20,408,-701,8
20,414,-701,0
20,403,-707,8
20,417,-709,0
20,411,-709,8
20,402,-752,0
20,405,-737,8
20,413,-742,0
20,398,-743,8
20,407,-745,0
20,433,-753,8
20,437,-735,0
20,432,-741,8
20,433,-714,0
20,429,-698,8
20,440,-706,0
20,426,-708,8
20,423,-701,0
20,438,-746,8
20,429,-748,0
20,436,-703,8
20,424,-744,0
20,419,-746,8
20,422,-752,0
20,420,-736,8
20,414,-756,0
241,456,-716,8
241,453,-710,0
241,449,-712,8
241,449,-695,0
241,454,-690,8
241,455,-697,0
241,441,-679,8
241,438,-673,0
241,443,-673,8
241,467,-666,0
241,472,-669,8
241,466,-673,0
241,460,-666,8
241,459,-692,0
241,449,-717,8
241,459,-711,0
241,432,-688,8
241,432,-683,0
241,437,-687,8
241,438,-666,0
241,432,-669,8
241,460,-737,0
241,457,-742,8
241,461,-742,0
241,478,-744,8
241,471,-748,0
241,475,-749,8
241,483,-742,0
241,472,-743,8
241,466,-753,0
241,452,-748,8
241,453,-752,0
241,459,-750,8
241,464,-725,0
241,459,-725,8
241,456,-728,0
2007,316,-324,8
2007,358,-307,0
2007,366,-356,8
2007,420,-276,0
2008,302,-286,8
2008,406,-336,0
2008,448,-270,8
2008,480,-321,0
2008,441,-367,8
2008,316,-361,0
2007,440,-401,8
2009,466,-384,8
2009,392,-292,0
2009,326,-289,8
2009,292,-328,0
2009,320,-400,8
2009,258,-319,0
2020,341,-338,8
2020,296,-354,0
2020,390,-326,8
2020,421,-299,0
2020,453,-325,0
2020,295,-403,8
2021,261,-356,8
2021,219,-347,0
2021,327,-378,8
2021,297,-267,0
2021,459,-279,8
2021,477,-396,0
2021,389,-367,8
2020,205,-383,8
2020,277,-381,0
2008,229,-364,8
2008,239,-338,8
2009,282,-343,8
2007,412,-734,8
2007,456,-681,0
2008,449,-744,8
2008,395,-705,0
2009,372,-698,8
2009,466,-708,0
2020,413,-628,8
2021,459,-625,8
2021,448,-729,0
2021,412,-748,8
2007,57,-684,8
2007,46,-738,0
2007,7,-689,8
2008,78,-721,0
2008,18,-652,8
2008,35,-581,0
2009,15,-605,8
2009,76,-679,0
2009,19,-719,8
2020,98,-704,8
2020,45,-655,0
2020,14,-568,8
2021,24,-685,8
2021,7,-548,0
2021,121,-697,8
2007,9,-481,8
2009,35,-506,0
4696,58,-384,6
20,420,-715,8
20,397,-713,12
20,403,-699,12
20,428,-735,12
2062,178,-518,0
254,470,-401,12
42,469,-407,12
129,312,-342,12
130,312,-346,12
393,312,-350,12
413,312,-353,12
289,269,-498,6
333,268,-538,0
415,311,-534,8
290,316,-546,0
102,153,-493,8
288,119,-508,0
287,113,-508,0
100,88,-393,8
97,81,-393,8
51,50,-389,12
131,123,-699,12
111,339,-724,12
289,311,-339,12
5338,235,-468,0
