typeid,posx,posy,dir
2007,-94,-518,0
2007,-172,-559,8
2007,-214,-522,0
2007,-177,-438,8
2008,-133,-472,8
2008,-102,-408,0
2008,-187,-410,8
2008,-247,-582,0
2008,-241,-534,8
2009,-185,-593,8
2009,-256,-442,0
2009,-89,-564,8
2009,-196,-464,8
2020,-180,-474,8
2020,-158,-536,0
2020,-228,-571,8
2020,-241,-408,0
2020,-161,-397,8
2021,-153,-455,8
2021,-225,-477,0
2021,-193,-556,8
2021,-216,-616,0
2021,-76,-509,8
2007,-362,-486,8
2007,-321,-525,8
2007,-313,-631,8
2008,-346,-613,8
2008,-414,-680,0
2008,-462,-638,8
2009,-462,-712,8
2009,-371,-633,0
2009,-431,-654,8
2020,-328,-646,8
2020,-335,-589,0
2020,-415,-654,8
2021,-340,-526,8
2021,-305,-610,0
2021,-472,-650,8
4653,-344,-298,0
4919,-350,-411,0
4919,-364,-425,8
4919,-344,-432,0
26,-103,-393,0
26,-103,-404,10
26,-113,-450,10
26,-121,-394,10
26,-121,-401,6
26,-97,-420,12
26,-92,-426,10
26,-104,-443,8
26,-104,-434,8
26,-165,-456,12
26,-170,-467,14
26,-223,-468,4
26,-198,-477,2
26,-186,-481,6
26,-142,-474,14
26,-129,-476,0
26,-138,-440,4
26,-143,-450,8
26,-147,-438,0
26,-141,-428,14
26,-131,-427,4
26,-130,-415,2
26,-148,-399,4
26,-151,-414,0
26,-160,-437,12
26,-122,-464,12
26,-138,-404,8
30,-252,-461,8
30,-238,-459,6
30,-263,-454,8
30,-247,-441,10
30,-203,-447,8
30,-223,-450,6
30,-211,-464,8
30,-254,-424,10
30,-245,-410,8
30,-237,-427,10
30,-189,-367,4
30,-183,-386,6
30,-171,-372,4
30,-199,-399,12
30,-217,-476,6
30,-214,-399,8
30,-176,-424,0
30,-199,-418,4
30,-208,-429,6
30,-224,-437,8
30,-226,-413,0
30,-162,-408,8
30,-161,-427,8
30,-169,-442,8
30,-186,-441,6
27,-158,-496,12
27,-153,-506,8
27,-147,-484,2
27,-139,-490,4
27,-191,-473,6
27,-209,-478,8
27,-230,-482,10
27,-234,-472,2
27,-193,-579,4
27,-181,-579,2
27,-167,-577,14
27,-164,-553,0
27,-182,-554,2
27,-172,-543,14
27,-175,-531,0
27,-211,-570,0
27,-206,-582,14
27,-198,-570,0
27,-197,-604,12
27,-201,-586,0
27,-172,-601,0
27,-194,-592,0
27,-187,-598,2
27,-178,-590,4
27,-160,-589,14
27,-187,-526,0
27,-202,-510,2
27,-191,-510,0
27,-200,-533,0
27,-159,-540,2
27,-227,-619,6
27,-218,-622,4
27,-224,-613,2
27,-212,-607,0
27,-167,-528,8
27,-175,-571,8
124,-214,-528,0
124,-225,-524,14
124,-223,-513,14
124,-238,-515,0
124,-253,-525,14
124,-249,-537,14
124,-231,-540,0
124,-220,-538,2
124,-252,-555,2
124,-243,-557,0
124,-255,-563,12
124,-206,-562,12
124,-229,-560,14
124,-215,-549,14
124,-217,-585,14
124,-232,-579,12
124,-243,-568,14
124,-276,-510,8
124,-270,-510,10
124,-274,-517,8
124,-260,-534,14
124,-261,-552,2
124,-249,-513,2
124,-230,-507,2
124,-261,-520,2
124,-208,-595,8
124,-271,-568,4
124,-258,-573,14
124,-248,-590,0
124,-240,-601,6
124,-231,-591,4
255,-279,-579,0
255,-264,-579,14
