typeid,posx,posy,dir
4568,1568,-324,8
4568,1572,-318,0
4568,1573,-349,12
4568,1583,-360,8
4568,1567,-384,0
4568,1573,-394,0
4568,1570,-407,14
4568,1579,-405,14
4568,1568,-422,6
4568,1581,-418,14
4568,1616,-388,6
4568,1618,-397,14
4568,1582,-395,8
4568,1575,-359,8
4568,1577,-326,12
4568,1583,-350,8
4568,1590,-374,0
4568,1614,-420,14
4568,1637,-417,12
4568,1626,-393,4
4568,1636,-401,12
4568,1619,-431,4
4568,1585,-459,6
4568,1573,-457,0
4568,1602,-463,2
4568,1607,-471,4
4568,1617,-465,12
4568,1609,-435,4
4569,1651,-467,4
4569,1661,-470,12
4569,1652,-477,4
4569,1691,-464,12
4569,1699,-460,14
4569,1700,-477,12
4569,1693,-483,10
4569,1706,-483,0
4569,1644,-471,12
4569,1711,-461,4
4569,1726,-460,12
4569,1719,-464,4
4569,1716,-480,12
4569,1733,-480,10
4569,1745,-477,6
4569,1647,-355,8
4569,1660,-359,2
4569,1653,-349,6
4569,1622,-367,0
4569,1632,-369,8
4569,1628,-358,4
4569,1602,-329,8
4569,1610,-336,12
4569,1639,-314,6
4569,1647,-310,4
4569,1642,-325,12
4569,1652,-324,4
4569,1609,-296,12
4569,1619,-302,8
4569,1605,-345,12
4569,1613,-310,12
4570,1676,-419,12
4570,1657,-406,4
4570,1659,-414,12
4570,1678,-427,12
4570,1687,-426,2
4570,1655,-444,8
4570,1652,-431,0
4570,1684,-448,14
4570,1677,-446,8
4570,1658,-437,0
4570,1656,-420,6
4570,1730,-432,14
4570,1728,-425,6
4570,1735,-420,10
4570,1730,-403,6
4570,1723,-407,14
4570,1718,-397,6
4570,1715,-436,14
4570,1709,-426,6
4570,1716,-424,14
4570,1713,-410,4
4570,1707,-399,4
4570,1734,-392,12
4570,1685,-418,4
4570,1740,-399,4
4570,1741,-384,12
4570,1738,-429,4
4570,1732,-446,12
4571,1714,-412,12
4572,1716,-335,8
4572,1710,-325,0
4572,1719,-320,8
4572,1680,-311,0
4572,1682,-325,8
4572,1697,-314,0
4572,1693,-328,8
4572,1682,-341,0
4572,1681,-350,8
4572,1692,-343,0
4572,1694,-368,8
4572,1716,-368,0
4572,1721,-356,8
4572,1728,-366,0
4572,1739,-340,8
4572,1737,-331,0
4572,1742,-314,8
4572,1753,-355,8
4572,1760,-367,8
4572,1756,-339,0
4572,1748,-323,8
4572,1755,-380,0
4632,1973,-396,8
4632,1914,-413,0
4632,1818,-326,8
4632,1911,-341,0
4632,1914,-297,8
4632,1815,-299,0
4632,1830,-291,8
4632,1841,-312,0
4632,1891,-291,8
4632,1850,-425,0
4632,1837,-355,8
4632,1893,-371,0
4632,1793,-313,8
4632,1881,-392,0
4632,1824,-380,8
4632,1843,-392,0
4632,1783,-356,8
