typeid,posx,posy,dir
3014,-115,1140,2
3003,142,1118,8
3011,-25,1065,14
3011,-46,1131,0
3011,-41,1144,0
3011,-44,1071,8
3011,-14,1063,0
3011,-31,1056,8
3011,-7,1180,12
3011,-15,1164,14
3011,-10,1150,10
3011,-54,1229,6
3011,-45,1238,8
3011,-43,1218,14
3011,-63,1227,8
3011,-70,1216,4
3011,-58,1172,0
3011,-18,1206,8
3011,-15,1222,0
3011,-6,1201,8
3010,122,879,8
3010,116,924,0
3010,157,881,8
3010,158,837,8
3010,159,834,0
3010,191,833,0
3010,188,831,8
3010,97,847,0
3010,79,827,8
3010,102,814,0
3010,95,854,8
3010,77,836,0
3010,106,806,8
3010,101,828,0
3010,105,825,8
3010,70,859,0
3010,84,849,0
3010,70,890,8
3010,79,894,0
3010,77,885,8
3010,61,905,0
3010,61,911,8
3010,64,876,0
3010,85,954,8
3010,69,944,0
3010,87,991,0
3010,93,988,8
3010,79,976,0
3010,98,978,8
3010,188,976,8
3010,196,959,0
3010,192,955,8
3010,193,928,0
3010,192,902,0
3012,-180,1215,0
3012,-172,1218,8
3012,-160,1231,0
3012,-167,1195,8
3012,-187,1194,0
3012,-171,1118,8
3012,-208,1084,0
3012,-184,1064,8
3012,-150,1068,0
3012,-171,1067,0
3012,-166,1061,8
3012,-175,1062,0
3012,-197,1078,8
3012,-204,1077,0
3012,-203,1091,8
3012,-217,1120,0
3012,-213,1130,8
3012,-168,1156,0
3013,-195,1219,8
3014,-117,1127,8
3014,-97,1138,0
3014,-108,1162,8
3011,-54,1108,8
3013,-166,1209,8
3013,-221,1128,8
3013,-201,1066,8
3013,-220,1079,8
3010,156,986,8
3011,-10,1132,0
3011,-8,1111,2
3011,-49,1097,6
3011,-57,1091,4
3011,-33,1071,8
3011,-3,1104,14
3012,-209,1124,0
3012,-211,1114,8
3012,-176,1111,8
3012,-170,1104,0
3012,-173,1149,8
3013,-177,1151,8
3013,-161,1223,8
3013,-177,1141,8
3013,-174,1117,8
3013,-217,1113,8
3013,-203,1082,8
3013,-179,1062,8
3012,-130,1072,8
3013,-156,1057,8
3013,-190,1210,8
3012,-173,1209,8
3010,71,879,8
3010,110,905,0
3010,111,895,0
3010,168,896,8
3010,167,889,0
3010,186,839,0
3010,180,840,0
3010,171,826,8
3010,176,832,8
3010,177,856,8
3010,170,851,8
3010,127,991,8
3010,125,976,8
3010,76,933,0
3010,79,946,8
3010,164,921,0
3010,133,931,8
3010,139,930,8
3010,176,952,0
3010,74,847,8
3011,-66,1183,2
3006,137,1173,8
3004,145,1173,8
3001,133,1166,2
3007,150,1166,14
3002,93,1153,4
4372,170,1104,14
396,153,1174,10
333,130,1173,6
