typeid,posx,posy,dir
5329,384,-354,8
5329,352,-311,8
5329,397,-319,8
5329,237,-361,8
5329,279,-380,8
5329,429,-391,8
5329,468,-395,8
5329,476,-509,8
5329,443,-540,8
5329,68,-376,8
5329,229,-651,8
5329,121,-581,8
5329,122,-693,8
5329,-14,-650,8
5329,28,-692,8
5329,441,-626,8
5329,462,-719,8
5329,-217,-429,8
5329,-214,-513,8
5329,-169,-469,8
5329,-273,-635,8
5329,-183,-604,8
5329,-394,-387,8
5329,-348,-426,8
5329,-259,-316,8
5329,-306,-308,8
5329,-488,-322,8
5329,-532,-413,8
5329,-494,-447,8
5329,-412,-436,8
5329,-240,-563,8
5329,-142,-405,8
5329,-606,-665,8
5329,-602,-716,8
5329,-600,-623,8
5329,-326,-807,8
5329,-286,-934,8
5329,-299,-1132,8
5329,-408,-1271,8
5329,-385,-1312,8
5329,-305,-1476,8
5329,-425,-1017,8
5329,-474,-1058,8
5329,-523,-968,8
5329,-551,-1021,8
5329,-666,-1055,8
5329,-579,-1130,8
5329,-501,-1121,8
5329,-568,-1064,8
5329,-645,-1144,8
5329,-711,-1141,8
5329,-582,-1199,8
5329,-332,-1099,8
5329,-301,-1012,8
5329,-326,-1335,8
5329,-437,-1371,8
5329,-641,-941,8
5329,-646,-821,8
5329,-630,-897,8
5329,-876,-1437,8
5329,-864,-1565,8
5329,-1011,-1563,8
5329,-1157,-1549,8
5329,-1209,-1677,8
5329,-1052,-1686,8
5329,-992,-1755,8
5329,-842,-1693,8
5329,-954,-1823,8
5329,-847,-1847,8
5329,-838,-1970,8
5329,-1010,-2000,8
5329,-958,-1953,8
5329,-1087,-1826,8
5329,-1212,-1810,8
5329,-1235,-1917,8
5329,-812,-1132,8
5329,-925,-1162,8
5329,-965,-1148,8
5329,-910,-1117,8
5329,-982,-1010,8
5329,-861,-1010,8
5329,-893,-962,8
5329,-990,-946,8
5329,-811,-798,8
5329,-979,-840,8
5329,-1116,-847,8
5329,-1248,-895,8
5329,-1228,-822,8
5329,-1133,-919,8
5329,-1230,-955,8
5329,-1126,-1123,8
5329,-1167,-1171,8
5329,-999,-1320,8
5329,-1194,-1318,8
