typeid,posx,posy,dir
5329,212,-325,8
5329,280,-383,8
5329,208,-385,8
5329,326,-378,8
5329,294,-411,8
5329,406,-335,8
5329,387,-357,8
5329,353,-310,8
5329,478,-316,8
5329,469,-394,8
5329,468,-410,8
5329,48,-399,8
5329,213,-589,8
5329,235,-638,8
5329,184,-637,8
5329,155,-587,8
5329,475,-511,8
5329,471,-504,8
5329,379,-506,8
5329,414,-624,8
5329,445,-628,8
5329,454,-687,8
5329,410,-714,8
5329,420,-733,8
5329,281,-729,8
5329,281,-697,8
5329,110,-699,8
5329,49,-681,8
5329,23,-649,8
5329,-90,-521,8
5329,-102,-562,8
5329,-177,-552,8
5329,-222,-511,8
5329,-229,-472,8
5329,-175,-455,8
5329,-190,-406,8
5329,-126,-434,8
5329,-242,-556,8
5329,-236,-590,8
5329,-193,-595,8
5329,-394,-498,8
5329,-426,-439,8
5329,-478,-435,8
5329,-524,-387,8
5329,-530,-350,8
5329,-481,-335,8
5329,-479,-377,8
5329,-462,-393,8
5329,-422,-388,8
5329,-392,-403,8
5329,-370,-431,8
5329,-348,-394,8
5329,-342,-363,8
5329,-349,-332,8
5329,-327,-303,8
5329,-258,-614,8
5329,-265,-633,8
5329,-320,-639,8
5329,-370,-634,8
5329,-436,-652,8
5329,-506,-698,8
5329,-536,-645,8
5329,-498,-628,8
5329,-601,-669,8
5329,-614,-694,8
5329,-588,-696,8
5329,-614,-646,8
5329,-593,-642,8
5329,-447,-837,8
5329,-472,-860,8
5329,-521,-859,8
5329,-604,-878,8
5329,-599,-832,8
5329,-647,-846,8
5329,-311,-881,8
5329,-329,-908,8
5329,-294,-911,8
5329,-340,-817,8
5329,-333,-1009,8
5329,-309,-1028,8
5329,-298,-1050,8
5329,-306,-1104,8
5329,-411,-1151,8
5329,-433,-1246,8
5329,-400,-1264,8
5329,-350,-1362,8
5329,-363,-1367,8
5329,-383,-1371,8
5329,-461,-1339,8
5329,-332,-1471,8
5329,-302,-1485,8
5329,-555,-1153,8
5329,-633,-1144,8
5329,-669,-1037,8
5329,-584,-1036,8
5329,-709,-1148,8
5329,-656,-1165,8
5329,-531,-1120,8
5329,-489,-1106,8
5329,-462,-1064,8
5329,-418,-1043,8
5329,-442,-1017,8
5329,-1078,-1400,8
5329,-997,-1447,8
5329,-1078,-1508,8
5329,-1226,-1454,8
5329,-866,-1461,8
5329,-840,-1583,8
5329,-1019,-1590,8
5329,-1142,-1531,8
5329,-1140,-1600,8
5329,-1229,-1632,8
5329,-1011,-1698,8
5329,-1065,-1735,8
5329,-942,-1737,8
5329,-909,-1675,8
5329,-887,-1810,8
5329,-929,-1831,8
5329,-987,-1872,8
5329,-870,-1964,8
5329,-1011,-1968,8
5329,-974,-1986,8
5329,-1089,-1971,8
5329,-1110,-1905,8
5329,-1086,-1827,8
5329,-1196,-1824,8
5329,-1231,-1870,8
5329,-1234,-1914,8
5329,-1207,-1986,8
5329,-833,-1125,8
5329,-887,-1163,8
5329,-921,-1140,8
5329,-959,-1132,8
5329,-898,-1066,8
5329,-914,-1012,8
5329,-894,-968,8
5329,-938,-958,8
5329,-970,-986,8
5329,-966,-1016,8
5329,-927,-919,8
5329,-846,-819,8
5329,-910,-831,8
5329,-974,-821,8
5329,-842,-859,8
5329,-852,-880,8
5329,-1017,-914,8
5329,-1036,-892,8
5329,-1097,-862,8
5329,-1132,-860,8
5329,-1169,-876,8
5329,-1200,-824,8
5329,-1236,-866,8
5329,-1209,-916,8
5329,-1130,-923,8
5329,-1081,-1000,8
5329,-1137,-1007,8
5329,-1251,-996,8
5329,-1198,-1002,8
5329,-1137,-1065,8
5329,-1074,-1117,8
5329,-1145,-1146,8
5329,-1218,-1155,8
5329,-1169,-1195,8
5329,-1136,-1269,8
5329,-1084,-1289,8
5329,-1146,-1313,8
