typeid,posx,posy,dir
5603,-1457,-22,2
5604,-1431,11,6
5605,-1528,222,6
5608,-1327,46,10
5617,-1489,52,8
5617,-1453,40,8
5617,-1456,26,8
5617,-1470,26,8
5617,-1464,37,8
5617,-1469,51,8
5617,-1476,44,8
5617,-1472,59,8
5617,-1486,65,8
5617,-1523,30,8
5617,-1500,73,8
5617,-1539,20,8
5617,-1681,29,8
5617,-1695,40,8
5617,-1696,18,8
5617,-1677,14,8
5617,-1552,27,8
5617,-1642,10,8
5617,-1665,-13,8
5617,-1641,-2,8
5617,-1668,3,8
5617,-1531,46,8
5617,-1565,39,8
5617,-1645,-14,8
5617,-1551,45,8
5617,-1541,35,8
5617,-1654,-2,8
5617,-1537,59,8
5617,-1686,3,8
5617,-1675,42,8
5618,-1651,-31,8
5618,-1632,-31,8
5618,-1694,-100,8
5618,-1642,-43,8
5618,-1600,-34,8
5618,-1617,-32,8
5618,-1608,-19,8
5618,-1579,-72,8
5618,-1586,-48,8
5618,-1588,-63,8
5618,-1608,-53,8
5618,-1606,-96,8
5618,-1590,-88,8
5618,-1588,-99,8
5618,-1629,-51,8
5618,-1586,-115,8
5618,-1604,-108,8
5618,-1575,-104,8
5618,-1596,-112,8
5618,-1640,-58,8
5618,-1657,-62,8
5618,-1671,-66,8
5618,-1676,-86,8
5618,-1658,-78,8
5618,-1688,-116,8
5618,-1668,-95,8
5618,-1677,-106,8
5618,-1705,-113,8
5618,-1699,-125,8
5618,-1690,-128,8
5619,-1767,-13,8
5619,-1754,-10,8
5619,-1741,-14,8
5619,-1748,-25,8
5619,-1760,-22,8
5619,-1734,-103,8
5619,-1749,-54,8
5619,-1754,-38,8
5619,-1763,-51,8
5619,-1699,-56,8
5619,-1763,-68,8
5619,-1768,-80,8
5619,-1752,-74,8
5619,-1729,-58,8
5619,-1717,-44,8
5619,-1714,-32,8
5619,-1735,-46,8
5619,-1698,-17,8
5619,-1741,-67,8
5619,-1769,-99,8
5619,-1767,-115,8
5619,-1670,-41,8
5619,-1749,-111,8
5619,-1675,-30,8
5619,-1683,-21,8
5619,-1686,-48,8
5619,-1747,-91,8
5619,-1685,-33,8
5619,-1700,-33,8
5619,-1757,-102,8
5621,-1559,224,8
5621,-1560,214,8
5621,-1565,223,8
5621,-1574,216,8
5621,-1587,200,8
5621,-1593,200,8
5621,-1599,197,8
5621,-1614,207,8
5621,-1539,192,8
5621,-1639,172,8
5621,-1644,180,8
5621,-1536,155,8
5621,-1548,185,8
5621,-1586,191,8
5621,-1560,170,8
5621,-1544,196,8
5621,-1547,212,8
5621,-1577,161,8
5621,-1604,172,8
5621,-1611,154,8
5621,-1595,181,8
5621,-1586,169,8
5621,-1545,168,8
5621,-1553,161,8
5621,-1604,156,8
5621,-1536,167,8
5622,-1634,142,8
5622,-1608,78,8
5622,-1590,91,12
5622,-1657,83,8
5622,-1596,93,8
5622,-1628,131,8
5622,-1630,119,8
5622,-1619,111,8
5622,-1615,129,8
5622,-1606,121,12
5622,-1586,161,8
5622,-1602,138,8
