typeid,posx,posy,dir
4381,-579,-838,8
2022,-331,-904,8
2022,-291,-918,0
2022,-308,-809,8
2023,-319,-1023,8
2023,-315,-1000,0
2023,-324,-1095,8
2010,-335,-1108,8
2010,-405,-909,0
2010,-447,-840,8
2011,-453,-902,8
2011,-296,-942,0
2011,-344,-824,8
2011,-327,-1081,8
2012,-327,-1129,8
2012,-347,-965,0
2012,-415,-870,8
2010,-585,-922,8
2010,-628,-994,0
2010,-558,-1054,8
2010,-524,-1110,0
2010,-587,-1174,8
2010,-596,-1099,0
2011,-564,-1114,8
2011,-628,-1069,0
2011,-699,-1072,0
2011,-682,-1015,8
2011,-542,-1164,0
2012,-650,-1189,8
2012,-630,-1142,0
2012,-658,-1085,8
2012,-589,-1050,0
2012,-495,-1111,8
2022,-573,-1142,8
2022,-672,-1104,0
2022,-611,-1176,8
2022,-744,-1055,0
2022,-725,-990,8
2022,-669,-1139,8
2023,-650,-1111,8
2023,-722,-1140,0
2023,-734,-1020,8
2023,-562,-1082,0
2023,-522,-1136,8
4101,-401,-890,10
2055,-591,-845,6
4669,-348,-906,8
186,-458,-792,0
186,-440,-796,0
186,-432,-808,0
186,-441,-824,0
186,-447,-831,0
186,-445,-838,0
186,-422,-833,0
186,-425,-837,0
186,-448,-869,0
186,-443,-874,0
186,-447,-880,0
186,-457,-880,0
186,-463,-886,0
186,-444,-899,0
186,-435,-892,0
186,-427,-858,0
186,-428,-851,0
186,-445,-846,0
186,-424,-846,0
186,-427,-828,0
186,-452,-801,0
186,-478,-887,8
186,-489,-891,8
186,-548,-931,8
186,-473,-905,8
186,-479,-909,8
186,-521,-924,8
186,-498,-925,8
186,-495,-931,8
186,-505,-925,8
186,-493,-914,8
186,-510,-906,8
186,-550,-911,8
186,-530,-911,8
186,-471,-850,8
186,-480,-849,8
186,-462,-850,8
186,-490,-854,8
186,-497,-865,8
186,-470,-866,8
186,-483,-865,8
186,-508,-854,8
185,-659,-835,8
185,-664,-833,8
185,-647,-818,8
185,-649,-823,8
185,-646,-847,8
185,-651,-844,8
185,-681,-830,8
185,-682,-838,8
185,-674,-836,8
185,-708,-849,10
185,-702,-860,4
185,-716,-858,8
185,-723,-905,4
185,-717,-919,2
185,-721,-891,6
185,-675,-893,6
185,-675,-906,2
185,-661,-908,0
185,-644,-907,14
185,-659,-895,2
185,-645,-895,0
185,-687,-931,2
185,-636,-935,14
185,-637,-956,0
185,-677,-948,2
185,-651,-954,0
185,-667,-959,2
185,-650,-938,0
185,-690,-947,2
185,-658,-877,4
185,-653,-868,6
185,-671,-934,2
185,-638,-870,4
185,-629,-875,2
185,-622,-868,6
185,-608,-890,2
185,-613,-897,2
185,-615,-885,2
185,-631,-900,8
188,-496,-951,10
188,-487,-961,14
188,-508,-963,0
188,-519,-939,14
188,-534,-942,14
188,-524,-960,14
188,-491,-981,10
188,-493,-992,10
188,-510,-988,12
188,-485,-944,12
188,-551,-955,10
188,-551,-970,8
188,-542,-986,14
188,-556,-998,8
188,-537,-1016,8
188,-521,-1005,8
188,-506,-1003,12
188,-523,-977,14
188,-567,-973,8
188,-572,-1005,8
188,-554,-1012,10
188,-569,-1023,12
188,-552,-1028,6
188,-605,-974,8
188,-600,-949,8
188,-618,-997,8
188,-646,-1011,8
188,-534,-1046,6
188,-549,-1053,6
188,-570,-1049,8
188,-580,-1035,8
188,-632,-1010,8
188,-634,-1030,6
75,-630,-1054,2
75,-615,-1071,6
75,-653,-1070,2
75,-662,-1043,2
75,-677,-1058,0
75,-693,-1031,12
75,-672,-1087,12
75,-703,-1085,0
75,-690,-1103,14
75,-708,-1100,10
75,-685,-1143,14
75,-645,-1130,12
75,-641,-1146,2
75,-664,-1118,2
75,-734,-1142,12
75,-721,-1157,10
75,-712,-1131,0
75,-707,-1165,12
75,-727,-1170,0
75,-741,-993,12
75,-743,-1020,14
75,-725,-1010,4
75,-693,-1002,0
75,-676,-1033,6
75,-686,-1123,8
75,-627,-1083,4
75,-603,-1062,4
75,-604,-1083,4
376,-656,-1173,8
376,-633,-1184,8
376,-629,-1162,10
376,-621,-1202,14
376,-679,-1169,14
376,-659,-1154,0
376,-667,-1187,14
376,-643,-1203,0
377,-551,-1149,8
377,-564,-1138,6
377,-550,-1128,6
377,-557,-1107,6
377,-563,-1124,6
377,-584,-1130,6
377,-585,-1154,10
377,-564,-1167,6
377,-551,-1172,8
377,-576,-1191,8
377,-573,-1173,8
377,-595,-1170,8
377,-592,-1193,10
377,-585,-1204,10
377,-533,-1147,10
377,-520,-1120,14
377,-539,-1116,10
377,-534,-1091,8
377,-536,-1074,0
377,-551,-1081,8
377,-573,-1072,8
377,-574,-1094,6
377,-577,-1112,6
377,-567,-1105,6
377,-595,-1114,4
377,-611,-1112,6
377,-607,-1129,4
377,-601,-1147,6
377,-587,-1142,6
377,-504,-1122,12
377,-516,-1082,4
377,-501,-1091,2
377,-553,-1066,8
377,-508,-1103,6
191,-472,-1060,8
191,-460,-1075,10
191,-441,-1043,10
191,-488,-1050,12
191,-512,-1065,12
191,-505,-1084,10
191,-494,-1069,8
191,-479,-1087,10
191,-484,-1105,10
191,-466,-1100,6
191,-453,-1088,12
191,-471,-1040,10
191,-440,-1070,10
191,-453,-1060,12
191,-455,-1032,10
191,-428,-1035,8
191,-427,-1054,12
191,-397,-1031,12
191,-409,-1026,14
191,-421,-1008,0
191,-398,-1015,12
191,-440,-1018,10
191,-445,-1001,6
191,-422,-1024,8
191,-457,-1047,10
191,-476,-1072,10
189,-325,-887,8
189,-317,-881,4
189,-324,-877,8
189,-316,-865,10
189,-327,-862,8
189,-336,-845,8
189,-329,-846,10
189,-339,-832,8
189,-334,-828,6
189,-330,-833,6
189,-340,-806,6
189,-334,-795,6
189,-334,-802,6
189,-317,-796,8
189,-312,-810,8
189,-304,-810,12
189,-309,-803,8
189,-318,-819,12
189,-333,-817,12
189,-324,-798,6
189,-342,-818,4
189,-304,-889,12
189,-301,-881,12
189,-297,-894,12
189,-319,-912,14
189,-315,-905,14
189,-313,-912,14
189,-299,-925,14
189,-294,-929,14
189,-299,-932,14
189,-286,-940,12
189,-286,-946,14
189,-292,-946,14
189,-281,-920,12
189,-281,-927,12
189,-299,-940,2
381,-374,-1103,6
381,-360,-1097,8
381,-382,-1096,8
381,-353,-1107,8
381,-401,-1129,8
381,-419,-1133,10
381,-414,-1150,6
381,-397,-1146,0
381,-387,-1133,6
194,-407,-1139,8
380,-304,-1116,14
380,-294,-1115,2
380,-299,-1112,0
380,-298,-1119,0
380,-308,-1121,14
380,-289,-1119,4
380,-305,-1135,4
380,-292,-1135,14
383,-367,-1178,8
383,-382,-1183,12
383,-369,-1190,12
383,-353,-1186,14
383,-346,-1198,10
383,-344,-1191,8
383,-373,-1206,14
383,-354,-1209,2
383,-363,-1202,0
383,-357,-1220,6
383,-338,-1217,14
383,-345,-1227,14
383,-332,-1237,0
383,-310,-1233,10
383,-319,-1247,0
383,-326,-1225,0
383,-320,-1214,10
383,-273,-1240,10
383,-287,-1237,14
383,-282,-1248,12
383,-296,-1247,14
383,-275,-1220,12
383,-289,-1219,8
383,-274,-1253,14
192,-426,-1220,2
192,-416,-1236,0
192,-444,-1246,6
192,-400,-1248,10
192,-376,-1227,2
192,-396,-1223,14
192,-361,-1275,2
192,-340,-1293,14
192,-401,-1294,2
192,-452,-1305,2
192,-459,-1347,14
192,-433,-1372,2
192,-401,-1379,0
192,-352,-1371,0
192,-332,-1335,2
192,-385,-1333,2
192,-427,-1245,6
192,-373,-1246,6
192,-444,-1224,2
192,-360,-1252,0
193,-411,-1225,8
193,-407,-1255,8
193,-431,-1258,6
193,-429,-1271,2
193,-405,-1270,0
193,-386,-1256,4
193,-385,-1225,2
193,-448,-1237,2
193,-433,-1216,6
193,-432,-1248,6
193,-374,-1256,6
193,-351,-1282,10
193,-326,-1300,10
193,-334,-1320,10
193,-321,-1328,10
193,-336,-1358,10
193,-339,-1370,10
193,-363,-1370,10
193,-372,-1383,10
193,-412,-1374,10
193,-424,-1381,10
193,-444,-1376,10
193,-460,-1366,10
193,-443,-1347,10
193,-452,-1328,10
193,-473,-1341,10
193,-462,-1306,10
193,-442,-1283,10
193,-400,-1321,10
193,-377,-1316,10
193,-376,-1328,10
193,-394,-1331,10
192,-442,-1318,8
192,-432,-1359,8
192,-385,-1382,8
192,-343,-1357,4
192,-323,-1316,0
377,-539,-1060,8
377,-561,-1032,12
377,-545,-1011,10
377,-540,-1032,12
377,-561,-1015,12
377,-578,-1018,14
377,-571,-1034,14
377,-578,-1049,12
377,-567,-1064,12
377,-524,-1018,10
75,-607,-1119,8
75,-580,-1124,6
75,-595,-1137,12
75,-589,-1103,14
75,-594,-1157,14
75,-615,-1164,2
75,-638,-1170,2
75,-595,-1181,14
75,-569,-1163,0
188,-662,-1002,8
188,-675,-1021,8
188,-695,-1015,8
188,-713,-1000,8
188,-706,-1022,8
188,-725,-1029,8
188,-740,-1005,8
188,-750,-989,8
188,-734,-986,8
188,-739,-1030,8
188,-749,-1033,8
188,-689,-1042,8
188,-684,-1028,8
188,-673,-1040,8
188,-653,-1031,8
186,-571,-921,8
186,-575,-931,8
186,-590,-931,8
186,-557,-933,8
186,-548,-943,8
186,-527,-939,8
186,-508,-939,8
188,-526,-990,8
188,-535,-965,8
188,-501,-975,8
189,-318,-889,8
189,-305,-897,10
189,-320,-905,12
189,-310,-870,12
189,-307,-882,12
189,-333,-927,12
189,-338,-928,8
189,-340,-934,8
189,-349,-924,8
189,-343,-923,8
379,-341,-1000,2
379,-321,-994,14
379,-304,-1007,14
379,-301,-1015,10
