typeid,posx,posy,dir
5600,-1163,-23,8
5601,-1328,-77,0
5602,-1186,-153,2
5606,-1180,-72,4
5607,-1209,-39,6
5611,-1096,-38,10
5611,-1090,-44,6
5611,-1075,-40,6
5611,-1095,-50,10
5611,-1088,-51,6
5611,-1092,-65,8
5611,-1069,-53,8
5611,-1235,-66,8
5611,-1058,-63,8
5611,-1073,-68,4
5611,-1267,-56,8
5611,-1091,-80,10
5611,-1070,-73,8
5611,-1269,-43,8
5611,-1071,-88,8
5611,-1092,-90,6
5611,-1083,-84,8
5611,-1088,-96,8
5611,-1099,-105,4
5611,-1095,-108,8
5611,-1076,-101,8
5611,-1070,-116,8
5611,-1078,-120,14
5611,-1230,-61,8
5611,-1239,-52,8
5611,-1248,-54,8
5612,-1353,-94,8
5612,-1338,-108,8
5612,-1356,-118,14
5612,-1368,-90,8
5612,-1358,-163,0
5612,-1357,-195,10
5612,-1332,-185,12
5612,-1334,-174,8
5612,-1344,-159,12
5612,-1376,-101,8
5612,-1384,-134,8
5612,-1391,-136,12
5612,-1431,-52,8
5612,-1441,-48,8
5612,-1450,-89,8
5612,-1416,-76,8
5612,-1404,-96,8
5612,-1416,-107,4
5612,-1439,-53,8
5612,-1455,-92,8
5612,-1473,-66,4
5612,-1341,-181,4
5612,-1464,-58,8
5612,-1483,-79,2
5612,-1361,-169,14
5612,-1415,-102,4
5612,-1369,-98,8
5613,-1310,-48,8
5613,-1320,-44,8
5613,-1318,-51,8
5613,-1339,-47,8
5613,-1343,-41,8
5613,-1359,-40,10
5613,-1365,-37,8
5613,-1309,-180,8
5613,-1292,-203,14
5613,-1319,-114,8
5613,-1311,-202,8
5613,-1291,-94,8
5613,-1296,-89,10
5613,-1316,-96,8
5613,-1314,-123,14
5613,-1289,-102,8
5613,-1312,-136,14
5613,-1315,-117,14
5613,-1298,-103,10
5613,-1283,-170,8
5613,-1307,-148,8
5613,-1284,-176,8
5613,-1255,-184,12
5613,-1290,-212,10
5613,-1315,-150,8
5614,-1121,-214,8
5614,-1087,-201,10
5614,-1088,-229,14
5614,-1102,-217,8
5614,-1108,-232,0
5614,-1113,-201,2
5614,-1124,-232,0
5614,-1145,-229,0
5614,-1074,-216,12
5614,-1157,-214,10
5614,-1172,-199,12
5614,-1171,-221,0
5614,-1200,-191,8
5614,-1184,-178,8
5614,-1195,-219,0
5614,-1217,-220,0
5614,-1194,-205,14
5614,-1201,-176,4
5614,-1206,-158,10
5614,-1222,-148,8
5614,-1229,-162,8
5614,-1229,-197,8
5614,-1223,-116,12
5614,-1165,-183,8
5614,-1132,-214,8
5614,-1242,-151,4
5614,-1231,-133,14
5614,-1240,-108,8
5614,-1256,-120,6
5614,-1257,-139,2
5614,-1215,-195,8
5615,-1395,-202,14
5615,-1408,-193,10
5615,-1429,-195,2
5615,-1437,-127,4
5615,-1452,-207,14
5615,-1494,-175,4
5615,-1450,-150,8
5615,-1459,-159,8
5615,-1470,-111,2
5615,-1473,-104,14
5615,-1460,-110,14
5615,-1401,-170,4
5615,-1407,-151,2
5615,-1431,-163,14
5615,-1427,-182,6
5615,-1457,-199,8
5615,-1421,-159,14
5615,-1462,-81,8
5615,-1492,-97,2
5615,-1448,-119,4
5615,-1465,-157,6
5615,-1412,-150,14
5615,-1435,-171,0
5615,-1487,-106,4
5615,-1396,-177,8
5615,-1468,-191,2
5615,-1496,-187,6
5615,-1444,-141,6
5616,-1432,-213,0
5631,-1224,-184,8
5631,-1191,-174,8
5631,-1225,-223,0
5649,-1146,-155,14
5649,-1198,-138,2
5649,-1116,-173,14
5612,-1304,-140,12
5612,-1321,-142,10
5614,-1234,-225,0
5612,-1257,-194,0
5612,-1264,-192,0
5612,-1284,-207,0
5613,-1262,-213,14
5612,-1268,-212,8
5612,-1290,-172,8
5613,-1355,-188,14
5612,-1350,-135,6
5612,-1356,-138,14
5613,-1350,-138,2
5613,-1360,-121,12
5612,-1337,-198,14
5613,-1343,-200,0
5615,-1407,-205,14
5615,-1422,-201,4
5615,-1417,-184,10
5615,-1462,-206,2
5615,-1483,-211,4
5615,-1488,-200,14
5612,-1483,-204,4
5612,-1487,-214,4
5613,-1488,-179,4
5613,-1491,-183,8
5615,-1473,-198,2
5615,-1482,-112,6
5615,-1469,-171,6
5615,-1472,-175,4
5615,-1452,-184,0
5615,-1451,-192,4
5613,-1470,-60,14
5612,-1489,-79,4
5613,-1485,-84,12
5613,-1449,-96,8
5613,-1410,-106,8
5613,-1353,-158,14
5613,-1381,-139,0
5613,-1374,-88,0
5613,-1430,-68,0
5613,-1424,-70,4
5613,-1409,-62,0
5613,-1412,-57,10
5612,-1405,-57,4
5612,-1360,-33,12
5612,-1345,-46,8
5612,-1454,-71,12
5613,-1447,-69,4
5611,-1238,-60,10
5611,-1253,-59,4
5611,-1258,-52,6
5611,-1274,-40,10
5611,-1276,-50,4
5611,-1254,-43,0
5611,-1067,-128,8
5611,-1075,-132,8
5611,-1084,-110,2
5611,-1075,-53,4
5610,-1128,-169,4
5660,-1178,-37,8
5661,-1151,-29,10
5662,-1180,-56,4
5663,-1138,-69,12
5665,-1142,-41,12
5631,-1205,-223,0
5631,-1164,-205,12
5632,-1509,-199,8
5676,-1505,-141,2
