typeid,posx,posy,dir
5518,-789,-405,8
5518,-774,-397,8
5518,-797,-396,8
5518,-787,-396,8
5518,-778,-389,8
5518,-785,-379,8
5518,-770,-383,8
5518,-771,-364,8
5518,-766,-373,8
5518,-768,-344,8
5518,-781,-345,8
5518,-793,-354,8
5518,-797,-364,8
5518,-834,-370,8
5518,-844,-369,8
5518,-850,-376,8
5518,-822,-372,8
5518,-841,-403,8
5518,-819,-402,8
5518,-829,-379,8
5518,-828,-405,8
5518,-786,-332,8
5518,-803,-335,8
5518,-834,-350,8
5518,-810,-324,8
5518,-848,-354,8
5518,-863,-359,8
5518,-782,-356,8
5518,-853,-385,8
5518,-820,-318,8
5518,-810,-310,8
5519,-854,-327,8
5519,-868,-303,8
5519,-881,-322,8
5519,-891,-337,8
5519,-872,-315,8
5519,-890,-258,8
5519,-860,-280,8
5519,-877,-270,8
5519,-866,-266,8
5519,-876,-257,8
5519,-892,-315,8
5519,-918,-307,8
5519,-942,-272,8
5519,-937,-298,8
5519,-928,-315,8
5518,-792,-387,8
5518,-799,-381,8
5518,-844,-388,8
5526,-620,-296,8
5526,-618,-304,8
5526,-629,-301,8
5526,-634,-312,8
5526,-644,-311,8
5526,-663,-289,8
5526,-661,-315,8
5526,-672,-315,8
5526,-674,-302,8
5526,-657,-324,8
5526,-629,-323,8
5526,-624,-314,8
5526,-638,-302,8
5526,-639,-323,8
5526,-657,-301,8
5526,-654,-310,8
5526,-648,-319,8
5526,-653,-333,8
5519,-924,-333,8
5519,-866,-335,8
5519,-880,-336,8
5519,-904,-285,8
5519,-931,-288,8
5519,-984,-330,8
5519,-995,-328,8
5519,-919,-292,8
5519,-879,-300,8
5519,-970,-327,8
5519,-865,-323,8
5519,-954,-328,8
5519,-965,-316,8
5519,-967,-306,8
5519,-979,-311,8
5519,-989,-317,8
5519,-992,-304,8
5519,-999,-315,8
5519,-979,-298,8
5519,-993,-292,8
5519,-921,-267,8
5519,-934,-261,8
5519,-847,-336,8
5519,-950,-284,8
5519,-953,-267,8
5519,-961,-276,8
5519,-975,-269,8
5520,-801,-197,8
5520,-803,-214,8
5520,-817,-212,8
5520,-824,-226,8
5520,-830,-240,8
5520,-841,-223,8
5520,-832,-214,8
5520,-821,-196,8
5520,-814,-182,8
5520,-839,-198,8
5520,-869,-219,8
5520,-827,-180,8
5520,-861,-182,8
5520,-852,-196,8
5520,-853,-159,8
5520,-875,-174,8
5520,-901,-193,8
5520,-876,-207,8
5520,-884,-188,8
5520,-868,-143,8
5520,-811,-154,8
5520,-843,-149,8
5520,-794,-180,8
5520,-822,-164,8
5520,-836,-167,8
5520,-827,-149,8
5520,-803,-168,8
5520,-897,-160,8
5520,-899,-176,8
5520,-912,-157,8
5520,-914,-181,8
5520,-847,-240,8
5520,-887,-169,8
5520,-861,-206,8
5520,-899,-147,8
5523,-852,-91,8
5523,-871,-88,8
5523,-861,-94,8
5523,-865,-105,8
5523,-889,-94,8
5523,-847,-100,8
5523,-836,-119,8
5523,-809,-102,8
5523,-801,-72,8
5523,-819,-110,8
5523,-825,-103,8
5523,-818,-95,8
5523,-838,-88,8
5523,-831,-82,8
5523,-811,-88,8
5523,-831,-110,8
5523,-861,-80,8
5523,-879,-84,8
5523,-880,-102,8
5523,-864,-115,8
5523,-853,-111,8
5523,-828,-92,8
5523,-843,-79,8
5523,-876,-49,8
5523,-872,-32,8
5523,-799,-88,8
5523,-855,-43,8
5523,-844,-45,8
5523,-891,-104,8
5522,-908,-41,8
5522,-897,-25,8
5522,-911,-32,8
5522,-918,-42,8
5522,-913,-50,8
5522,-907,-58,8
5522,-922,-57,8
5522,-923,-34,8
5522,-935,-32,8
5522,-935,-42,8
5522,-933,-54,8
5522,-954,-58,8
5522,-930,-65,8
5522,-918,-68,8
5522,-945,-42,8
5522,-954,-48,8
5522,-943,-51,8
5522,-963,-54,8
5522,-961,-68,8
5522,-950,-70,8
5522,-942,-61,8
5522,-941,-76,8
