typeid,posx,posy,dir
4388,559,-540,8
4388,573,-543,12
4388,560,-551,6
4388,580,-559,14
4388,591,-540,6
4388,613,-527,0
4388,619,-541,8
4388,546,-574,14
4388,560,-575,8
4388,559,-591,0
4388,531,-592,8
4388,545,-592,0
4388,596,-583,8
4388,602,-602,0
4388,585,-611,8
4388,574,-598,0
4388,616,-591,8
4388,628,-607,0
4388,634,-580,8
4388,654,-573,0
4388,639,-559,8
4388,625,-563,0
4388,680,-581,8
4388,694,-596,0
4388,666,-619,8
4388,643,-619,0
4388,654,-628,8
4388,610,-619,0
4388,602,-623,8
4388,544,-614,0
4388,563,-617,8
4388,551,-626,0
4388,571,-635,8
4388,723,-573,0
4388,735,-582,8
4388,716,-589,0
4387,549,-484,6
4387,565,-491,4
4387,580,-492,4
4387,552,-497,12
4387,566,-504,6
4387,532,-502,12
4387,549,-513,4
4387,559,-471,12
4387,573,-474,6
4387,597,-480,14
4387,594,-499,6
4387,624,-480,10
4387,620,-497,2
4387,645,-479,10
4387,669,-476,2
4387,646,-497,10
4387,670,-499,2
4387,656,-514,10
4387,637,-521,2
4387,684,-529,10
4387,715,-518,0
4387,712,-497,8
4387,704,-506,0
4387,689,-500,8
4391,578,-442,6
4391,574,-458,12
4391,588,-452,6
4391,595,-438,2
4391,620,-438,10
4391,636,-441,2
4391,627,-449,10
4391,641,-453,14
4391,615,-451,12
4389,590,-398,8
4389,574,-405,14
4389,569,-392,8
4389,583,-413,0
4389,596,-409,8
4389,611,-408,0
4389,611,-415,8
4389,567,-422,2
4389,616,-369,2
4389,620,-366,10
4389,637,-397,2
4389,649,-398,10
4389,652,-412,2
4389,642,-424,10
4389,629,-413,2
4389,639,-412,10
4389,622,-396,2
4391,581,-404,4
4391,569,-413,6
4391,625,-402,12
4389,598,-416,8
4391,586,-419,4
4391,646,-409,12
4391,640,-390,4
4391,579,-397,2
4391,594,-392,8
4391,623,-418,10
4389,604,-362,8
4389,599,-360,8
4389,620,-339,0
4389,622,-344,8
4389,634,-344,0
4389,636,-339,4
4417,627,-335,8
4389,655,-348,8
4389,647,-354,0
4389,654,-358,8
4389,644,-358,0
4389,601,-340,8
4389,604,-344,0
4389,554,-335,8
4389,562,-322,0
4389,569,-334,8
4389,561,-330,0
4389,555,-305,8
4389,570,-300,0
4389,564,-307,8
4389,588,-310,0
4389,582,-316,8
4389,591,-316,0
4391,637,-303,8
4391,630,-308,14
4391,642,-308,8
4391,611,-313,0
4391,607,-318,8
4391,663,-313,0
4391,658,-318,8
4391,664,-322,0
4391,681,-322,8
4391,685,-327,0
4387,702,-332,8
4387,701,-327,0
4387,693,-337,8
4387,669,-369,0
4387,680,-370,8
4387,673,-376,0
4387,679,-345,8
4387,683,-349,0
4387,673,-357,8
4393,771,-369,12
4393,776,-372,2
4393,768,-389,10
4393,775,-389,2
4393,806,-351,10
4393,818,-350,2
4393,815,-365,10
4393,810,-360,2
4393,800,-387,10
4393,819,-388,2
4393,816,-399,10
4393,810,-391,2
4393,803,-397,10
4394,815,-454,0
4394,823,-465,8
4394,820,-476,0
4394,813,-468,8
4394,803,-469,0
4394,791,-482,8
4394,797,-486,0
4394,848,-458,8
4394,858,-460,0
4394,853,-475,8
4394,851,-468,0
4394,830,-493,8
4394,840,-492,0
4394,837,-500,8
4394,828,-501,0
4393,806,-431,8
