typeid,posx,posy,dir
3110,382,999,8
3110,387,1007,0
3110,353,1006,8
3110,349,995,0
3110,389,977,8
3110,385,967,0
3110,426,969,8
3110,415,957,8
3110,404,992,0
3110,336,978,8
3110,354,966,0
3110,343,961,8
3110,352,946,0
3110,355,936,8
3110,307,975,0
3110,315,983,8
3110,301,986,0
3110,314,918,8
3110,305,922,0
3110,292,915,8
3110,303,906,0
3110,311,896,8
3110,328,898,0
3110,415,905,8
3111,412,970,8
3111,466,959,0
3111,460,947,8
3111,453,963,0
3111,432,923,8
3111,415,932,0
3111,419,939,8
3111,399,928,0
3111,412,920,8
3111,456,933,0
3111,453,886,8
3111,441,888,0
3111,454,843,8
3111,455,858,0
3111,388,882,8
3111,360,881,0
3111,373,885,8
3111,330,886,0
3111,293,867,8
3111,299,878,0
3111,305,858,8
3111,292,818,0
3111,311,833,8
3111,305,791,0
3111,348,814,8
3111,355,830,0
3111,372,832,8
3111,358,857,0
3120,400,1112,8
3120,404,1126,0
3120,429,1160,8
3120,407,1199,0
3120,412,1201,8
3120,428,1208,0
3120,429,1196,8
3120,416,1220,0
3120,413,1226,8
3120,416,1262,0
3120,413,1264,8
3120,411,1278,0
3120,404,1281,8
3120,373,1274,0
3120,383,1279,8
3120,345,1270,0
3120,320,1236,0
3120,337,1213,8
3120,339,1207,0
3120,355,1150,8
3120,353,1158,0
3120,330,1157,8
3120,329,1154,0
3120,375,1100,8
3120,383,1105,8
3120,357,1107,0
3120,364,1113,8
3120,413,1073,0
3120,422,1076,8
3120,409,1084,0
3120,429,1102,8
3120,420,1109,0
3120,426,1115,8
3120,438,1099,0
3106,352,1210,0
3113,383,1349,8
3113,371,1355,0
3113,364,1352,8
3113,358,1364,0
3113,343,1358,8
3113,342,1368,0
3113,346,1345,8
3113,337,1346,0
3113,338,1335,8
3113,348,1383,0
3113,372,1364,8
3113,379,1376,0
3113,364,1392,8
3113,395,1405,0
3113,399,1377,0
3113,380,1360,8
3113,359,1406,0
3113,321,1401,0
3113,326,1393,0
3113,324,1360,8
3113,317,1355,0
3113,325,1348,8
3113,319,1338,0
3113,341,1317,8
3113,383,1330,0
3113,397,1368,8
3118,577,1127,8
3118,586,1134,0
3118,551,1144,0
3118,547,1154,8
3118,557,1154,0
3118,558,1114,8
3118,553,1125,0
3118,565,1124,8
3118,586,1083,0
3118,599,1084,8
3118,594,1074,0
3118,605,1070,8
3118,614,1084,0
3118,637,1076,0
3118,651,1068,0
3118,670,1078,8
3118,642,1110,8
3118,642,1134,0
3118,663,1116,8
3118,621,1135,8
3118,599,1126,0
3118,648,1121,8
3105,357,1219,0
3118,577,1138,8
3118,616,1110,0
3118,607,1130,8
3118,616,1126,8
3118,561,1144,8
3118,563,1161,8
3118,586,1146,8
3118,559,1120,8
3118,653,1079,8
3118,662,1080,8
3118,659,1073,8
3118,631,1068,8
3118,636,1068,8
3118,612,1075,8
3118,593,1080,8
3118,637,1122,8
3118,655,1130,8
3118,604,1114,8
3107,376,1177,2
3101,371,1184,6
3103,381,1184,14
3113,424,1401,8
3113,345,1412,0
3113,345,1404,8
3113,348,1365,8
3113,376,1330,8
3113,385,1337,8
3113,377,1336,8
3102,391,1199,10
3109,393,1159,12
3130,393,1153,10
4373,396,1147,12
333,361,1166,4
4513,408,1184,10
4514,418,1177,12
4515,408,1166,14
4516,414,1184,10
4517,416,1169,4
3324,393,1163,12
3110,403,1094,8
3110,401,1071,0
3110,311,1077,8
3110,333,1057,0
3110,333,1057,8
3110,314,1036,0
3110,314,1036,8
3110,326,1041,0
3110,326,1041,8
3110,326,1017,0
3110,326,1017,8
3110,314,1063,0
3110,314,1063,8
3110,334,1082,0
3110,299,1049,8
3110,301,1037,0
3110,384,1050,8
3110,449,1022,0
3110,431,1011,8
3110,431,1011,0
3110,446,1046,8
3110,438,1045,0
3110,408,1023,8
3110,403,1010,0
3110,414,1005,8
3110,414,1005,0
3110,450,1001,8
3110,450,1001,0
3110,444,1007,8
3110,435,1019,0
3110,435,1034,0
3110,448,1031,8
3110,426,1045,0
3110,424,1022,8
3110,425,1031,0
3110,399,1046,8
3110,348,1068,0
3110,391,1056,8
3110,334,1074,8
3110,342,1090,0
3110,344,1080,8
3110,419,1092,0
3110,437,1111,8
3110,411,1102,0
3110,334,1033,8
3110,327,1026,0
3110,339,1023,8
3110,296,1073,0
3110,303,1091,8
3110,341,999,0
3110,393,1026,8
3110,391,1044,0
3110,385,1036,8
3110,393,1035,0
3110,403,1033,8
3110,394,1090,0
3110,387,1081,8
3110,394,1081,0
3110,385,1090,8
3110,340,1042,0
3110,349,1048,8
3110,349,1038,0
3110,316,1048,8
3111,446,972,8
3111,446,985,0
3111,456,980,8
3111,442,956,0
3111,453,954,8
3111,428,959,0
3111,436,981,8
3111,435,968,0
3111,342,969,8
3111,324,975,0
3111,317,975,8
3111,331,967,0
3111,327,980,8
3111,347,939,0
3111,422,921,8
3111,390,941,0
3111,397,919,8
3111,406,911,0
3111,447,883,8
3111,441,893,0
3111,379,890,8
3111,368,902,0
3111,343,921,8
3111,351,920,0
3111,316,906,8
3111,299,845,0
3111,305,846,8
3111,363,824,0
3111,434,832,8
3111,433,827,0
3111,423,830,8
3111,306,815,0
3111,313,802,8
3111,297,806,0
3111,303,827,8
3111,400,873,0
3111,404,857,8
3111,318,883,0
3111,318,868,8
3111,329,868,0
3120,340,1181,8
3120,334,1189,0
3120,330,1197,8
3120,367,1232,0
3120,373,1226,8
3120,365,1226,0
3120,402,1237,8
3120,419,1192,0
3120,401,1189,8
3120,408,1177,0
3120,421,1184,8
3120,409,1192,0
3120,413,1175,8
3120,425,1172,0
3120,427,1182,8
3120,420,1152,0
3120,435,1149,8
3120,409,1147,0
3120,429,1145,8
3120,443,1144,0
3120,438,1154,8
3120,355,1142,0
3120,344,1143,8
3120,333,1141,0
3120,332,1137,8
3120,329,1143,0
3120,341,1125,8
3120,330,1249,0
3120,328,1240,8
3120,401,1255,0
3120,396,1265,8
3120,394,1270,0
3120,377,1264,8
3120,403,1212,0
3120,411,1248,8
3120,387,1210,0
3120,346,1209,8
3113,330,1340,8
3113,384,1384,0
3113,404,1346,8
3113,397,1342,0
3113,401,1335,8
3113,412,1351,0
3113,412,1357,8
3113,404,1358,0
3113,399,1355,8
3113,375,1392,0
3113,406,1400,8
3113,394,1383,0
3113,375,1401,8
3113,391,1402,0
3113,385,1412,8
3113,397,1394,0
3113,439,1372,8
3113,416,1382,0
3113,425,1380,8
3113,430,1369,0
3113,425,1390,8
3113,405,1382,0
3113,408,1368,8
3113,409,1337,0
3113,414,1323,8
3113,418,1339,0
3113,415,1366,8
3113,430,1361,0
3113,441,1381,8
3113,388,1378,0
3113,370,1413,8
3113,355,1348,0
3113,355,1374,8
3113,341,1379,0
2001,292,1057,8
2001,342,1074,0
2001,320,1022,8
2002,316,1101,8
2002,330,1049,0
2002,303,1075,8
2003,345,1018,8
2003,412,1037,0
2003,422,985,8
2003,428,1093,0
2003,391,1103,8
2001,420,1100,8
2001,424,1004,0
2002,420,971,8
2002,458,994,0
2016,444,1017,8
2016,395,1016,0
2016,409,962,8
2017,432,996,8
2017,453,944,0
2017,427,1084,8
2016,320,1078,8
2016,351,1025,0
2017,341,1061,8
2017,304,1055,0
2001,453,869,8
2001,367,879,0
2001,419,927,8
2001,428,836,0
2001,321,899,8
2001,350,954,0
2002,330,919,8
2002,305,805,0
2002,385,828,8
2002,391,932,0
2002,457,863,8
2003,412,912,8
2003,435,839,0
2003,320,823,8
2003,291,927,0
2003,357,997,8
2003,391,993,0
2016,317,843,8
2016,326,907,0
2016,416,895,8
2016,352,786,0
2017,314,784,8
2017,357,818,0
2017,331,848,8
2017,409,865,0
2017,362,924,8
2001,287,686,8
2001,352,735,0
2001,352,688,8
2001,290,729,0
2002,302,710,8
2002,351,716,0
2002,269,700,8
2002,369,730,0
2003,333,662,8
2003,315,744,0
2003,294,665,8
2003,336,745,0
2067,352,1173,2
3113,378,1419,8
3113,381,1407,0
3113,360,1419,8
3113,347,1374,0
3113,393,1329,8
3113,392,1345,0
3113,392,1336,8
3113,388,1321,0
3113,398,1323,8
3113,416,1318,0
3113,418,1329,8
3113,422,1359,0
3113,422,1371,8
3113,413,1345,0
3113,396,1350,8
3113,393,1322,8
3113,401,1329,0
3118,569,1147,8
3118,577,1148,0
3118,568,1136,8
3118,563,1132,0
3118,574,1155,8
3118,583,1155,0
3118,594,1088,8
3118,607,1091,0
3118,604,1079,8
3118,600,1076,0
3118,609,1101,8
3118,610,1115,0
3118,607,1107,8
3118,595,1114,0
3118,587,1109,8
3118,593,1101,0
3118,651,1111,8
3118,655,1119,0
3118,635,1112,8
3118,644,1082,0
3118,644,1074,8
3118,635,1084,0
3118,635,1093,8
3118,626,1093,0
3110,344,1031,8
3110,323,1057,0
3110,320,1034,8
3110,308,1041,0
3110,308,1053,8
3110,306,1067,0
3110,298,1065,8
3110,343,1098,0
3110,331,1095,8
3110,327,1085,0
3110,328,1065,8
3110,351,1084,0
3110,348,1090,8
3110,353,1059,0
3110,356,1069,8
3110,380,1059,0
3110,390,1060,8
3110,401,1057,0
3110,406,1051,8
3110,405,1041,0
3110,377,1043,8
3110,378,1032,0
3110,386,1025,8
3110,383,1016,0
3110,439,1026,8
3110,442,999,0
3110,444,991,8
3110,438,989,0
3110,409,985,8
3110,423,994,0
3110,344,949,8
3111,395,944,8
3111,398,966,0
3111,386,951,8
3111,381,882,0
3111,402,864,8
3111,412,860,0
3111,445,868,8
3111,446,875,0
3111,439,877,6
3111,447,859,2
3111,423,835,10
3111,389,1094,2
3111,380,1083,10
3111,376,1085,2
3111,380,1074,10
3111,388,1073,2
3111,396,1072,10
3111,399,1082,2
3111,404,1065,10
3111,397,1097,2
3111,353,1076,10
3111,358,1085,2
3111,360,1076,8
3111,350,1099,0
2001,443,964,8
2001,389,1018,0
2001,402,973,8
2002,441,1032,8
2002,402,1061,0
2002,417,1014,8
2002,405,921,0
2002,446,949,8
2002,428,981,0
2003,426,933,8
2003,399,981,0
2003,442,979,8
2003,425,1011,0
2003,457,1025,8
2003,414,1052,0
2001,356,1036,8
2001,316,1070,0
2001,333,1040,8
2001,308,1027,0
2001,333,1010,8
2002,322,1049,8
2002,320,1086,0
2002,342,1052,8
2002,349,1000,0
2002,323,982,8
2002,337,962,0
2003,350,970,8
2003,356,1013,0
2003,357,1029,8
2003,292,1047,0
2003,317,1016,8
3120,367,1154,8
3120,370,1144,0
3120,358,1178,8
3120,361,1173,0
3120,421,1205,8
3120,418,1199,0
3120,397,1209,8
3120,391,1254,0
3120,402,1245,8
3120,386,1267,0
3120,393,1241,8
3120,397,1231,0
3120,406,1230,8
3120,407,1261,0
3120,401,1270,8
3120,361,1234,0
3120,370,1237,8
3120,341,1262,0
3120,348,1260,8
3120,352,1266,0
3120,363,1268,8
3120,369,1264,0
3120,333,1202,8
3120,331,1182,0
3120,353,1181,8
3120,364,1180,0
3120,362,1147,8
3120,425,1151,0
3120,392,1140,8
3120,390,1135,0
3120,394,1133,8
3120,372,1138,0
3120,363,1140,8
3120,361,1154,0
3120,366,1149,8
3120,359,1144,0
3120,374,1148,8
3120,375,1143,0
3120,348,1137,8
3120,338,1141,0
3120,335,1151,8
3120,344,1128,0
3120,337,1128,8
3120,345,1119,0
5040,393,1197,10
289,393,1156,12
5370,667,1188,8
