typeid,posx,posy,dir
4312,-1187,-1430,8
4312,-1244,-1454,14
4312,-1244,-1463,4
4312,-1233,-1464,2
4312,-1257,-1454,2
4312,-1248,-1432,6
4312,-1247,-1420,4
4312,-1231,-1416,2
4312,-1201,-1424,0
4312,-1195,-1453,0
4312,-1202,-1467,0
4312,-1188,-1462,14
4312,-1175,-1454,14
4312,-1164,-1451,0
4312,-1162,-1436,8
4312,-1155,-1439,12
4311,-1081,-1420,2
4311,-1079,-1429,4
4311,-1087,-1433,2
4311,-1106,-1442,12
4311,-1101,-1437,6
4311,-1057,-1425,12
4311,-1060,-1432,14
4311,-1053,-1441,12
4311,-1041,-1448,8
4311,-1049,-1448,14
4311,-1064,-1454,0
4311,-1056,-1459,2
4311,-1051,-1464,0
4311,-1029,-1464,14
4311,-1027,-1460,12
4311,-1013,-1440,8
4311,-1018,-1441,6
4311,-994,-1442,10
4311,-996,-1455,0
4304,-909,-1453,14
4304,-886,-1458,2
4304,-876,-1468,14
4304,-877,-1437,12
4304,-921,-1438,12
4304,-903,-1405,4
4304,-882,-1400,10
4304,-870,-1404,8
4304,-846,-1432,10
4304,-851,-1445,14
4304,-865,-1468,0
4305,-1061,-1524,8
4305,-1102,-1518,6
4305,-1086,-1533,4
4305,-1079,-1512,6
4317,-1096,-1698,8
4317,-1066,-1690,8
4317,-1125,-1694,14
4317,-1114,-1692,8
4317,-1109,-1681,14
4317,-1099,-1686,10
4317,-1090,-1678,8
4317,-1082,-1684,10
4317,-1081,-1693,10
4317,-1087,-1706,12
4317,-1132,-1720,0
4317,-1122,-1722,8
4304,-877,-1408,12
4305,-1139,-1519,6
4305,-1165,-1533,4
4305,-1179,-1556,2
4305,-1153,-1558,0
4305,-1168,-1593,2
4305,-1173,-1627,14
4318,-1030,-1701,8
4318,-995,-1699,8
4318,-1052,-1724,2
4318,-1053,-1739,14
4318,-1063,-1736,12
4317,-1074,-1708,8
4318,-1042,-1692,12
4318,-1012,-1705,12
4318,-1004,-1686,8
