typeid,posx,posy,dir
5330,1616,-387,8
5330,1655,-349,8
5330,1676,-303,8
5330,1752,-348,8
5330,1788,-355,8
5330,1763,-386,8
5330,1710,-399,8
5330,1680,-447,8
5330,1777,-443,8
5330,1840,-432,8
5330,1843,-393,8
5330,1849,-323,8
5330,1905,-348,8
5330,1961,-373,8
5330,1959,-322,8
5330,1950,-463,8
5330,2185,-344,8
5330,2274,-340,8
5330,2215,-353,8
5330,2260,-380,8
5330,2285,-442,8
5330,2179,-406,8
5330,2227,-631,8
5330,2149,-635,8
5330,2209,-664,8
5330,2095,-701,8
5330,2256,-712,8
5330,2331,-654,8
5330,2303,-585,8
5330,2406,-534,8
5330,2468,-627,8
5330,2425,-704,8
5330,2521,-692,8
5330,2560,-637,8
5330,2641,-629,8
5330,2642,-689,8
5330,2691,-637,8
5330,2728,-644,8
5330,2696,-584,8
5330,2631,-583,8
5330,2766,-644,8
5330,2779,-676,8
5330,2867,-662,8
5330,2957,-680,8
5330,2999,-686,8
5330,2972,-708,8
5330,2981,-594,8
5330,2974,-560,8
5330,3018,-502,8
5330,2861,-522,8
5330,2921,-425,8
5330,3012,-390,8
5330,2935,-386,8
5330,2894,-341,8
5330,2986,-336,8
5330,2715,-352,8
5330,2769,-223,8
5330,2691,-156,8
5330,2772,-150,8
5330,2645,-116,8
5330,2689,-57,8
5330,2779,-39,8
5330,2636,-58,8
5330,2610,-273,8
5330,2583,-299,8
5330,2613,-332,8
5330,2547,-370,8
5330,2538,-307,8
5330,2437,-288,8
5330,2405,-298,8
5330,2435,-348,8
5330,2384,-363,8
5330,2430,-396,8
5330,2610,-418,8
5330,2637,-382,8
5330,2708,-447,8
5330,2666,-466,8
5330,2705,-470,8
5330,2701,-489,8
5330,546,-491,8
5330,686,-496,8
5330,723,-576,8
5330,618,-597,8
5330,555,-539,8
5330,614,-391,8
5330,560,-330,8
5330,705,-323,8
5330,668,-376,8
5330,625,-445,8
5330,822,-334,8
5330,814,-389,8
5330,819,-469,8
5330,917,-473,8
5330,892,-426,8
5330,982,-362,8
5330,958,-306,8
5330,898,-309,8
5330,997,-401,8
5330,896,-372,8
5330,985,-627,8
5330,1057,-553,8
5330,1116,-607,8
5330,1207,-518,8
5330,1190,-562,8
5330,1211,-593,8
5330,1202,-648,8
5330,1140,-700,8
5330,1102,-705,8
5330,1130,-732,8
5330,1199,-720,8
5330,1053,-708,8
5330,1233,-463,8
5330,1222,-424,8
5330,1181,-371,8
5330,1180,-335,8
5330,1139,-358,8
5330,1105,-326,8
5330,1113,-370,8
5330,1091,-399,8
5330,1083,-430,8
5330,1105,-447,8
5330,1305,-350,8
5330,1324,-331,8
5330,1340,-357,8
5330,1464,-449,8
5330,1482,-482,8
5330,1457,-517,8
5330,1360,-537,8
5330,1364,-501,8
5330,1355,-563,8
5330,1429,-570,8
