typeid,posx,posy,dir
5330,1582,-424,8
5330,1570,-456,8
5330,1674,-427,8
5330,1663,-383,8
5330,1718,-399,8
5330,1720,-421,8
5330,1754,-421,8
5330,1728,-358,8
5330,1699,-340,8
5330,1708,-314,8
5330,1754,-370,8
5330,1832,-322,8
5330,1817,-357,8
5330,1848,-366,8
5330,1907,-349,8
5330,1903,-385,8
5330,1937,-377,8
5330,1970,-454,8
5330,2086,-372,8
5330,2198,-421,8
5330,2233,-408,8
5330,2262,-440,8
5330,2259,-359,8
5330,2201,-368,8
5330,2171,-525,8
5330,2244,-477,8
5330,2125,-691,8
5330,2103,-717,8
5330,2154,-708,8
5330,2233,-716,8
5330,2250,-662,8
5330,2188,-670,8
5330,2080,-344,8
5330,2177,-481,8
5330,2137,-526,8
5330,2103,-510,8
5330,2323,-587,8
5330,2379,-539,8
5330,2389,-599,8
5330,2431,-575,8
5330,2462,-602,8
5330,2412,-633,8
5330,2431,-678,8
5330,2538,-673,8
5330,2581,-655,8
5330,2619,-648,8
5330,2616,-692,8
5330,2661,-666,8
5330,2687,-649,8
5330,2652,-568,8
5330,2588,-537,8
5330,2570,-550,8
5330,2717,-533,8
5330,2749,-588,8
5330,2762,-556,8
5330,2745,-677,8
5330,2702,-711,8
5330,2772,-721,8
5330,2879,-660,8
5330,2967,-679,8
5330,2874,-699,8
5330,2925,-629,8
5330,2985,-598,8
5330,3028,-561,8
5330,2967,-546,8
5330,2930,-481,8
5330,2890,-420,8
5330,2942,-407,8
5330,3010,-398,8
5330,2907,-358,8
5330,2983,-330,8
5330,2774,-401,8
5330,2713,-354,8
5330,2751,-318,8
5330,2737,-281,8
5330,2756,-227,8
5330,2629,-168,8
5330,2649,-143,8
5330,2706,-92,8
5330,2696,-88,8
5330,2647,-65,8
5330,2721,-53,8
5330,2762,-61,8
5330,2763,-149,8
5330,2663,-245,8
5330,2634,-302,8
5330,2589,-327,8
5330,2549,-302,8
5330,2608,-269,8
5330,2503,-349,8
5330,2551,-370,8
5330,2486,-429,8
5330,2423,-419,8
5330,2397,-384,8
5330,2414,-358,8
5330,2418,-315,8
5330,582,-399,8
5330,612,-350,8
5330,639,-400,8
5330,598,-317,8
5330,679,-356,8
5330,608,-405,8
5330,609,-441,8
5330,576,-481,8
5330,646,-484,8
5330,612,-526,8
5330,639,-546,8
5330,605,-553,8
5330,556,-547,8
5330,604,-578,8
5330,568,-591,8
5330,667,-611,8
5330,725,-586,8
5330,814,-365,8
5330,827,-432,8
5330,792,-433,8
5330,813,-480,8
5330,862,-476,8
5330,909,-486,8
5330,936,-520,8
5330,983,-409,8
5330,1001,-339,8
5330,954,-320,8
5330,911,-361,8
5330,890,-687,8
5330,856,-687,8
5330,941,-691,8
5330,956,-602,8
5330,1082,-585,8
5330,1021,-632,8
5330,1124,-601,8
5330,1163,-515,8
5330,1200,-611,8
5330,1178,-688,8
5330,1167,-723,8
5330,1115,-683,8
5330,1133,-721,8
5330,1079,-725,8
5330,1045,-726,8
5330,1433,-541,8
5330,1382,-568,8
5330,1372,-502,8
5330,1461,-483,8
5330,1478,-432,8
5330,1401,-404,8
5330,1332,-365,8
5330,1414,-358,8
5330,1317,-335,8
5330,1304,-389,8
5330,1264,-411,8
5330,1199,-367,8
5330,1178,-344,8
5330,1157,-374,8
5330,1153,-349,8
5330,1105,-353,8
5330,1087,-319,8
5330,1111,-397,8
5330,1083,-425,8
5330,1109,-442,8
