typeid,posx,posy,dir
4382,-1136,-996,2
4333,-1116,-1325,0
333,-1113,-1324,14
4201,-1136,-974,8
2022,-838,-1134,8
2023,-890,-1163,8
2010,-853,-1113,8
2010,-900,-1132,0
2010,-901,-1069,8
2011,-940,-1120,8
2011,-949,-1168,0
2011,-875,-1198,8
2012,-832,-1191,8
2012,-969,-1134,0
2012,-936,-1072,8
2012,-921,-1154,0
2022,-895,-1190,8
2022,-945,-1139,0
2022,-912,-1060,8
2023,-912,-1107,8
2023,-989,-1163,0
2023,-854,-1204,8
2023,-892,-992,8
2023,-960,-954,0
2023,-972,-1034,8
2022,-904,-925,8
2022,-926,-973,0
2022,-867,-965,8
2010,-929,-937,8
2010,-973,-963,0
2010,-987,-1012,8
2011,-949,-908,8
2011,-934,-997,0
2011,-939,-1039,8
2012,-968,-999,8
2012,-916,-897,0
2012,-844,-1000,8
2012,-950,-981,8
2023,-819,-843,8
2023,-944,-810,0
2022,-832,-809,8
2022,-897,-860,0
2010,-851,-893,8
2010,-905,-824,0
2011,-862,-845,8
2011,-880,-837,0
2012,-822,-882,8
2012,-967,-854,0
2023,-1156,-829,8
2023,-1228,-865,0
2023,-1187,-948,8
2022,-1245,-969,8
2022,-1153,-1000,0
2022,-1242,-826,8
2010,-1252,-904,0
2010,-1196,-891,8
2010,-1223,-809,0
2011,-1198,-920,8
2011,-1223,-954,0
2011,-1197,-983,8
2012,-1250,-993,8
2012,-1202,-1011,0
2012,-1154,-1023,8
2010,-1185,-1097,8
2010,-1098,-1123,0
2010,-1183,-1203,8
2011,-1104,-1191,8
2011,-1126,-1165,0
2011,-1189,-1118,8
2012,-1163,-1171,8
2012,-1119,-1093,0
2012,-1181,-1056,8
2022,-1193,-1228,8
2022,-1148,-1286,0
2022,-1206,-1305,8
2023,-1086,-1251,8
2023,-1045,-1301,0
2023,-984,-1321,8
2023,-1167,-1310,0
4647,-1118,-1326,14
2059,-1126,-998,0
4650,-1110,-1325,2
4920,-1247,-891,10
4920,-1243,-853,2
4920,-1216,-878,10
4920,-1235,-874,2
4920,-1216,-898,10
317,-924,-1216,2
315,-902,-1130,8
324,-918,-1070,8
323,-857,-1004,14
318,-959,-910,8
436,-957,-910,8
320,-894,-874,0
325,-1145,-949,8
289,-1114,-969,10
333,-1092,-976,10
321,-1087,-984,12
322,-1141,-981,2
327,-1149,-1056,10
328,-1126,-1316,0
5338,-1152,-957,12
