typeid,posx,posy,dir
5328,0,497,8
5328,23,513,8
5328,-30,452,8
5328,33,420,8
5328,54,446,8
5328,-117,415,8
5328,-154,435,8
5328,-174,417,8
5328,-203,411,8
5328,-184,383,8
5328,-147,383,8
5328,-201,443,8
5328,-187,482,8
5328,-193,517,8
5328,-152,540,8
5328,-180,577,8
5328,-147,604,8
5328,-186,629,8
5328,-183,670,8
5328,-143,702,8
5328,-121,666,8
5328,-139,644,8
5328,-103,612,8
5328,-135,567,8
5328,-73,503,8
5328,-76,349,8
5328,-8,312,8
5328,-44,319,8
5328,189,461,8
5328,211,422,8
5328,128,438,8
5328,114,398,8
5328,183,384,8
5328,212,330,8
5328,175,307,8
5328,203,284,8
5328,66,302,8
5328,122,302,8
5328,85,343,8
5328,469,508,8
5328,482,456,8
5328,406,457,8
5328,353,451,8
5328,306,406,8
5328,351,394,8
5328,318,362,8
5328,338,327,8
5328,298,313,8
5328,319,282,8
5328,406,302,8
5328,450,293,8
5328,457,312,8
5328,452,354,8
5328,419,385,8
5328,477,399,8
5328,448,401,8
5328,421,342,8
5328,74,176,8
5328,100,145,8
5328,76,135,8
5328,162,200,8
5328,211,192,8
5328,251,192,8
5328,164,133,8
5328,237,144,8
5328,236,97,8
5328,227,56,8
5328,158,92,8
5328,106,99,8
5328,90,62,8
5328,285,81,8
5328,108,-836,8
5328,134,-856,8
5328,91,-854,8
5328,173,-872,8
5328,221,-840,8
5328,233,-907,8
5328,144,-929,8
5328,-7,-807,8
5328,45,-812,8
5328,-53,-831,8
5328,-116,-836,8
5328,-149,-819,8
5328,-159,-850,8
5328,-194,-853,8
5328,-173,-990,8
5328,-209,-951,8
5328,-230,-961,8
5328,-99,-998,8
5328,414,-850,8
5328,455,-882,8
5328,404,-891,8
5328,401,-920,8
5328,351,-884,8
5328,284,-848,8
5328,287,-891,8
5328,188,-1092,8
5328,220,-1107,8
5328,6,-1216,8
5328,26,-1160,8
5328,-113,-1200,8
5328,-41,-1241,8
5328,266,-1255,8
5328,243,-1199,8
5328,338,-1170,8
5328,376,-1133,8
5328,418,-1126,8
5328,385,-1269,8
5328,25,-1266,8
5328,145,-1409,8
5328,174,-1445,8
5328,83,-1516,8
5328,136,-1660,8
5328,191,-1680,8
5328,-55,-1607,8
5328,-25,-1655,8
5328,-115,-1605,8
5328,-176,-1592,8
5328,-220,-1602,8
5328,-135,-1513,8
5328,-169,-1429,8
5328,-101,-1426,8
5328,-189,-1396,8
5328,-25,-1401,8
5328,159,-1633,8
5328,343,72,8
5328,415,117,8
5328,346,195,8
5328,315,153,8
5328,473,-77,8
5328,388,-95,8
5328,415,-129,8
5328,442,-167,8
5328,654,-161,8
5328,671,-98,8
5328,617,-106,8
5328,590,-173,8
5328,702,-205,8
5328,562,-103,8
5328,142,-88,8
5328,198,-83,8
5328,185,-52,8
5328,203,-128,8
5328,134,-139,8
5328,171,-167,8
5328,96,-161,8
5328,72,-121,8
5328,94,-71,8
5328,62,-77,8
5328,51,-133,8
5328,6,-143,8
5328,25,-108,8
5328,13,-83,8
5328,-40,-81,8
5328,-78,-94,8
5328,-45,-128,8
5328,-96,-142,8
5328,-127,-126,8
5328,-128,-162,8
5328,-67,-187,8
