typeid,posx,posy,dir
5328,210,462,8
5328,129,453,8
5328,150,415,8
5328,193,421,8
5328,184,327,8
5328,237,315,8
5328,121,313,8
5328,66,279,8
5328,164,187,8
5328,167,144,8
5328,204,144,8
5328,209,195,8
5328,67,137,8
5328,106,112,8
5328,111,85,8
5328,170,101,8
5328,230,80,8
5328,423,349,8
5328,448,327,8
5328,476,347,8
5328,424,390,8
5328,468,412,8
5328,444,483,8
5328,472,468,8
5328,392,459,8
5328,374,487,8
5328,274,469,8
5328,330,435,8
5328,230,515,8
5328,301,335,8
5328,351,338,8
5328,-47,-1236,8
5328,13,-1248,8
5328,3,-1287,8
5328,-35,-1281,8
5328,79,-1236,8
5328,124,-1266,8
5328,173,-1263,8
5328,238,-1207,8
5328,341,-1154,8
5328,402,-1252,8
5328,20,-1171,8
5328,-142,-1188,8
5328,-93,-1192,8
5328,205,-1109,8
5328,197,-1087,8
5328,135,-1016,8
5328,170,-973,8
5328,147,-930,8
5328,185,-883,8
5328,222,-906,8
5328,227,-836,8
5328,397,-887,8
5328,428,-895,8
5328,445,-831,8
5328,458,-911,8
5328,407,-950,8
5328,342,-878,8
5328,279,-973,8
5328,52,-1032,8
5328,17,-1004,8
5328,-46,-980,8
5328,-91,-946,8
5328,-189,-853,8
5328,-186,-818,8
5328,-133,-825,8
5328,-173,-879,8
5328,-212,-951,8
5328,-167,-993,8
5328,-105,-1005,8
5328,-58,-837,8
5328,-9,-839,8
5328,27,-807,8
5328,43,-835,8
5328,84,-836,8
5328,167,-828,8
5328,182,-790,8
5328,130,-1443,8
5328,87,-1523,8
5328,110,-1557,8
5328,-56,-1611,8
5328,-126,-1616,8
5328,-100,-1431,8
5328,-18,-1449,8
5328,57,-1390,8
5328,182,-1546,8
5328,203,-1662,8
5328,122,-1642,8
5328,117,-1672,8
5328,90,-1763,8
5328,133,-1753,8
5328,70,-1704,8
5328,0,-1692,8
5328,-35,-1637,8
5328,-32,-1607,8
5328,-87,-1523,8
5328,-27,-1504,8
5328,-136,-1477,8
5328,348,146,8
5328,357,187,8
5328,403,171,8
5328,424,135,8
5328,344,94,8
5328,297,59,8
5328,412,-18,8
5328,389,-44,8
5328,470,-75,8
5328,567,-51,8
5328,604,-110,8
5328,674,-141,8
5328,624,-192,8
5328,548,-168,8
5328,468,-119,8
5328,415,-128,8
5328,393,-156,8
5328,441,-166,8
5328,152,-93,8
5328,131,-131,8
5328,102,-92,8
5328,78,-61,8
5328,71,-91,8
5328,103,-139,8
5328,1,-118,8
5328,21,-140,8
5328,50,-127,8
5328,141,-210,8
5328,-70,-194,8
5328,-90,-137,8
5328,-57,-102,8
5328,-48,-153,8
5328,-22,-166,8
5328,-157,-214,8
5328,-121,-211,8
5328,275,-215,8
5328,312,-234,8
5328,297,-175,8
5328,302,-40,8
5328,286,-85,8
