typeid,posx,posy,dir
4375,298,-134,10
446,296,-135,10
2004,323,198,8
2004,362,180,0
2004,309,112,8
2005,319,169,8
2005,354,160,0
2005,347,98,8
2006,349,196,8
2006,374,110,0
2006,345,70,8
2018,306,136,8
2018,347,141,0
2018,398,105,8
2019,410,131,8
2019,374,153,0
2019,340,181,8
2018,408,167,8
2018,327,74,0
2004,414,113,8
2005,328,158,8
2006,389,125,8
2004,422,-62,8
2004,475,-98,0
2004,410,-131,8
2004,358,-94,0
2005,429,-111,8
2005,442,-163,0
2005,460,-69,8
2005,395,-63,0
2006,386,-105,8
2006,390,-149,0
2006,466,-128,8
2006,414,-94,8
2018,565,-99,8
2018,597,-155,0
2018,560,-50,8
2018,679,-146,0
2018,714,-148,8
2019,676,-81,8
2019,702,-190,0
2019,628,-123,8
2019,615,-58,0
2019,600,-98,8
2018,284,-79,8
2019,315,-58,8
2004,296,-105,8
2005,275,-119,8
2005,310,-83,0
2006,261,-105,8
2004,-1,-174,8
2004,-16,-118,0
2004,-71,-125,8
2004,-76,-169,0
2004,-75,-220,8
2004,12,-87,0
2005,12,-130,8
2005,-34,-154,0
2005,-55,-187,8
2005,-136,-170,0
2005,-107,-103,8
2006,-76,-75,8
2006,-27,-78,0
2006,-38,-125,8
2006,-105,-149,0
2006,-7,-143,8
2018,-24,-163,8
2018,-103,-188,0
2018,-127,-225,8
2018,-141,-143,0
2018,-139,-98,8
2019,-51,-102,8
2019,-59,-82,0
2019,25,-119,8
2019,-27,-181,0
2019,-61,-211,8
2007,321,-211,8
2008,274,-218,8
2009,274,-177,8
2020,305,-189,8
2021,315,-243,8
4652,-169,-199,8
6034,357,-95,8
21,268,-162,8
21,267,-170,0
21,274,-168,8
21,270,-176,0
21,266,-182,8
21,275,-184,0
21,304,-159,8
21,301,-171,0
21,298,-181,8
21,312,-184,0
21,323,-194,8
21,319,-203,0
21,314,-199,8
21,313,-225,0
21,322,-231,8
21,316,-237,0
21,310,-232,8
21,311,-214,0
21,325,-219,8
21,289,-238,0
21,282,-217,8
21,271,-210,0
21,270,-217,8
21,278,-212,0
21,276,-223,8
2069,274,-116,8
41,397,185,8
40,326,164,2
45,385,47,14
333,281,-120,8
406,279,-134,2
391,278,-140,6
289,276,-145,2
50,-49,-138,8
165,-173,-206,4
