short,备注,,bool,float[3],,string,,string,,,,string,string,,string,string,,string,string,string,string,string,string,string,float,int,float, ,string,string,,,,,,
,备注,名字,是否动态模型,模型缩放,模型透明度,模型文件,换皮肤,换材质,模型受击点,DOT受击点,模型门派,武器1,武器1连接,武器1收起link点,武器2,武器2连接,武器2收起link点,附身特效文件,link点名,头发,头,身体,手,脚,碰撞半径,移动方式,移动速度,消失方式,死亡模型文件,出生模型文件,waiting动作个数,头像,3D头像摄像机位置,3D头像摄像机目标位置,,备注
ID,name,name,dynamic,modelScale,visible,act,replaceSkin,replaceMat,hitPoint,dotHitPoint,party,weapon1,weapon1Link,weapon1DrawInLink,weapon2,weapon2Link,weapon2DrawInLink,linkEffect,linkBone,hairSkin,headSkin,bodySkin,handSkin,footSkin,modelRadius,moveType,moveSpeed,vanishType,deadModel,bornModel,waitingPoseCount,headIcon,headCameraPos,headCameraLookAt,bCache,
5401,福生,,0,1.2;1.2;1.2,1,mon095,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon095,,,,
5409,李元化,,0,1.5;1.5;1.5,1,mon207,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5410,赤霞,,0,1;1;1,1,npc008,npc008_c,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc008_c,,,,
5420,不用,,0,1;1;1,1,,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5421,虚灵,,0,1.7;1.7;1.7,1,mon065_d,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon065_d,,,,
5429,鬼祟的采石者,,0,1;1;1,1,mon092,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon092,,,,
5430,丹药炉,,0,1;1;1,1,snpc203,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc203,,,,
5431,灵石佛像,,0,1.3;1.3;1.3,1,npc204,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc204,,,,
5432,透明NPC,,0,4.5;4.5;4.5,0,mon_touming,,,b_hit,,5,,,,,,,,,,,,,,15,1,88,1,,,1,ic_default_face,,,,
5433,幽冥花,,0,1;1;1,1,npc205,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc205,,,,
5434,玄晶石,,0,1;1;1,1,npc206,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc206,,,,
5435,余化,,0,1.2;1.2;1.2,1,npc189_b,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5436,紫竹林斥候,,0,1.2;1.2;1.2,1,mon095,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon095,,,,
5437,紫竹林民兵,,0,1.2;1.2;1.2,1,mon094_b,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon094_b,,,,
5438,邪光球(一),,0,1;1;1,1,npc207,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc207,,,,
5439,邪光球(二),,0,1;1;1,1,npc207,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc207,,,,
5440,不用,,0,1;1;1,1,,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_default_face,,,,
5441,青笋,,0,1.3;1.3;1.3,1,npc208,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc208,,,,
5442,石质宝剑,,0,1;1;1,1,npc209,,,b_hit,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_npc209,,,,
