short,备注,,bool,float[3],,string,,string,,,,string,string,,string,string,,string,string,string,string,string,string,string,float,int,float," ",string,string,,,,,,
,备注,名字,是否动态模型,模型缩放,模型透明度,模型文件,换皮肤,换材质,模型受击点,DOT受击点,模型门派,武器1,武器1连接,武器1收起link点,武器2,武器2连接,武器2收起link点,附身特效文件,link点名,头发,头,身体,手,脚,碰撞半径,移动方式,移动速度,消失方式,死亡模型文件,出生模型文件,waiting动作个数,头像,3D头像摄像机位置,3D头像摄像机目标位置,,备注
ID,,name,dynamic,modelScale,visible,act,replaceSkin,replaceMat,hitPoint,dotHitPoint,party,weapon1,weapon1Link,weapon1DrawInLink,weapon2,weapon2Link,weapon2DrawInLink,linkEffect,linkBone,hairSkin,headSkin,bodySkin,handSkin,footSkin,modelRadius,moveType,moveSpeed,vanishType,deadModel,bornModel,waitingPoseCount,headIcon,headCameraPos,headCameraLookAt,bCache,
7000,AssassinDagg,,0,1.3;1.3;1.3,1,pq,,,Bip_pq,,2,iwqa08_02,Blink_wp_L,Blink_LG_L,iwqa08_02,Blink_LG_R,,,,fpq01,apq01,bpq08_02,hpq08_02,lpq08_02,15,1,80,1,,,1,ic_pq005,,,,
7001,TamerBow,,0,1.3;1.3;1.3,1,px,,,Bip_px,,4,iwxa08_02,Blink_wp,Blink_bk01,,,,,,fpx06,apx06,bpx08_02,hpx08_02,lpx08_02,15,1,80,1,,,1,ic_px005,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,秦皇之魄,,0,3;3;3,1,mon051_a,,,Bip01,,5,iwmon051_a,Bwp01,,,,,,,,,,,,15,1,162,1,,,1,ic_mon051_a,,,,
7003,伏地魔,,0,4.2;4.2;4.2,1,mon218,,,b_hit,,5,,,,,,,,,,,,,,15,1,100,1,,,1,ic_mon218,,,,
7004,赤宵魂,,0,4.2;4.2;4.2,1,mon184,,,b_hit,,5,iwboss007,Box01,,,,,,,,,,,,15,1,94,1,,,1,ic_mon184,,,,
7005,顾惜朝,,0,3;3;3,1,mon177,,,b_hit,,5,iwboss007,Box01,,,,,,,,,,,,15,1,80,4,eff_mon177_die,,1,ic_mon177,,,,
7006,FairyWheel,,0,1.6;1.6;1.6,1,mon187,,,Bip_pb01,,3,iwba08_02,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon187,,,,
7007,AssassinDagger,,0,1.6;1.6;1.6,1,mon188,,,Bip_pq,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon188,,,,
7008,Tamer,,0,1.6;1.6;1.6,1,mon189,,,"Bip_px Spine",,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon189,,,,
7009,Wizard,,0,1.6;1.6;1.6,1,mon190,,,Bip_pe01,,0,iwea07_02,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon190,,,,
7010,Monk,,0,1.6;1.6;1.6,1,mon191,,,Bip01,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon191,,,,
7011,Nghich,,0,2;2;2,1,mon177,,,b_hit,,5,iwboss007,Box01,,,,,,,,,,,,15,1,80,1,eff_mon177_die,,1,ic_mon177,,,,
7012,FairyPearl,,0,1.6;1.6;1.6,1,pb,,,Bip_pb01,,3,iwbb07_02,,,,,,,,fpb01,apb01,bpb08_02,hpb08_02,lpb08_02,15,1,80,1,,,1,ic_bp005,,,,
7013,WizardBlade,,0,1.6;1.6;1.6,1,pe,,,Bip_pe01,,0,iweb07_02,,,,,,,,fpe01,ape01,bpe08_02,hpe08_02,lpe08_02,15,1,80,1,,,1,ic_pe005,,,,
7014,血神将,,0,3;3;3,1,boss031,,,Bip01,,5,,,,,,,,,,,,,,20,2,80,1,,,1,ic_boss031,,,,
7015,江洋大盗,,0,2;2;2,1,mon079,,,Bip01,,5,,,,,,,,,,,,,,6,1,113,1,,,1,ic_mon079,,,,
7016,TGShop,,0,1.5;1.5;1.5,1,boss028a,,,,,5,,,,,,,,,,,,,,15,1,,1,,,1,ic_boss028,,,,
7017,PVPSHOP,,0,2;2;2,1,npc191,,,b_hit,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_npc191,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7169,"Wizard Male 1",,1,1.15;1.15;1.15,1,pe,,,Bip_pe01,,0,,,,,,,,,fpe09,ape01,bpe01,hpe01,lpe01,15,1,80,1,,,1,shumente_m01,1.30;46.00;-0.65,-2.33;0.00;40.33,1,
7170,"Monk 1",,1,1.15;1.15;1.15,1,pf,,,Bip01,,1,,Blink_wp,Blink_bk,,,,,,fpf09,apf01,bpf01,hpf01,lpf01,15,1,100,1,,,1,shumentf_m01,,,1,
7171,"Fairy 1",,1,1.15;1.15;1.15,1,pb,,,Bip_pb01,,3,,,,,,,,,fpb09,apb01,bpb01,hpb01,lpb01,15,1,80,1,,,1,shumentb_w01,,,1,
7172,"Assassin 1",,1,1.15;1.15;1.15,1,pq,,,Bip_pq,,2,,Blink_wp,Blink_bk,,,,,,fpq09,apq01,bpq01,hpq01,lpq01,15,1,86,1,,,1,shumentq_m01,,,1,
7173,"Tamer 1",,1,1.15;1.15;1.15,1,px,,,Bip_px,,4,,Blink_wp,Blink_bk01,,,,,,fpx09,apx01,bpx01,hpx01,lpx01,15,1,80,1,,,1,shumentx_w01,,,1,
7174,"Wizard Female 1",,1,1.15;1.15;1.15,1,pew04,,,Bip01,,0,,,,,,,,,fpew09,apew01,bpew01,hpew01,lpew01,15,1,80,1,,,1,shumente_w01,,,1,
7175,"Wizard Male 2",,1,1.2;1.2;1.2,1,pe,,,Bip_pe01,,0,,,,,,,,,fpe10,ape02,bpe01,hpe01,lpe01,15,1,80,1,,,1,shumente_m02,1.30;46.00;-0.65,-2.33;0.00;40.33,1,
7176,"Monk 2",,1,1.2;1.2;1.2,1,pf,,,Bip01,,1,,Blink_wp,Blink_bk,,,,,,fpf10,apf02,bpf01,hpf01,lpf01,15,1,100,1,,,1,shumentf_m02,,,1,
7177,"Fairy 2",,1,1.2;1.2;1.2,1,pb,,,Bip_pb01,,3,,,,,,,,,fpb10,apb02,bpb01,hpb01,lpb01,15,1,80,1,,,1,shumentb_w02,,,1,
7178,"Assissin 2",,1,1.2;1.2;1.2,1,pq,,,Bip_pq,,2,,Blink_wp,Blink_bk,,,,,,fpq10,apq02,bpq01,hpq01,lpq01,15,1,86,1,,,1,shumentq_m02,,,1,
7179,"Tamer 2",,1,1.2;1.2;1.2,1,px,,,Bip_px,,4,,Blink_wp,Blink_bk01,,,,,,fpx10,apx02,bpx01,hpx01,lpx01,15,1,80,1,,,1,shumentx_w02,,,1,
7180,"Wizard Female 2",,1,1.2;1.2;1.2,1,pew04,,,Bip01,,0,,,,,,,,,fpew10,apew02,bpew01,hpew01,lpew01,15,1,80,1,,,1,shumente_w02,,,1,
7181,"Wizard Male 3",,1,1.25;1.25;1.25,1,pe,,,Bip_pe01,,0,,,,,,,,,fpe11,ape03,bpe01,hpe01,lpe01,15,1,80,1,,,1,shumente_m03,1.30;46.00;-0.65,-2.33;0.00;40.33,1,
7182,"Monk 3",,1,1.25;1.25;1.25,1,pf,,,Bip01,,1,,Blink_wp,Blink_bk,,,,,,fpf11,apf03,bpf01,hpf01,lpf01,15,1,100,1,,,1,shumentf_m03,,,1,
7183,"Fairy 3",,1,1.25;1.25;1.25,1,pb,,,Bip_pb01,,3,,,,,,,,,fpb11,apb03,bpb01,hpb01,lpb01,15,1,80,1,,,1,shumentb_w03,,,1,
7184,"Assissin 3",,1,1.25;1.25;1.25,1,pq,,,Bip_pq,,2,,Blink_wp,Blink_bk,,,,,,fpq11,apq03,bpq01,hpq01,lpq01,15,1,86,1,,,1,shumentq_m03,,,1,
7185,"Tamer 3",,1,1.25;1.25;1.25,1,px,,,Bip_px,,4,,Blink_wp,Blink_bk01,,,,,,fpx11,apx03,bpx01,hpx01,lpx01,15,1,80,1,,,1,shumentx_w03,,,1,
7186,"Wizard Female 3",,1,1.25;1.25;1.25,1,pew04,,,Bip01,,0,,,,,,,,,fpew11,apew03,bpew01,hpew01,lpew01,15,1,80,1,,,1,shumente_w03,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7187,Garfield,$L:pet7107$,0,0.8;0.8;0.8,1,pet011,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_pet011,,,1,
7188,"Red Bull",$L:pet7108$,0,0.8;0.8;0.8,1,pet012,,,,,5,,,,,,,,,,,,,,15,1,60,1,,,1,ic_pet012,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
