typeid,posx,posy,dir
3121,58,66,8
3121,70,59,10
3121,84,80,10
3121,97,59,12
3121,64,91,0
3121,133,51,12
3121,133,43,12
3122,176,43,10
3122,182,69,8
3122,191,69,0
3122,181,101,8
3122,188,101,0
3122,196,101,8
3122,218,140,12
3122,216,128,12
3122,178,145,4
3122,179,132,4
3122,197,161,8
3122,218,159,0
3123,209,171,8
3121,155,127,4
3121,156,115,4
3121,215,102,12
3122,125,47,12
3122,138,46,12
3122,64,63,10
3122,91,71,10
3122,166,48,10
3122,174,36,12
3122,158,185,6
3122,152,179,4
3124,122,192,4
3124,119,198,4
3124,118,189,6
3124,72,208,8
3124,75,204,0
3124,80,185,8
3124,86,183,0
3124,55,159,8
3124,43,165,0
3122,178,119,4
3122,216,120,12
3122,50,91,8
3124,95,204,8
3124,54,185,0
3124,97,198,8
3124,46,210,0
3124,44,215,8
3124,50,213,0
3124,45,156,8
3124,59,180,0
3124,61,188,8
3124,132,216,0
3124,141,218,8
3125,153,243,8
3125,163,237,0
3125,168,248,8
3125,169,280,0
3125,197,275,8
3125,175,284,0
3125,219,291,8
3125,212,293,0
3125,170,309,8
3125,175,308,0
3125,177,329,8
3125,200,339,0
3125,207,339,8
3125,212,340,0
3125,222,322,8
3125,218,321,0
3125,180,308,8
3125,206,276,0
3125,198,312,8
3125,201,311,0
3125,198,304,8
3126,42,239,8
3126,44,244,0
3126,47,239,8
3126,66,259,0
3126,60,260,8
3126,49,264,0
3126,42,289,8
3126,47,289,0
3126,51,289,8
3126,72,298,0
3126,69,303,8
3126,68,298,0
3126,92,303,8
3126,97,303,8
3126,100,299,0
3126,69,229,8
3126,65,232,0
3126,63,227,8
3126,88,223,8
3126,93,223,0
3128,103,350,8
3127,31,348,8
3127,36,347,0
3127,36,343,8
3127,57,339,0
3127,67,348,8
3127,61,343,8
3127,60,373,0
3127,95,342,8
3127,106,340,0
3127,110,323,8
3127,106,322,0
3127,101,322,8
3127,80,333,0
3127,75,329,8
3127,81,327,0
3127,45,313,8
3127,51,316,0
3127,57,319,8
3127,59,368,8
3127,66,371,0
3129,53,30,0
3129,110,340,12
3121,110,77,12
3121,108,70,10
3121,117,72,8
3124,101,173,0
3124,108,212,10
