基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,00,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
ID,mapname,Name,Type,Select,DetailType,ModelID,AttackFlag,TameType,ResourceType,BodyDuration,Lev,NotBroadcastDrop,EliteRate1,EliteRate2,title,BloodColorBound,EffectResist,SkillResist,HP,MP,Att,Dam,Dodge,Arm,DefaultAttack,DefaultMeleeAttack,Skills,PetSkills,elemDam,elemArm,AttRange,MovSpeed,AttSpeed,Exp,Nimbus,Gold,GoldRate,DropType,DropItems,AttrRate,LevAdjust,AloneDropItems,AloneAttrRate,AloneLevAdjust,AloneDropRate,DropItemNum,NpcRandomPos,Coor,Func,DefTalk,AcceptTask,FinishTask,RelatedTask,TrafficStation,LifeSkill,Force,CreditReward,AddMasterEffect,Foods,Home,LeaveViewUncache,CanSeeOtherNpc,DieRemoveUnderling,IsNearNpc,ShowBoss,Detail,Memo
1,小家兔,$L:npc_1$,1,3,,19,1,,,100,1,,,,0,,,,49,10,0,4,5,0,20,,,,,0;0;0;0;0,60,120,3,60,10,1200,0.5,1,,,,6007,0;0;0;0;0;0;0;,"0,0;",0.13,,,,,,,,,,,,,,,,,,,,,,
2,成年山狼,$L:npc_2$,1,3,,15,1,2,,100,4,,,,0,,,,95,30,0,8,8,49,20,,,"1145,1",,49;49;49;49;49,60,120,3,75,13,1600,0.5,1,300;600;,0;0;0;,"-1,1;-2,0;",6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,23;503;1,,,,,11;471,,,,,,2,,,,,,,,
3,成年猪脸猫,$L:npc_3$,1,3,,33,1,,,100,5,,,,0,,,,114,50,0,10,9,72,20,,,,,72;72;72;72;72,60,120,3,80,13,1600,0.5,1,600;400;700,0;0;0;,"0,1;0,1;-1,0",6007,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,,,,,,
4,老蟑螂,$L:npc_4$,1,3,,166,1,,,100,7,,,,0,,,,159,70,0,14,11,130,20,,,,,130;130;130;130;130,60,120,3,90,15,1800,0.5,1,700;200,0.05;0;0,"0,1;-1,0",6008,0;0;0;0;0;0;0;,"0,0;",0.3,,,,,,,,,,,,,,,,,,,,,,
5,金角蟒,$L:npc_5$,1,3,,29,1,,,100,6,,,,0,,,,135,80,0,12,10,99,20,,,,,99;99;99;99;99,60,120,3,85,14,1800,0.5,1,200;700;,0.05;0;0;,"-1,1;0,2;",6008,0;0;0;0;0;0;0;,"0,0;",0.3,,,-195;545;1,,,,,964,,,,,,,,,1,,,,,
6,竹叶青,$L:npc_6$,1,3,,1,1,1,,100,11,,,,0,,,,268,100,0,25,14,260,20,,,"1143,1",,260;260;260;260;260,60,120,3,110,18,2200,0.5,1,501;301;,0.05;0;0;,"-1,1;-2,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,379;100;1,,,,,104;1663,,,,,,2,,,,,,,,
7,双身蛇,$L:npc_7$,1,3,,30,1,4,,100,6,,,,0,,,,95,100,0,12,10,99,1123,,,,,99;99;99;99;99,300,120,3,85,14,1800,0.5,1,300;400;500,0.05;0;0;,"3,5;1,2;4,6",6008,0;0;0;0;0;0;0;,"0,0;",0.3,,,-150;655;1,,,,,6,,,,,,2,,,,,,,,
8,竹林蛇王,$L:npc_8$,1,3,,2,1,,,100,10,,3,2,1,,,,729,220,0,45,14,244,20,,"1100,0.1",,,244;244;244;244;244,60,120,3,315,53,9900,1,2,601,0;0;0;,"0,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,2,,345;109;1,,,,,102,,,,,,,,,,,,,,
9,蛇首杂役,$L:npc_9$,1,3,,3,1,1,,100,14,,,,0,,,,349,144,0,31,17,309,20,,,"1143,1",,309;309;309;309;309,60,120,3,125,21,2600,0.5,1,601;401;,0.05;0;0;,"-1,1;-1,0;",6009,0;0;0;0;0;0;0;,"0,0;",0.3,,,193;-102;1,,,,,105;125;,,,,,,2,,,,,,,,
