基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,备注,
ID,mapname,Name,Type,Select,DetailType,ModelID,AttackFlag,TameType,ResourceType,BodyDuration,Lev,EliteRate1,EliteRate2,title,BloodColorBound,EffectResist,SkillResist,HP,MP,Att,Dam,Dodge,Arm,DefaultAttack,Skills,PetSkills,elemDam,elemArm,AttRange,MovSpeed,AttSpeed,Exp,Nimbus,Gold,GoldRate,DropType,DropItems,AttrRate,LevAdjust,AloneDropItems,AloneAttrRate,AloneLevAdjust,AloneDropRate,DropItemNum,NpcRandomPos,Coor,Func,DefTalk,AcceptTask,FinishTask,RelatedTask,TrafficStation,LifeSkill,Force,CreditReward,AddMasterEffect,Foods,Home,LeaveViewUncache,CanSeeOtherNpc,DieRemoveUnderling,IsNearNpc,Memo,
5500,裘友仁,$L:npc_5500$,1,3,,5015,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-931;-210;1,talk;task,talk/npc_talk_5500.xml,1708;1709;1713;1714;1715,1707;1708;1712;1713;1714,,,,,,,,,,,,1,,
5501,裘芷仙,$L:npc_5501$,1,3,,5301,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-740;-488;1,talk;task,talk/npc_talk_5501.xml,1700;1704;1707;1710,1703;1704;1706;1709;1720;1735,,,,,,,,,,,,1,,
5502,夏侯国栋,$L:npc_5502$,1,3,,5302,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-676;-455;1,talk;shop;life_skill;task;,talk/npc_talk_5502.xml,1701;1702;1703;1737,1700;1701;1702;1737,,,11;14;,,,,,,,,,1,,
5503,李元化,$L:npc_5503$,1,3,,5303,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-762;-434;1,talk;task,,1706;1711;1736;1836;1841;1842;1853,1710;1736;1835;1836;1840;1841;1842;1853,,,,,,,,,,,,1,,
5504,裘继忠,$L:npc_5504$,1,3,,5304,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-745;-488;1,talk;task,talk/npc_talk_5504.xml,,,,,,,,,,,,,,1,,
5505,村民李三,$L:npc_5505$,1,3,,5305,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-918;-433;1,talk;shop;task,talk/npc_talk_5505.xml,1726;1727;1728;1731,1726;1727;1728;1730;1731,,,,,,,,,,,,1,,
5506,小屁孩,$L:npc_5506$,1,3,,44,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,-703;-465;1,talk;task,talk/npc_talk_5506.xml,1721;1722,1721;1722,,,,,,,,,,,,1,,
5507,躲藏的孩子 1,$L:npc_5507$,1,3,,5307,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,,talk;,,,,1721,,,,,,,,,,,,,
5508,躲藏的孩子 2,$L:npc_5508$,1,3,,5308,0,,,100,30,,,0,,,,983 ,120 ,0,76 ,32 ,569 ,20,,,,569;569;569;569;569,60,60,3,205 ,34 ,42 ,0.5,,,0.1;0;0;,,,,,,,,,talk;,,,,1721,,,,,,,,,,,,,
