基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,给予,给予,,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,备注
ID,mapname,Name,Type,Select,DetailType,ModelID,AttackFlag,TameType,ResourceType,BodyDuration,Lev,EliteRate1,EliteRate2,title,BloodColorBound,EffectResist,SkillResist,HP,MP,Att,Dam,Dodge,Arm,DefaultAttack,Skills,PetSkills,elemDam,elemArm,AttRange,MovSpeed,AttSpeed,Exp,Nimbus,Gold,GoldRate,DropType,DropItems,AttrRate,LevAdjust,AloneDropItems,AloneAttrRate,AloneLevAdjust,AloneDropRate,DropItemNum,NpcRandomPos,Coor,Func,DefTalk,AcceptTask,FinishTask,RelatedTask,TrafficStation,LifeSkill,Force,CreditReward,AddMasterEffect,Foods,Home,LeaveViewUncache,CanSeeOtherNpc,DieRemoveUnderling,IsNearNpc,Memo
5600,伍天赐,$L:npc_5600$,1,3,,5400,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1163;-25;1,talk;task,talk/npc_talk_5600.xml,1801;1804;1813;1839;1840;1844;1846,1803;1804;1838;1839;1845;1846;1854,,,,,,,,,,,,1,
5601,福生,$L:npc_5601$,1,3,,5401,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1328;-75;1,talk;task,talk/npc_talk_5601.xml,1803;1837;1838;1849,1837;1849,,,,,,,,,,,,1,
5602,段石匠,$L:npc_5602$,1,3,,5402,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1185;-152;1,talk;task,talk/npc_talk_5602.xml,1807;1808;1809,1806;1807;1808,,,,,,,,,,,,1,
5603,风纪中,$L:npc_5603$,1,3,,5403,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1456;-21;1,talk;task,talk/npc_talk_5603.xml,1814;1816;1821;1826;962,1813;1814;1818;1820;1828;1833,,,,,,,,,,,,1,
5604,无因法师,$L:npc_5604$,1,3,,5404,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1430;10;1,talk;task,talk/npc_talk_5604.xml,1815;1822;1823;1824;1825,1815;1821;1822;1823;1824;1825,,,,,,,,,,,,1,
5605,翔云,$L:npc_5605$,1,3,,5405,0,,,100,40,5,2,1,,,,8556 ,120 ,0,244 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,1275 ,213 ,,,,,,,,,,,,,-1527;222;1,talk;task,talk/npc_talk_5605.xml,1820,,,,,,,,,,,,,1,
5606,石奇,$L:npc_5606$,1,3,,5406,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1179;-72;1,talk;task,talk/npc_talk_5606.xml,1800;1806;1848,1800;1848,,,,,,,,,,,,1,
5607,屈才,$L:npc_5607$,1,3,,5407,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1208;-40;1,talk;task,talk/npc_talk_5607.xml,1802;1805;1811;1812;1847,1801;1802;1805;1811;1812;1847,,,,,,,,,,,,1,
5608,苍龙居士,$L:npc_5608$,1,3,,5408,0,,,100,40,1,1,0,,,,1711 ,120 ,0,122 ,41 ,731 ,20,,,,731;731;731;731;731,30,60,3,255 ,43 ,,,,,,,,,,,,,-1328;45;1,talk;task,,1817;1818;1827;1828;1829;1830;1831;1832;1833;1843;1850;1851;1852,1809;1810;1816;1817;1826;1827;1829;1830;1831;1832;1850;1851;1852,1823,,,,,,,,,,,1,
