基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
ID,mapname,Name,Type,Select,DetailType,ModelID,AttackFlag,TameType,ResourceType,BodyDuration,Lev,NotBroadcastDrop,EliteRate1,EliteRate2,title,BloodColorBound,EffectResist,SkillResist,HP,MP,Att,Dam,Dodge,Arm,DefaultAttack,DefaultMeleeAttack,Skills,PetSkills,elemDam,elemArm,AttRange,MovSpeed,AttSpeed,Exp,Nimbus,Gold,GoldRate,DropType,DropItems,AttrRate,LevAdjust,AloneDropItems,AloneAttrRate,AloneLevAdjust,AloneDropRate,DropItemNum,NpcRandomPos,Coor,Func,DefTalk,AcceptTask,FinishTask,RelatedTask,TrafficStation,LifeSkill,Force,CreditReward,AddMasterEffect,Foods,Home,LeaveViewUncache,CanSeeOtherNpc,DieRemoveUnderling,IsNearNpc,ShowBoss,Detail,Memo
7000,NPCTELE,$L:npc_7000$,1,3,,7000,0,,,100,75,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,20,0.5,,,,,,,,,,,0;0;1,talk;traffic,talk/npc_talk_7000.xml,,,,92,,,,,,,,1,,1,,,
7001,NPCTELE,$L:npc_7001$,1,3,,7001,0,,,100,75,,,,0,,,,184,120,0,17,12,164,20,,,,,164;164;164;164;164,60,120,3,95,16,20,0.5,,,,,,,,,,,0;0;1,talk;traffic,talk/npc_talk_7001.xml,,,,93,,,,,,,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,"Evil Lord Ganondord",$L:npc_7002$,1,3,,7002,1,,,400,75,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1313,,"1192,1;1163,1",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,3000000,1,8,7001;7008;7014,0;0;0;,"0,0;0,0;0,0",7000;8006;7002;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.05;0.20;0.02;0.1,,,,,,,,,,,,,,,,,,,,,,
7003,"Dangoro Lord",$L:npc_7003$,1,3,,7003,1,,,100,75,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,20,,"1298,0.15;1299,0.15;1311,0.15;",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,3000000,1,8,7001;7008;7014,0;0;0;,"0,0;0,0;0,0",7000;8006;7002;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.05;0.20;0.02;0.1,,,,,,,,,,,,,,,,,,,,,,
7004,"King Bulblin",$L:npc_7004$,1,3,,7004,1,,,400,75,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,20,,"1307,0.15;1308,0.15;1309,0.15;1257,1",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,3000000,1,8,7001;7008;7014,0;0;0;,"0,0;0,0;0,0",7000;8006;7002;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.05;0.20;0.02;0.1,,,,,,,,,,,,,,,,,,,,,,
7005,"Queen Zelda",$L:npc_7005$,1,3,,7005,1,,,100,75,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,228,0,70000,1000,38134,20,,"1301,0.15;1302,0.15;1303,0.15;1165,1;1166,1;",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,3000000,1,8,7001;7008;7014,0;0;0;,"0,0;0,0;0,0",7000;8006;7002;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0",0.05;0.20;0.05;0.1,,,,,,,,,,,,,,,,,,,,,,
7006,"Astral Fairy Princess",$L:npc_7006$,1,3,,7006,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1417,,"1266,0.20;1267,0.55",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7005;7008;7011,0;0;0;,"0,0;0,0;0,0",8003;8000;7000;8006;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0",0.02;0.02;0.1;0.30;0.15,,,,,,,,,,,,,,,,,,,,,,
7007,"Stuner Lord",$L:npc_7007$,1,3,,7007,1,,,100,78,,3000,30,1,0.2;0.3;0.3;0.2,2;3;4,428;458;1143,8499120,120,0,70000,1000,38134,1270,,"1270,1;1271,0.50;1269,0.50;",,,118869;118869;118869;118869;118869,300,150,3,10000,4000,5000000,1,8,7006;7008;7012,0;0;0;,"0,0;0,0;0,0",8004;8000;7000;8006;8007,0;0;0;0;0;0;0;,"0,0;0,0;0,0;0,0;0,0",0.02;0.02;0.1;0.30;0.15,,,,,,,,,,,,,,,,,,,,,,
