ae,int,int,string,string,marea,"comb(id:int,density[%]:int)",npc,string,string,string
"ID","areaID","IsRebirth","AssignMode","areaName","areaBlock","NpcAssign","Script","AI","Date","Comment"
1,1,1,random,$L:npc_assign_1$,"108 708 134 722;
153 709 172 724;
184 703 201 719;
200 683 213 700;
183 686 199 700;
174 711 182 721;
153 687 181 708;
90 701 105 715;
108 687 135 706;
82 684 105 699;
302 729 317 742;
337 736 349 746;
352 734 367 743;
282 722 299 732;
301 714 316 727;
268 717 281 730;
339 721 369 733;
340 708 371 720;
258 705 271 716;
273 704 281 715;
282 705 299 720;
301 702 321 713;
-41 713 -21 729;
-3 727 19 740;
-40 697 -13 709;
5 715 15 723;
19 691 50 703;
-9 684 1 694;
-35 681 -25 693;","201,8;","",,,
2,2,1,random,$L:npc_assign_1$,"25 602 39 614;
27 586 42 599;
58 616 70 628;
77 604 93 619;
99 600 124 616;
86 569 102 583;
105 562 121 579;
123 559 140 575;
154 593 175 611;
179 592 203 611;
159 577 194 591;
209 597 228 610;
228 569 242 580;
247 573 273 589;
293 580 310 606;
351 550 367 570;","2,20;","",,,
3,3,1,random,$L:npc_assign_1$,"333 349 349 362;
292 346 312 363;
316 349 330 365;
351 347 363 361;
292 323 317 342;
334 322 350 344;
273 306 288 316;
281 285 296 300;
277 272 290 280;
298 276 321 286;
311 270 321 274;
327 288 344 310;
301 291 323 307;
322 328 331 339;
295 310 312 322;","220,10;","",,,
4,4,1,random,$L:npc_assign_1$,"472 528 484 540;
455 533 467 544;
448 498 467 528;
469 512 490 526;
471 497 484 510;
467 472 488 490;
473 454 491 467;
476 434 490 448;","227,12;","",,,
5,5,1,random,$L:npc_assign_1$,"393 95 429 117;
354 66 375 89;
331 71 352 93;
411 123 427 142;
358 92 377 107;
280 56 300 96;
385 119 410 137;","6,10;","",,,
6,6,1,random,$L:npc_assign_6$,"388 -33 438 -8;
368 -138 414 -178;
363 -84 449 -40;
451 -116 492 -91;
373 -116 401 -91;
339 -111 355 -94;
345 -142 362 -122;
415 -174 432 -150;","13,6;","",,,
7,7,1,random,$L:npc_assign_7$,"128 -100 159 -79;
179 -85 199 -46;
191 -97 214 -87;
184 -138 199 -123;
201 -135 213 -111;
169 -166 184 -152;
174 -114 187 -107;
185 -105 197 -96;
161 -105 179 -90;
179 -44 197 -34;
178 -152 188 -143;","9,10;","",,,
8,8,1,random,$L:npc_assign_7$,"130 -149 164 -116;
115 -211 136 -180;
80 -164 119 -141;
89 -196 113 -177;
165 -138 172 -120;
139 -115 152 -108;
132 -154 159 -149;","11,11;","",,,
9,9,1,random,$L:npc_assign_7$,"54 -71 93 -51;
96 -146 118 -111;
94 -100 106 -78;
62 -48 82 -37;
96 -76 106 -63;
32 -141 57 -120;","12,11;","",,,
10,10,1,random,$L:npc_assign_10$,"3 -107 49 -65;
-7 -136 27 -119;
-12 -159 36 -136;
-13 -119 16 -109;","15,8;","",,,
11,11,1,random,$L:npc_assign_10$,"-84 -98 -43 -63;
-41 -102 -21 -70;
-84 -120 -42 -101;
-65 -146 -41 -122;","16,8;","",,,
12,12,1,random,$L:npc_assign_10$,"-144 -134 -85 -98;
-146 -154 -85 -136;
-154 -181 -107 -157;","17,6;","",,,
13,13,1,random,$L:npc_assign_10$,"-81 -202 -48 -184;
-158 -229 -120 -213;
-41 -201 -19 -179;
-118 -227 -103 -214;
-48 -177 -17 -162;
-17 -194 7 -173;
-64 -183 -49 -164;","18,8;","",,,
14,14,1,random,$L:npc_assign_14$,"306 -244 335 -195;
284 -307 306 -285;
293 -283 302 -255;
285 -249 294 -233;
287 -351 298 -329;
294 -381 304 -362;
321 -402 343 -382;
222 -329 246 -318;
258 -375 279 -341;
215 -360 230 -333;","19,10;","",,,
15,15,1,random,$L:npc_assign_14$,"417 -411 455 -386;
315 -284 326 -275;
317 -327 341 -317;
349 -332 360 -304;
391 -297 416 -278;","21,12;","",,,
16,16,1,random,$L:npc_assign_14$,"211 -358 236 -322;
207 -394 240 -360;
260 -379 283 -339;
248 -356 263 -330;
263 -341 284 -326;
200 -364 220 -341;
227 -321 240 -307;","22,8;","",,,
17,17,1,random,$L:npc_assign_14$,"277 -736 294 -714;","20,10;","",,,
18,18,1,random,$L:npc_assign_14$,"339 -344 360 -300;
363 -357 402 -338;
404 -328 415 -297;
392 -338 406 -314;
386 -291 403 -269;","28,9;","",,,
19,19,1,random,$L:npc_assign_14$,"15 -597 27 -570;
-107 -560 -82 -539;
-7 -649 24 -632;
-23 -699 2 -650;
2 -700 33 -650;
3 -728 26 -703;
29 -741 75 -719;
50 -718 78 -702;
49 -685 70 -669;","23,8;","",,,
20,20,1,script,,"","190,0;","script/NpcLocation.lua",,,
21,21,1,random,$L:npc_assign_21$,"-198 523 -164 542;
-189 552 -149 571;
-210 473 -182 498;
-225 503 -202 520;
-197 500 -171 519;
-220 528 -200 562;
-200 576 -166 599;","5,12;","",,,
22,22,1,random,$L:npc_assign_21$,"-164 638 -129 665;
-181 607 -122 625;
-161 576 -124 599;
-123 635 -107 664;
-186 632 -170 669;
-193 673 -167 699;
-165 670 -139 712;
-136 670 -109 714;","7,10;","",,,
23,23,1,random,$L:npc_assign_23$,"79 173 141 214;
151 184 173 222;
77 128 116 160;
191 206 229 232;
208 178 228 198;
77 65 127 112;
131 80 170 121;","125,5;210,5;211,2;","",,,
24,24,1,random,$L:npc_assign_24$,"510 -120 551 -85;
664 -167 730 -119;
641 -206 711 -176;
604 -154 659 -105;
529 -75 562 -58;
598 -101 632 -61;
541 -172 593 -144;
587 -209 634 -181;
620 -175 640 -155;
579 -141 602 -123;","14,6;","",,,
25,25,1,random,$L:npc_assign_25$,"258 -632 270 -586;
209 -606 234 -586;
146 -602 194 -580;
95 -599 120 -581;
123 -604 144 -588;
145 -626 175 -610;
102 -638 128 -622;
122 -619 140 -606;
242 -633 255 -614;
209 -648 235 -634;
217 -620 233 -607;
183 -642 206 -629;","249,10;","",,,
26,26,1,random,$L:npc_assign_26$,"","27,5;","",,,
27,27,1,random,$L:npc_assign_27$,"","26,8;","",,,
28,28,1,random,$L:npc_assign_28$,"","124,8;","",,,
29,29,1,random,$L:npc_assign_29$,"","244,8;","",,,
30,30,1,random,$L:npc_assign_30$,"","30,6;","",,,
31,31,1,random,$L:npc_assign_32$,"-199 -1230 -13 -1160;
-11 -1244 39 -1210;
-44 -1276 -21 -1247;
-11 -1296 6 -1279;
17 -1271 49 -1259;","117,7;","",,,
32,32,1,random,$L:npc_assign_32$,"192 -1200 240 -1186;
199 -1213 229 -1201;
303 -1168 414 -1107;
422 -1236 451 -1142;
245 -1271 420 -1239;
236 -1235 263 -1217;
255 -1217 286 -1202;","73,8;","",,,
33,33,1,random,,"-33 -1159 44 -1136;
61 -1222 167 -1159;
179 -1137 222 -1071;","77,9;","",,,
34,34,1,random,$L:npc_assign_34$,"54 -989 130 -931;
1 -1065 139 -997;
5 -904 45 -871;","78,8;","",,,
35,35,1,random,$L:npc_assign_35$,"","78,3;","",,,
36,36,1,random,$L:npc_assign_36$,"-118 -860 -49 -834;
-123 -902 -91 -880;
-81 -882 -67 -861;
-88 -920 -67 -889;
-67 -941 -31 -920;
-79 -986 -37 -958;","350,9;","",,,
37,37,1,random,$L:npc_assign_36$,"-47 -837 72 -809;
76 -897 121 -827;","79,6;","",,,
38,38,1,random,$L:npc_assign_38$,"-125 -981 -99 -918;
-119 -1022 -85 -988;
-227 -1001 -172 -925;
-173 -1019 -135 -973;","88,7;","",,,
39,39,1,random,$L:npc_assign_39$,"","121,10;","",,,
40,40,1,random,$L:npc_assign_42$,"199 -1019 242 -955;
242 -1003 298 -955;
296 -1001 408 -925;
157 -1003 198 -961;","85,8;","",,,
41,41,1,random,$L:npc_assign_42$,"143 -881 216 -836;
218 -865 243 -834;
177 -834 242 -811;
191 -932 242 -904;
218 -903 243 -887;
235 -887 244 -876;","86,7;","",,,
42,42,1,random,$L:npc_assign_42$,"385 -907 425 -868;
353 -867 472 -827;
426 -913 471 -870;
341 -908 386 -870;","352,7;","",,,
43,43,1,random,$L:npc_assign_43$,"","68,10;","",,,
