,"comment:
npc名字",npcId,AI类型,AI脚本,重生周期(秒),重生日程,派系ID,是否巡逻,巡逻路径,是否为闭合的环状巡逻路线,是否默认激活巡逻,是否主动攻击,是否首领,"随从id num;id num;",视野范围,控制范围,活动范围,胆量,UPDATA事件,特殊事件,关联npc响应,生命周期,备注
ID,Name,npcId,AIType,AIScript,Circle,Date,Faction,IsPatrol,PatrolPath,IsCyclicPatrol,IsDefaultPatrol,IsActive,IsBoss,Underling,ViewRange,ControlRange,MoveRange,Courage,TriggerUpdateEvent,SpecialEvent,RelatedNpc,LifeCycle,Comment
1,小家兔,1,combatant_pet,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
2,成年山狼,2,monster,,3,,0,0,,,,0,0,,100,800,100,1,,"OnHpLower 50;OnArrivePoint 378|917;",,,
3,成年猪脸猫,3,monster,,3,,0,0,,,,0,0,,100,800,100,1,,"OnBeCaptured;OnArrivePoint 185|495;",,,
4,老蟑螂,4,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
5,金角蟒,5,monster,xxx.lua,3,,0,0,,,,0,0,,100,800,100,1,,,,,
6,丛林毒蛇,6,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
7,双身蛇,7,monster,xxx.lua,3,,0,0,,,,0,0,,100,800,100,1,,,,,
8,丛林蛇王,8,monster,,10,,0,0,,,,1,0,,60,800,100,1,,,,,
9,蛇首杂役,9,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
10,灵芝仙,10,monster,,60,,0,0,,,,1,0,,60,800,100,1,,,,,
11,蛇首捕头,11,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
12,蛇匪头目,12,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
13,飞蜈蚣,13,monster,,3,,0,0,,,,1,0,,60,800,100,1,,,,,
14,致命蜈蚣,14,monster,,3,,0,0,,,,1,0,,60,800,100,1,,,,,
15,鬼火,15,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
16,噬血魂,16,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
17,怨鬼,17,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
18,恶鬼,18,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
19,山精,19,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
20,纨挎子弟,20,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
21,毒蘑菇,21,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
22,野兔,22,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
23,黑衣贼,23,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
24,仙灵蜈蚣,24,monster,,60,,0,0,,,,1,1,"238 2",60,800,0,1,,,,,
25,鬼风妖道,25,monster,,60,,0,0,,,,1,1,"239 2",60,800,0,1,,,,,
26,野狼,26,monster,,15,,0,0,,,,1,0,,60,800,100,1,,,,,
27,采花贼,27,monster,,15,,0,0,,,,1,0,,60,800,100,1,,,,,
28,匪徒,28,monster,,15,,0,0,,,,0,0,,60,800,100,1,,,,,
29,千年蛇妖,29,monster,,60,,0,0,,,,0,1,,100,800,0,1,,,,,
30,恶和尚,30,monster,,15,,0,0,,,,1,0,,100,800,100,1,,,,,
31,金光鼎,31,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
32,张亮,32,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
33,薛蟒,33,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
34,阴阳叟,34,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
35,赤焰道人,35,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
36,铁钟道人,36,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
37,百毒金蚕蛊,37,monster,,60,,0,0,,,,1,1,"251 2",120,800,0,1,,,,,
38,知非禅师,38,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
39,晓月禅师,39,monster,,60,,0,0,,,,1,1,,100,800,0,1,,,,,
40,小家兔,101,monster,,30,,0,0,"80 572;88 561;88 536;100 515;114 497;131 484;141 487;",,,0,0,,100,800,100,1,,"OnBeCaptured;OnArrivePoint 308|691;",,,
41,熊猫,40,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
42,乡勇,46,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
43,AI测试,1001,monster,,30,,0,0,,,,0,0,,60,800,0,1,,"OnHpLower 80|60|40|20;OnFirstBeAttacked;",,,
44,护送任务示范,1000,monster,,30,,111,1,"374 917;379 904;369 884;351 869;317 860;",,0,0,0,,60,800,0,1,,"OnHpLower 80|60|40|20;OnArrive 0;OnTaskAccept 1000;",,,
45,白云大师,41,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
46,玉清大师,42,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
47,小尼姑,43,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
48,小女孩,44,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
49,餐霞大师弟子,45,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
50,乡民,47,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
51,营地医师,49,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
52,孤魂野鬼,50,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
53,追云叟,51,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
54,通臂神猿李宁,52,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
55,百禽道人公冶黄,53,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,
56,魏青,54,monster,,60,,0,0,,,,1,0,,100,800,0,1,,,,,
57,李南国,55,monster,,30,,0,0,,,,1,0,,100,800,0,1,,,,,
58,龙飞,56,monster,,60,,0,0,,,,1,0,"248 2",100,800,0,1,,,,,
59,丹丘生,57,monster,,30,,0,0,,,,1,0,,100,800,0,1,,,,,
60,燕南飞,58,monster,,30,,0,0,,,,1,0,,100,800,0,1,,,,,
61,秦朗,59,monster,,60,,0,0,,,,1,0,,100,800,0,1,,,,,
62,强马贼,60,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
63,流寇,61,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
64,流寇精锐,62,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
65,马贼悍匪,63,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
66,李南村,64,monster,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
67,李南城,65,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
68,何生玉,66,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
69,商会老大,67,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
70,风尘女子,68,monster,,15,,0,0,,,,0,0,,100,800,100,1,,,,,
71,杨花,69,monster,,60,,0,0,,,,1,0,,100,800,0,1,,,,,
72,无眉妖女,70,monster,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
73,铁须道长,71,monster,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
74,猛火道长,72,monster,,60,,0,0,,,,1,0,,100,800,0,1,,,,,
75,毒蝇,73,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
76,幼虎,74,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
77,猛虎,75,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,
78,金钱豹,76,monster,,3,,0,0,,,,0,0,,100,800,100,1,,,,,
79,男山民(刀),77,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
80,男山民(枪),78,monster,,3,,0,0,,,,0,0,,60,800,100,1,,,,,
81,男山民(剑),79,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
82,男山民(斧),80,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
83,女山民(刀),81,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
84,女山民(枪),82,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
85,女山民(剑),83,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
86,女山民(斧),84,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
87,幼年野骡,85,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
88,壮年野骡,86,monster,,10,,0,0,,,,0,0,,60,800,100,1,,,,,
