,"comment:
npc名字",npcId,common,AI脚本,重生周期(秒),重生日程,派系ID,是否巡逻,巡逻路径,是否为闭合的环状巡逻路线,是否默认激活巡逻,是否主动攻击,是否首领,"随从id num;id num;",视野范围,控制范围,活动范围,胆量,UPDATA事件,特殊事件,出生时的动作时间,NPC发呆时间设置,关联npc响应,生命周期,备注
ID,Name,npcId,AIType,AIScript,Circle,Date,Faction,IsPatrol,PatrolPath,IsCyclicPatrol,IsDefaultPatrol,IsActive,IsBoss,Underling,ViewRange,ControlRange,MoveRange,Courage,TriggerUpdateEvent,SpecialEvent,BornPoseTime,MinusFreeseTime,RelatedNpc,LifeCycle,Comment
1800,伍天赐,5600,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1801,福生,5601,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1802,段石匠,5602,common,,30,,0,0,,,,0,0,,60,800,0,1,,"OnTaskFinish 1807;",,,,,
1803,风纪中,5603,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1804,无因法师,5604,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1805,翔云,5605,common,,30,,0,1,"-1526 223;-1512 221;-1491 217;-1479 208;-1484 188;-1489 168;-1497 154;-1511 140;-1529 127;-1550 117;-1570 110;-1590 102;-1609 93;-1629 87;-1648 82;-1660 67;-1650 54;-1630 50;-1609 47;-1589 46;-1568 48;-1550 58;-1535 71;-1526 88;-1510 99;-1490 98;-1480 81;-1461 72;-1445 60;-1434 42;-1429 32;-1427 29;",,,0,0,,60,800,0,1,1,"OnTaskAccept 1820;OnArrive 0;OnHpLower 80|60|40|20;",,,,,
1806,石奇,5606,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1807,屈才,5607,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1808,苍龙居士,5608,common,,30,,0,0,,,,0,0,,60,800,0,1,,OnInteractive;,,,,,
1810,赤霞,5610,common,,30,,0,1,"-1128 -169;-1124 -178;-1113 -193;-1097 -206;",,,0,0,,60,800,0,1,,"OnInteractive;OnTaskAccept;OnArrive 0;",,,,,
1811,尸虫,5611,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1812,牙一族战士,5612,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1813,牙一族巡游者,5613,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1814,妖变的雕像,5614,monster,,30,,0,0,,,,1,0,,90,800,0,1,,,,,,,
1815,牙一族祭师,5615,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1816,牙一族祭祀长长,5616,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,,,
1817,骷髅怪,5617,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1818,鬼头兵,5618,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1819,死灵,5619,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1820,虚灵塔,5620,door,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1821,虚灵,5621,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1822,罗枭部众,5622,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1823,食腐巨蜥,5623,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1824,罗枭,5624,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,,,
1825,九幽行者,5625,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1826,枯骨魔,5626,monster,,30,,0,0,,,,1,0,,60,800,100,1,,,,,,,
1827,铁面佛,5627,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,,,
1828,化骨老妖,5628,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,,,
1829,鬼祟的采石者,5629,monster,,30,,0,1,"-1127 -229;-1117 -227;-1099 -227;-1095 -227;",,1,1,0,,60,800,100,1,,OnArrive;,,,,30,
1830,丹药炉,5630,plant,,30,,0,0,,,,0,0,,60,800,0,1,,OnInteractive;,,,,,
1831,灵石佛像,5631,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1831,兽牙图腾,5632,plant,,1,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1833,幽冥花,5633,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1834,玄晶石,5634,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1835,余化,5635,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1836,紫竹林斥候,5636,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1837,紫竹林民兵,5637,common,,30,,0,0,,,,1,0,,60,800,0,1,,,,,,,
1838,邪光球(一),5638,null,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1839,邪光球(二),5639,null,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1840,能量块,5640,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1841,青笋,5641,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1842,石质宝剑,5642,plant,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
1843,虚空之门,5643,door,,20,,0,0,,,,0,0,,60,800,0,1,,,,,,,
