,"comment:
npc名字",npcId,AI类型,AI脚本,重生周期(秒),重生日程,派系ID,是否巡逻,巡逻路径,是否为闭合的环状巡逻路线,是否默认激活巡逻,是否主动攻击,是否首领,"随从id num;id num;",视野范围,控制范围,活动范围,胆量,UPDATA事件,特殊事件,关联npc响应,生命周期,备注
ID,Name,npcId,AIType,AIScript,Circle,Date,Faction,IsPatrol,PatrolPath,IsCyclicPatrol,IsDefaultPatrol,IsActive,IsBoss,Underling,ViewRange,ControlRange,MoveRange,Courage,TriggerUpdateEvent,SpecialEvent,RelatedNpc,LifeCycle,Comment
7000,PVPTELE,7000,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
7001,PVPBACK,7001,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
7002,秦皇之魄,7002,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7003,伏地魔,7003,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7004,赤宵魂,7004,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7005,顾惜朝,7005,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7006,秦皇之魄,7006,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7007,伏地魔,7007,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7008,赤宵魂,7008,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7009,顾惜朝,7009,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7010,秦皇之魄,7010,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7011,伏地魔,7011,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7012,赤宵魂,7012,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7013,顾惜朝,7013,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7014,秦皇之魄,7014,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7015,伏地魔,7015,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7016,NPCShopTG,7016,common,,10,,0,0,,,,0,0,,100,800,0,1,,,,,
7017,NPCShopNgoc,7017,common,,10,,0,0,,,,0,0,,100,800,0,1,,,,,
7018,NewMob,7018,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,
7019,NewMob,7019,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,
7020,NewMob,7020,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,
7021,NewMob,7021,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,
7022,NewMob,7022,monster,,30,,0,0,,,,1,0,,100,800,100,1,,,,,
7023,"New HP pet",7023,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
7024,"New MP pet",7024,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
7025,CAVE84I,7025,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
7026,CAVE84L,7026,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
7027,NewMobCave1,7027,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7028,NewMobCave2,7028,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7029,NewMobCave3,7029,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7030,NewMobCave4,7030,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7031,CaveBoss1,7031,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7032,CaveBoss2,7032,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7033,CaveBoss3,7033,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7034,NewMob,7034,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7035,NewMob,7035,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7036,NewMob,7036,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7037,NewMob,7037,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7038,NewMob,7038,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7039,"New BK pet",7039,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
7040,Ruong,7040,plant,,30,,0,0,,,,0,0,,60,800,0,1,,,,,
7041,NewMob,7041,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7042,NewMob,7042,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7043,NewMob,7043,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7044,NewMob,7044,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7045,NewMob,7045,monster,,30,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7046,Ruong,7046,plant,,30,,0,0,,,,0,0,,60,800,0,1,,,,,
7047,Ruong,7047,plant,,30,,0,0,,,,0,0,,60,800,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
7048,85IN,7048,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
7049,85OUT,7049,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
7050,NewMob,7050,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7051,NewMob,7051,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7052,NewMob,7052,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7053,CaveBoss1,7053,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7054,CaveBoss2,7054,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7055,CaveBoss3,7055,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7056,CaveBoss4,7056,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7057,OpenBoss,7057,plant,,86400,,0,0,,,,1,0,,60,800,0,1,,OnDead;,,,
7058,Event,7058,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
7167,"Wizard M",7167,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
7168,Monk,7168,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
7169,Fairy,7169,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
7170,Assassin,7170,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
7171,Tamer,7171,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
7072,NV,7072,common,,30,,0,0,,,,0,0,,60,800,0,1,,,,,
7073,CAVE93I,7073,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
7074,CAVE93L,7074,common,,30,,0,0,,,,0,0,,100,800,0,1,,,,,
7075,NewMobCave1,7075,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7076,NewMobCave2,7076,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7077,NewMobCave3,7077,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7078,NewMobCave4,7078,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7079,CaveBoss1,7079,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7080,CaveBoss2,7080,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7081,CaveBoss3,7081,monster,,604800,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7082,"New N pet",7082,noncombatant_pet,,30,,0,0,,,,0,0,,100,800,100,1,,,,,
7083,伏地魔,7083,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7084,秦皇之魄,7084,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7085,顾惜朝,7085,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
7086,秦皇之魄,7086,monster,,2700,,0,0,,,0,1,0,,200,1000,100,1,,,,,
