商店ID,店主人ID,商店名字,出售价格比率,出售物品,出售稀有物品
ID,OwnerID,Name,SaleAgio,SaleItems,LimitItems
1,52,$L:npc_shop_zahuodian1$,1,4;5;6;7;;3455;3456;3457;,
2,3102;199;3407,$L:npc_shop_fomengshuidian$,1,200;202,
3,3007;200;3305;3203,$L:npc_shop_emeishuidian$,1,200;202,
4,128;372,$L:npc_shop_xinshoucunshuidian$,1,357;358;359;360;361;362;363;364;1080;3455;3456;3457;34;35;560;561;44;45;14;15;638;639;,
5,102;288;5422,$L:npc_shop_chengdushuidian$,1,363;364;365;366;367;368;1080;1089;3455;3456;3457;36;562;46;16;640;,
6,109;371;391;5040,$L:npc_shop_xinshoucunwuqi$,1,76;77;85;86;94;95;103;104;112;113;121;122;130;131;139;140;148;149;574;575;583;584;592;593;652;653;661;662;670;671;14;15;34;35;44;45;560;561;638;639;1080;801,
7,408;49,$L:npc_shop_yunlingshancunshuidian$,1,359;360;361;362;363;364;1080;3455;3456;3457;35;36;561;562;45;46;15;16;639;640;,
8,371;287;363,$L:npc_shop_yunlingshanchengduwuqi$,1,77;78;86;87;95;96;104;105;113;114;122;123;131;132;140;141;149;150;575;576;584;585;593;594;653;654;662;663;671;672;4;24;54;550;628;5;25;55;551;629;6;26;56;552;630;1080;801;902,
9,394,$L:npc_shop_ciyunshuidian$,1,363;364;365;366;367;368;1080;3455;3456;3457;,
10,411,$L:npc_shop_guihuashanshuidian$,1,367;368;369;370;371;372;1080;3455;3456;3457;,
