typeid,posx,posy,dir
4320,46,34,10
4320,34,28,4
4320,42,28,6
4320,3,67,6
4320,2,52,2
4303,100,-111,8
4303,97,-115,6
4303,105,-112,8
4303,119,-97,10
4303,125,-101,10
4303,122,-102,8
4303,110,-67,8
4303,119,-67,8
4303,115,-72,8
4319,76,-98,6
4319,63,-100,4
4319,68,-97,8
4319,53,-69,6
4319,59,-58,10
4319,50,-28,8
4319,-52,42,2
4319,-65,48,4
4320,-125,61,4
4320,-120,55,2
4320,-121,68,6
4319,-42,191,14
4319,-33,190,10
4319,-50,179,8
4319,-44,173,4
4319,-48,138,8
4319,-41,148,10
4319,-81,110,12
4319,-82,103,10
4319,-74,111,10
4319,-101,37,2
4325,-219,190,4
4320,-197,57,2
4320,-197,50,4
4320,-191,46,0
4320,-197,73,6
4320,-191,76,2
4320,-197,80,4
4320,-152,110,10
4320,-156,116,0
4320,-158,106,12
4320,-145,172,14
4319,-135,154,10
4319,-142,158,12
4320,-174,170,6
4320,-182,173,6
4319,-182,193,4
4319,-184,201,14
4320,26,68,8
4310,119,113,8
4310,116,107,8
4310,123,107,8
4310,102,127,4
4310,141,135,14
4310,145,164,10
4310,108,163,6
4310,106,133,8
4310,136,141,10
4326,123,165,8
4310,128,184,8
4310,119,184,8
4310,123,189,8
4308,179,-70,10
4308,187,-64,10
4308,230,28,8
4308,269,34,0
4308,223,33,12
4308,231,34,2
4309,263,38,12
4309,264,29,14
4309,274,66,14
4309,269,54,10
4309,268,62,12
4309,443,130,12
4309,437,134,12
4309,440,141,10
4309,416,155,8
4309,377,143,6
4309,374,150,6
4309,399,113,8
4309,411,109,10
4309,406,116,8
4309,408,151,8
4309,415,147,10
4308,374,69,10
4308,382,66,0
4308,377,60,8
4308,403,53,0
4308,400,45,8
4308,370,40,0
4308,395,55,12
4308,350,59,4
4308,347,65,4
4308,347,54,4
4308,319,59,4
4308,320,65,10
4308,326,59,6
4324,288,173,8
4309,339,158,4
4309,324,157,10
4309,331,161,8
4309,382,153,6
4308,402,79,8
4308,395,81,10
4308,409,79,8
4320,5,59,4
4319,-58,46,4
4319,-189,189,10
4319,-174,189,8
4320,-175,179,4
4319,-41,141,8
4319,52,-62,8
4308,179,-63,8
4310,138,161,8
4310,112,157,8
4308,152,306,6
4308,160,307,8
4308,148,284,10
4308,155,283,14
4308,126,263,10
4308,119,259,8
4308,117,232,8
4308,123,232,8
4322,118,345,8
4322,111,345,6
4322,111,359,4
4322,118,359,12
4322,84,375,6
4322,78,369,4
4322,83,363,4
4322,72,395,6
4322,80,395,8
4322,94,409,4
4322,95,396,2
4322,99,403,4
4322,70,434,6
4322,78,435,8
4322,67,427,4
4322,73,471,6
4322,79,474,6
4322,75,462,8
4323,132,463,8
4321,127,377,4
4321,139,377,10
4321,133,372,8
4321,127,411,8
4321,139,411,8
4321,127,433,6
4321,138,433,8
4321,114,455,8
4321,107,451,8
4321,110,444,6
4321,120,431,6
4321,145,430,12
4321,129,450,8
4321,136,450,8
4321,149,453,8
4321,158,450,8
4321,152,445,8
4322,181,364,10
4322,180,372,10
4322,176,358,14
4322,195,401,8
4322,190,406,8
4322,182,393,6
4322,175,397,0
4321,133,415,8
4310,113,130,8
4310,128,140,8
4338,54,468,6
4338,58,475,8
4338,49,478,4
4338,64,479,4
4336,45,478,4
4336,182,426,8
4338,192,418,8
4338,185,421,8
4338,178,419,8
4338,173,404,4
4336,-226,70,4
4339,-221,70,4
4339,-217,65,6
4339,-214,73,2
4340,-228,71,4
4336,-183,222,10
4339,-189,221,8
4339,-184,216,10
4339,-191,215,10
4340,-185,221,8
4336,280,213,5
4303,112,-24,0
4303,123,-21,0
4303,117,-24,8
4303,117,5,8
4303,109,5,8
4303,125,6,8
4303,116,31,8
4303,124,32,8
4303,120,27,8
4319,-105,43,0
4319,-185,110,8
4319,-178,113,4
4319,-172,117,8
4319,-159,72,8
4319,-157,54,2
4319,-166,76,10
4322,76,400,8
4303,162,-109,0
4310,86,113,2
4310,81,179,4
4310,170,184,10
4310,161,119,14
4334,107,-195,0
4349,122,169,0
4367,255,161,8
4368,-135,162,8
4369,123,186,8
4370,110,310,2
4320,-191,172,4
4319,55,-35,14
4319,42,-24,8
4320,-131,168,2
4320,-136,176,10
4319,-129,160,6
4320,-223,174,4
4320,-223,207,4
4339,-31,182,8
4339,-50,170,12
4384,115,342,7
4344,295,146,6
4344,283,144,10
4344,287,149,8
4309,239,140,10
4309,243,130,12
4309,248,138,10
4309,215,105,8
4309,223,108,6
4309,217,112,10
4309,222,67,7
4309,219,74,7
4309,224,74,15
