typeid,posx,posy,dir
4774,99,158,10
4774,94,164,8
4774,86,160,8
4774,94,192,10
4774,73,201,6
4774,72,179,4
4774,88,215,6
4774,101,219,12
4775,74,184,4
4775,89,187,10
4775,73,196,2
4774,78,180,6
4775,90,195,14
4774,80,205,4
4775,97,213,12
4775,73,273,8
4774,78,280,8
4774,87,266,12
4775,90,260,10
4756,138,315,10
4774,134,296,14
4774,108,290,0
4775,115,304,12
4775,120,298,8
4775,123,304,4
4775,118,310,10
4774,132,291,12
4774,114,287,2
4775,150,356,8
4775,155,360,4
4775,154,354,8
4774,170,345,8
4774,168,350,12
4774,172,354,14
4775,173,376,10
4775,165,375,10
4775,172,370,12
4774,165,403,8
4774,172,398,10
4774,163,397,6
4611,116,408,4
4775,98,416,14
4775,93,410,12
4775,95,387,10
4775,88,389,14
4768,-60,363,4
4768,-60,358,4
4768,-64,364,8
4768,-64,357,12
4768,-31,358,2
4768,-31,363,4
4768,-35,361,2
4768,-10,354,0
4768,-10,365,6
4768,-6,368,4
4768,-5,352,0
4768,-83,357,4
4768,-83,365,4
4768,-103,346,0
4768,-100,352,14
4768,-116,354,14
4768,-104,373,6
4768,-115,368,2
4768,-97,371,8
4768,-124,353,0
4768,-120,349,0
4768,-124,367,8
4768,-119,374,8
4769,-154,351,0
4769,-160,351,0
4769,-171,351,0
4769,-176,351,0
4769,-159,369,8
4769,-166,369,8
4769,-172,369,8
4769,-176,373,12
4758,-139,361,4
4769,-173,430,12
4769,-192,422,4
4769,-173,423,12
4769,-192,429,4
4769,-168,427,12
4769,-197,425,4
4769,-174,468,8
4769,-189,467,8
4759,-182,456,8
4769,-171,468,8
4769,-192,467,8
4769,-168,465,12
4769,-197,463,4
4769,-197,459,4
4769,-168,462,12
4768,-140,520,4
4768,-140,510,2
4768,-140,521,2
4769,-121,532,8
4769,-134,532,8
4769,-108,532,8
4768,-117,520,0
4768,-117,511,6
4768,-127,511,8
4768,-122,515,12
4768,-126,520,14
4768,-140,511,2
4769,-133,499,0
4769,-122,499,0
4769,-110,499,0
4769,-89,508,4
4769,-89,524,4
4769,-84,516,12
4771,-51,556,8
4771,-57,556,8
4771,-54,558,8
4771,-46,586,10
4771,-47,582,10
4771,-49,585,8
4771,-68,590,8
4771,-63,592,6
4771,-63,586,8
4771,-92,598,8
4771,-93,592,2
4771,-100,595,4
4760,-68,690,12
4771,-118,626,10
4771,-127,625,10
4771,-121,618,10
4771,-114,665,6
4771,-103,671,10
4771,-107,676,10
4771,-84,685,10
4771,-57,675,12
4771,-46,682,12
4771,-75,674,14
4771,-51,697,8
4771,-78,703,8
4771,-62,708,10
4773,-136,600,2
4773,-132,607,6
4773,-123,600,6
4773,-124,592,0
4773,-151,599,10
4773,-155,592,2
4773,-158,600,2
4773,-171,635,6
4773,-163,634,2
4773,-168,627,6
4773,-179,617,6
4773,-183,617,6
4773,-187,617,6
4773,-179,599,0
4773,-183,599,0
4773,-187,599,0
4761,-207,606,4
4773,-209,589,0
4773,-203,583,14
4773,-201,591,2
4773,-207,630,2
4773,-200,627,8
4773,-208,624,2
4773,-138,658,10
4773,-142,664,10
4773,-147,659,8
4773,-148,702,8
4773,-140,704,8
4773,-142,697,8
4776,-145,639,8
4762,-563,714,8
4764,-592,71,6
4770,-578,97,6
4770,-570,93,8
4770,-576,89,6
4770,-577,53,2
4770,-576,60,2
4770,-570,56,0
4770,-576,75,4
4770,-571,72,4
4770,-571,78,4
4772,-712,178,4
4772,-706,181,6
4772,-705,174,6
4772,-675,181,10
4772,-670,178,10
4772,-677,174,10
4772,-691,179,8
4772,-693,174,8
4772,-689,174,8
4770,-549,704,8
4770,-544,698,10
4770,-553,696,10
4770,-582,697,4
4770,-578,703,6
4770,-574,696,6
4767,-678,609,8
4772,-688,589,4
4772,-688,585,4
4772,-688,581,4
4772,-667,588,12
4772,-667,584,12
4772,-667,581,12
4772,-701,602,6
4772,-693,604,8
4772,-696,598,6
4772,-668,604,8
4772,-660,601,10
4772,-665,599,10
4778,151,58,0
4784,-563,683,0
4787,-678,572,0
4785,-560,75,12
4786,-690,162,0
4779,-127,730,8
4766,-685,197,8
4765,-694,196,8
4763,-592,80,4
4615,-1144,119,8
4788,-1143,88,0
4612,-96,515,12
4757,145,408,6
4833,-145,639,8
4775,102,409,6
4775,94,394,2
4768,-133,371,10
4768,-133,353,2
4769,-153,369,8
4768,-139,522,8
4768,-139,510,12
4773,-192,617,6
4773,-192,599,0
4768,-133,369,10
4768,-133,367,10
4768,-133,351,2
4768,-133,349,2
4769,-166,351,0
4769,-186,407,4
4769,-186,407,4
4769,-178,407,12
4769,-178,407,12
4769,-182,403,8
4769,-182,403,8
4768,-149,515,12
4771,-57,523,10
4771,-57,523,10
4771,-57,523,10
4771,-57,523,10
4771,-57,523,10
4771,-57,523,10
4773,-131,717,8
4773,-125,713,8
4773,-126,721,8
4773,-126,721,8
