typeid,posx,posy,dir
5549,729,629,8
5527,605,637,6
5527,573,614,0
5527,574,588,6
5527,607,628,0
5527,573,576,12
5527,639,577,2
5527,638,615,6
5527,580,575,2
5527,600,565,8
5527,603,556,8
5527,630,575,8
5528,556,676,6
5528,564,681,12
5528,546,704,8
5528,565,711,14
5528,545,690,14
5528,639,732,14
5528,639,740,0
5528,604,742,14
5528,612,742,8
5528,599,718,12
5528,618,699,2
5528,541,697,4
5528,577,697,0
5528,574,711,2
5528,581,735,14
5528,584,728,10
5528,604,713,8
5528,610,695,8
5528,621,714,12
5528,568,696,8
5527,608,563,8
5527,633,584,8
5527,629,615,8
5527,598,626,8
5527,576,606,8
5527,582,613,8
5527,635,609,8
5530,699,721,8
5530,732,717,8
5530,719,718,8
5530,704,713,8
5530,694,713,8
5530,726,725,8
5530,715,653,0
5530,747,602,8
5530,714,602,0
5530,724,609,0
5530,740,634,0
5530,717,632,0
5530,737,608,0
5530,736,654,0
5529,726,667,0
5529,722,674,0
5529,731,674,0
5529,714,696,12
5529,730,701,10
5529,723,707,12
5529,714,680,4
5529,708,702,8
5529,695,701,8
5529,709,688,0
5529,704,680,0
5529,691,688,0
5529,688,683,14
5529,672,698,12
5529,646,702,8
5529,642,694,12
5529,672,692,12
5529,637,701,14
5544,696,529,12
5550,604,594,8
5552,563,666,6
5530,730,605,0
5528,592,733,8
5528,623,734,8
5528,608,721,0
5528,629,716,6
5528,618,690,14
5528,583,710,10
5528,586,698,14
5530,727,651,14
5530,729,631,14
5562,729,611,8
