typeid,posx,posy,dir
7055,729,629,8
7050,605,637,6
7050,573,614,0
7050,574,588,6
7050,607,628,0
7050,573,576,12
7050,639,577,2
7050,638,615,6
7050,580,575,2
7050,600,565,8
7050,603,556,8
7050,630,575,8
7051,556,676,6
7051,564,681,12
7051,546,704,8
7051,565,711,14
7051,545,690,14
7051,639,732,14
7051,639,740,0
7051,604,742,14
7051,612,742,8
7051,599,718,12
7051,618,699,2
7053,622,745,0
7051,541,697,4
7051,577,697,0
7051,574,711,2
7051,581,735,14
7051,584,728,10
7051,604,713,8
7051,610,695,8
7051,621,714,12
7051,568,696,8
7050,608,563,8
7050,633,584,8
7050,629,615,8
7050,598,626,8
7050,576,606,8
7050,582,613,8
7050,635,609,8
7052,699,721,8
7052,732,717,8
7052,719,718,8
7052,704,713,8
7052,694,713,8
7052,726,725,8
7052,715,653,0
7052,747,602,8
7052,714,602,0
7052,724,609,0
7052,740,634,0
7052,717,632,0
7052,737,608,0
7052,736,654,0
7052,726,667,0
7052,722,674,0
7052,731,674,0
7052,714,696,12
7052,730,701,10
7052,723,707,12
7052,714,680,4
7052,708,702,8
7052,695,701,8
7052,709,688,0
7052,704,680,0
7052,691,688,0
7052,688,683,14
7052,672,698,12
7052,646,702,8
7052,642,694,12
7052,672,692,12
7052,637,701,14
7049,696,529,12
7054,604,594,8
7052,730,605,0
7051,592,733,8
7051,623,734,8
7051,608,721,0
7051,629,716,6
7051,618,690,14
7051,583,710,10
7051,586,698,14
7052,727,651,14
7052,729,631,14
7049,729,611,8
