ae,string,string,string,marea,mpos,int
编号,名字,注释,目录,区域,复活点,Npc重生方式
"ID","Name","Comment","Directory","area","pos","nNpcRebirthType"
1,$L:sn001_juyuangu$,,spve001a/,"100 -256 256 0;
256 -133 412 0;
256 -197 412 -133;
256 -270 380 -197;
412 -130 512 0;","172 -132 6;",0
2,$L:sn001_wuzhongguangchang$,,spve001/,"-196 -257 101 0;","72 -127 7;",1
3,$L:sn001_baozilindi$,,spve001b/,"390 -415 514 -398;
402 -435 514 -415;
405 -512 514 -435;
380 -398 514 -275;
256 -398 380 -270;","400 -278 8;",0
4,$L:sn001_shisunpodi$,,spve001c/,"514 -557 670 -256;","495 -340 7;",1
5,$L:sn001_juyuangujitan$,,spve001d/,"412 -275 514 -130;
380 -275 412 -197;","494 -232 9;",1
6,$L:sn001_shirenhua$,,spve001e/,"335 -455 353 -435;","387 -399 11;",1
7,$L:sn001_yuanhousiling$,,spve001f/,"233 -162 270 -100;
269 -162 291 -100;
233 -181 288 -161;
232 -101 283 -86;
286 -197 412 -76;","",1
8,$L:sn001_dici$,,spve001g/,"335 -435 402 -415;
256 -512 335 -398;
335 -512 405 -455;
353 -455 405 -435;
335 -415 390 -398;","387 -402 11;",0
9,,,spvebag/,"","",1
10,,,spvebag1/,"","",1
11,,,spvebag3,"535 -442 555 -422;
553 -444 578 -431;","",3
12,,,spvebag4,"535 -471 557 -454;
556 -466 578 -454;","",3
