model,speed,ride_pose
ride001,157,ride_s
ride002,157,ride_s
ride003,157,ride_s
ride003_10,157,ride_s
ride004,157,ride_s
ride004_a,205,ride_l
ride004_b,205,ride_l
ride004_c,205,ride_l
ride004_d,205,ride_l
ride004_a1,205,ride_l
ride004_b1,205,ride_l
ride004_c1,205,ride_l
ride004_d1,205,ride_l
ride005_a,150,ride_s
ride005_b,150,ride_s
ride005_c,150,ride_s
ride005_d,150,ride_s
ride005_a1,150,ride_s
ride005_b1,150,ride_s
ride005_c1,150,ride_s
ride005_d1,150,ride_s
ride007,157,ride_s
ride010_a1,180,ride_s
ride010_b1,180,ride_s
ride010_c1,180,ride_s
ride010_d1,180,ride_s
ride010_a2,180,ride_s
ride010_b2,180,ride_s
ride010_c2,180,ride_s
ride010_d2,180,ride_s
ride013_a1,180,ride_stand_walk
ride013_b1,180,ride_stand_walk
ride013_c1,180,ride_stand_walk
ride013_d1,180,ride_stand_walk
ride013_a2,180,ride_stand_walk
ride013_b2,180,ride_stand_walk
ride013_c2,180,ride_stand_walk
ride013_d2,180,ride_stand_walk
ride016a_1,,ride_s
ride016a_2,,ride_s
ride016a_3,,ride_s
ride016a_4,,ride_s
ride016b_1,,ride_s
ride016b_2,,ride_s
ride016b_3,,ride_s
ride016b_4,,ride_s
ride017_a,,ride_s
ride017_b,,ride_s
ride017_c,,ride_s
ride017_d,,ride_s
ride018_a,,ride_s
ride018_b,,ride_s
ride018_c,,ride_s
ride018_d,,ride_s
ride021_1,,ride_stand_walk
ride021_2,,ride_stand_walk
ride021_3,,ride_stand_walk
ride021_4,,ride_stand_walk
ride019a_1,,ride_s
ride019a_2,,ride_s
ride019a_3,,ride_s
ride019a_4,,ride_s
ride019b_1,,ride_s
ride019b_2,,ride_s
ride019b_3,,ride_s
ride019b_4,,ride_s
ride022_1,,ride_stand_walk
ride022_2,,ride_stand_walk
ride022_3,,ride_stand_walk
ride022_4,,ride_stand_walk
ride020_1,,ride_s
ride020_2,,ride_s
ride020_3,,ride_s
ride020_4,,ride_s
ride023a_1,,ride_s
ride023a_2,,ride_s
ride023a_3,,ride_s
ride023a_4,,ride_s
ride023b_1,,ride_s
ride023b_2,,ride_s
ride023b_3,,ride_s
ride023b_4,,ride_s
ride024a_1,,ride_s
ride024a_2,,ride_s
ride024a_3,,ride_s
ride024a_4,,ride_s
ride024b_1,,ride_s
ride024b_2,,ride_s
ride024b_3,,ride_s
ride024b_4,,ride_s
ride025a_1,,ride_s
ride025a_2,,ride_s
ride025a_3,,ride_s
ride025a_4,,ride_s
ride026_a,,ride_s
ride026_b,,ride_s
ride026_c,,ride_s
ride026_d,,ride_s
ride027_a,,ride_s
ride027_b,,ride_s
ride027_c,,ride_s
ride027_d,,ride_s
