ID,Name,Desc,GridSize,Type,MiniMap,File,Monster,Directory,RegionTable,PKTable,AreaTable,TriggerTable
1,main,主场景,300,1,maps/world/sn001.xml,maps/world/sn001.snw,table/npc_assign.csv,table/main/,table/reborn_sn001.csv,table/area_pk_sn001.csv,table/area_sn001.csv,
2,$L:Scenestable_yunlingshanshexue$,蛇穴,300,2,maps/fb001/fb001.xml,maps/fb001/fb001.snw,table/npc_assign_fb001.csv,table/yunlingshanshexue/,table/reborn_fb001.csv,,table/area_fb001.csv,
3,$L:Scenestable_ciyunsihuanxidian$,慈云寺,300,2,maps/fb002/fb002.xml,maps/fb002/fb002.snw,table/npc_assign_fb002.csv,table/ciyunsihuanxidian/,table/reborn_fb002.csv,,table/area_fb002.csv,
4,$L:Scenestable_qingluoshanmogong$,青螺山,300,2,maps/fb003/fb003.xml,maps/fb003/fb003.snw,table/npc_assign_fb003.csv,table/qingluoshanmogong/,table/reborn_fb003.csv,,table/area_fb003.csv,
5,$L:Scenestable_huzhuashantengxvdong$,虎爪山,300,2,maps/fb004/fb004.xml,maps/fb004/fb004.snw,table/npc_assign_fb004.csv,table/huzhuashantengxvdong/,table/reborn_fb004.csv,,table/area_fb004.csv,
6,$L:Scenestable_ningbiyamidong$,凝碧崖密洞,300,2,maps/fb005/fb005.xml,maps/sxfb001/sxfb001.snw,table/npc_assign_sxfb001.csv,table/ningbiyamidong/,table/reborn_sxfb001.csv,,table/area_sxfb001.csv,
7,$L:sn001_baihuachaoyin$,百花朝音,300,2,maps/sfb006/sfb006.xml,maps/sxfb002/sxfb002.snw,table/npc_assign_sxfb002.csv,table/baihuachaoyin/,table/reborn_sxfb002.csv,,table/area_sxfb002.csv,
8,$L:Scenestable_yaorendongfufb$,妖人洞府,300,2,maps/sfb007/sfb007.xml,maps/fb005/fb005.snw,table/npc_assign_fb005.csv,table/yaorendongfu/,table/reborn_fb005.csv,,table/area_fb005.csv,
9,$L:Scenestable_guildarea$,帮会领地,300,3,maps/sxfb001/sxfb001.xml,maps/sbp002/sbp002.snw,table/npc_assign_sbp002.csv,table/sbp002/,table/reborn_sbp002.csv,table/area_pk_sbp002.csv,table/area_sbp002.csv,
10,$L:Scenestable_guihuashanfuben$,桂花山,300,2,maps/world/sn002.xml,maps/sfb007/sfb007.snw,table/npc_assign_sfb007.csv,table/guihuashanfuben/,table/reborn_sfb007.csv,,table/area_sfb007.csv,
11,$L:Scenestable_sdtfb001$,大悲寺,300,4,maps/sd001/sd001.xml,maps/sd001/sd001.snw,table/npc_assign_sd001.csv,table/sd001/,table/reborn_sd001.csv,,table/area_sd001.csv,
12,$L:Scenestable_sd002$,灵玉崖,300,4,maps/sd002/sd002.xml,maps/sd002/sd002.snw,table/npc_assign_sd002.csv,table/sd002/,table/reborn_sd002.csv,,table/area_sd002.csv,
13,$L:Scenestable_qixingtai$,鱼神洞七星台,300,2,maps/sfb006/sfb006.xml,maps/sfb006/sfb006.snw,table/npc_assign_sfb006.csv,table/qixingtai/,table/reborn_sfb006.csv,,table/area_sfb006.csv,
14,$L:Scenestable_3c$,3C竞技场,300,4,maps/s3c01/s3c01.xml,maps/s3c01/s3c01.snw,table/npc_assign_sd001.csv,table/s3c01/,table/reborn_s3c01.csv,,table/area_s3c01.csv,
15,$L:Scenestable_wenzhudong$,文蛛洞,300,2,maps/sfb08/sfb08.xml,maps/sfb08/sfb08.snw,table/npc_assign_sfb08.csv,table/wenzhudong/,table/reborn_sfb08.csv,,table/area_sfb08.csv,
16,$L:ectype_61to65simenshan$,四门山,300,2,maps/sfb09/sfb09.xml,maps/sfb09/sfb09.snw,table/npc_assign_sfb09.csv,table/61-65simenshan/,table/reborn_sfb09.csv,,table/area_sfb09.csv,
17,world2,东部大陆,300,1,maps/world2/world2.xml,maps/world2/world2.snw,table/npc_assign_world2.csv,table/world2/,table/reborn_world2.csv,table/area_pk_world2.csv,table/area_world2.csv,
18,$L:Scenestable_yinfengdong$,阴风洞,300,2,maps/sfb010/sfb010.xml,maps/sfb010/sfb010.snw,table/npc_assign_sfb010.csv,table/yinfengdong/,table/reborn_sfb010.csv,,table/area_sfb010.csv,
19,$L:Scenestable_wanzhujian$,万竹涧,300,2,maps/sfb011/sfb011.xml,maps/sfb011/sfb011.snw,table/npc_assign_sfb011.csv,table/wanzhujian/,table/reborn_sfb011.csv,,table/area_sfb011.csv,
20,$L:Scenestable_qiyundong$,栖云洞,300,2,maps/sfb012/sfb012.xml,maps/sfb012/sfb012.snw,table/npc_assign_sfb012.csv,table/qiyundong/,table/reborn_sfb012.csv,,table/area_sfb012.csv,
21,spve,南疆大陆,600,1,maps/spve001/spve001.xml,maps/spve001/spve001.snw,table/npc_assign_spve001.csv,table/spve001/,table/reborn_spve001.csv,table/area_pk_spve001.csv,table/area_spve001.csv,
22,$L:Scenestable_youanmilin$,幽暗密林,300,2,maps/sfb013/sfb013.xml,maps/sfb013/sfb013.snw,table/npc_assign_sfb013.csv,table/youanmilin/,table/reborn_sfb013.csv,,table/area_sfb013.csv,
23,$L:Scenestable_xuanshizhijie$,玄石之界,300,2,maps/sfb014/sfb014.xml,maps/sfb014/sfb014.snw,table/npc_assign_sfb014.csv,table/xuanshizhijie/,table/reborn_sfb014.csv,,table/area_sfb014.csv,
24,world3,$L:map_continent3$,300,1,maps/world2/world2.xml,maps/world2/world2.snw,table/npc_assign_world3.csv,table/world3/,table/reborn_world3.csv,table/area_pk_world3.csv,table/area_world3.csv,
25,$L:Scenestable_wanzhujian2$,万竹涧,300,2,maps/sfb015/sfb015.xml,maps/sfb015/sfb015.snw,table/npc_assign_sfb015.csv,table/wanzhujian2/,table/reborn_sfb015.csv,,table/area_sfb015.csv,
