,,基础属性,,,,,,,,,,,,,,,,,,释放过程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,客户端表现,,,,,技能开始,,,,,,,,,,技能飞行,,,场景特效,法宝技能,,,,,,,,,,,,,,,,,命中,,,,,
WORD,char[20],WORD,bool,bool,int,int,int,int,bool,bool,bool,list<DWORD>,bool,expression,expression,expression,,,int,DWORD,string,int,,BYTE,WORD,int,int,char[20],char[20],char[20],char[20],int,int,action,action,action,action,int,int,int,int,int,Expr,,Expr,Expr,Expr,int,,action,action,action,action,,,,,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名字,技能门派,是否被动技能,是否竞技超级技能,技能类型,最大等级,技能激活等级,消耗MP,是否连击技能,是否天赋技能,是否停止攻击目标,天赋增强的技能,天赋不覆盖原技能,添加条件,添加临时执行,释放条件,竞技场专用,释放类型,有益性,目标类型,目标限制,特殊作用,特殊处理,最大目标个数,最大目标距离,地面目标半径,前置时间,引导开始前自身临时执行,引导开始前目标临时执行,引导开始前自身执行,引导开始前目标执行,引导时间,引导次数,引导时自身临时执行,引导时目标临时执行,引导时自身执行,引导时目标执行,冷却时间,公共冷却时间,分组冷却Id,禁止行动时间,动作时间,miss概率,被攻击后不被打断的概率,爆击几率,爆击额外伤害,击中后的表达式Miss几率,附加显示特殊系数,伤害属性类型,释放时自身临时执行,释放时目标临时执行,释放时自身执行,释放时目标执行,非有益技能是否计算伤害,实际伤害时间,最小最大伤害,不受攻击状态限制,图标,技能前置开始动作,技能前置开始特效,技能前置开始特效link,技能前置开始法宝路径,技能前置动作,技能前置特效,技能前置特效link,技能前置法宝特效,技能前置法宝特效link,技能前置法宝路径,技能起始动作,技能起始特效,技能起始特效link,技能起始路径,飞行特效,子弹类型,子弹参数,场景特效,飞行中法宝路径,飞行中法宝特效,飞行法宝特效Link,法路径是否放缩,引导开始是否放缩,引导特效长度,引导中路径,引导中动作,引导中特效,引导中特效link,引导中是否放缩,结束动作,结束特效,结束特效link,结束法宝路径,法宝结束路径是否放缩,参数2,受击特效,受击特效缩放,受击特效link,是否缓存,,释放时是否收起武器
ID,,SkillParty,IsPassive,IsSuperSkill,SkillType,SkillMaxLevel,ActiveLevel,UseMp,IsSequenceHit,IsTalent,IsStopAttack,Talents,m_bInherenceNotOverlay,AddCondition,AddTmpAction,ReleaseCondition,bDungeonOnly,ReleaseType,Benefit,TargetType,TargetCondition,Special,NeedIdentity,TargetCount,TargetRange,TargetRadius,PreTime,BeforeLoadingTmpSelf,BeforeLoadingTmpTarget,BeforeLoadingSelf,BeforeLoadingTarget,LoadingTime,LoadingCount,LoadingTmpSelf,LoadingTmpTarget,LoadingSelf,LoadingTarget,CDTime,PublicCDTime,TypeCDId,ForbiddenTime,PoseTime,ExecuteMissRate,pBreakMissExpr,CriticalRate,CriticalDmg,ExpressionMissRate,AddtionShowParam,DmgType,LaunchTmpSelf,LaunchTmpTarget,LaunchSelf,LaunchTarget,NoDamage,RealDmgTime,DamageMinMax,bNotCheckAttState,Icon,graph_PreStartPose,graph_PreStartEff,graph_PreStartEffLink,graph_PreStartWMPath,graph_PrePose,graph_PreEff,graph_PreEffLink,graph_PreMWEff,graph_PreMWEffLink,graph_PreMWPath,graph_StartPose,graph_StartEff,graph_StartEffLink,graph_StartPath,graph_FlyEff,graph_MissileType,graph_MissileParam,graph_SceneEff,graph_FlyMWPath,graph_FlyMWEff,graph_FlyMWEffLink,graph_bFlyMWScale,graph_bLoadingStartScale,graph_LoadingEffTick,graph_LoadingPath,graph_LoadingPose,graph_LoadingEff,graph_LoadingEffLink,graph_bLoadingScale,graph_EndPose,graph_EndEff,graph_EndEffLink,graph_LoadingEndPath,graph_bLoadingEndScale,graph_Param2,graph_HitEff,graph_HitEffScale,graph_HitEffLink,bcache,bPrePoseDrawInWeapon,bLaunchHideWeapon
1,徒手攻击,5,,,1,,,,,,,,,,,,,1,0,1,,,,,40,,0,,,,,,,,,,,1000,1000,,1000,2000,,,,,,,,,,,,,0,DmgMin(ActorDPS*0.2);DmgMax(ActorDPS*0.25),,ic_action_attack,,,,,,,,,,,attack,,,,,,,,,,,,,,,,,,,,,,,,0,eff_hit_normal,,,1,,
2,采集,5,,,1,,,,,,,,,,,,,2,1,4,,,,,40,,3000,,,,,,,,,,,1000,1000,,1000,2000,,,,,,,,,,,,,,,,cpsw01,,,,,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,eff_hit_normal,,,0,1,
3,开门,5,,,1,,,,,,,,,,,,,2,1,5,,,,,40,,3000,,,,,,,,,,,1000,1000,,1000,2000,,,,,,,,,,,,,,,,cpsw01,,,,,,,,,,,attack,,,,,,,,,,,,,,,,,,,,,,,,0,eff_hit_normal,,,0,,
4,捕捉宠物,4,,,1,,,,,,,,,,,,,2,0,1,CanTame=1,,,,100,,8000,,,,,,,,,,,3000,1000,,1000,2000,,,,,,,,,,,,,,,,cpsw01,,,,,practice,,,,,,attack,,,,,,,,,,,,,,,,,,,,,,,,0,eff_hit_normal,,,0,,
11,采集药材,5,,,3,7,,,,,,,,,,,,2,1,6,CanPickHerb=1,,,,40,,3000,,,,,,,,,,,1000,1000,,1000,2000,,,,,,,,,,,,,,,,ic_skill_herb,use_begin,,,,use_loop,,,,,,,,,,,,,,,,,,,,,,,,,use_end,,,,,-1,,,,1,1,
12,采集晶石,5,,,3,7,,,,,,,,,,,,2,1,7,CanPickStone=1,,,,40,,3000,,,,,,,,,,,1000,1000,,1000,2000,,,,,,,,,,,,,,,,ic_skill_mine,use_begin,,,,use_loop,,,,,,,,,,,,,,,,,,,,,,,,,use_end,,,,,-1,,,,1,1,
