typeid,posx,posy,dir
5375,236,-118,12
5375,236,-122,12
5375,236,-125,12
5375,236,-129,12
5375,236,-132,12
5375,236,-135,12
5375,236,-138,12
5375,236,-141,12
5375,236,-144,12
5375,241,-118,12
5375,241,-122,12
5375,241,-125,12
5375,241,-129,12
5375,241,-132,12
5375,241,-135,12
5375,241,-138,12
5375,241,-141,12
5375,241,-144,12
5374,247,-131,12
5375,251,-119,12
5375,251,-122,12
5375,251,-125,12
5375,251,-129,12
5375,251,-132,12
5375,251,-135,12
5375,251,-138,12
5375,251,-141,12
5375,251,-144,12
5375,257,-144,12
5375,257,-141,12
5375,257,-138,12
5375,257,-135,12
5375,257,-132,12
5375,257,-128,12
5375,257,-125,12
5375,257,-122,12
5375,257,-118,12
