,天化村,育成村,祭坛,蛇山山下,丹房入口,丹房出口,成都城,血神府左,血神猎场,血神府右,血神府外城,血神府内城,天化村广场,育成村广场,桂花山古桂坪,青螺山魔宫副本入口1,寒冰区,青螺山魔宫副本入口2,污毒区,青螺山魔宫副本入口3,烈焱区,青螺山魔宫副本入口4,魔宫内厅,青螺山,雪山村,马熊村,神秘墓穴入口,神秘墓穴出口,鬼哄森林,长沙镇,清水坝市集,成都城,初级竞技场入口,高级竞技场入口,初级竞技场管理员,高级竞技场管理员,白鹦鹉,机关狗,桂花山红花洞口,七星台入口,七星台2层进口,七星台3层进口,七星台4层进口,七星台5层进口,七星台出口,七星台2层出口,七星台3层出口,七星台4层出口,七星台5层出口,副本出口,文蛛区入口,文蛛区出口,,,,,,,,,,,,,,,,
天化村,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
育成村,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
祭坛,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛇山山下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丹房入口,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丹房出口,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都城,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血神府左,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血神猎场,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血神府右,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血神府外城,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血神府内城,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
