索引,"贴图名称
string ","区域 
左上x,左上y,
右下x,右下y",半透明,"偏移
左上x,左上y,
右下x,右下y",备注
STRID,Texture,Rect,Visible,Offset,Mem
act_select1,tz_012,"245,66,433,105",0.5,,拍卖选中时的高亮显示
act_select2,tz_010,"142,381,181,420",1,,拍卖浏览时的道具框
item_hl,tz_010,"186,376,233,423",1,,仓库道具框高亮
item_push,tz_010,"186,376,233,423",1,,仓库道具框被按下
chat_flash,tz_010,"40,454,60,473",1,,聊天的发亮按钮，提示有新的信息
item_make,tz_010,"142,381,181,420",1,,"道具框,可能是物品制造"
pet_select,tz_012,"276,10,334,30",1,,选中宠物时
skill_frame,tz_010,"142,381,181,420",1,,技能边框
skill_unactive,tz_012,"11,353,13,355",0.4,,技能非激活时
task_select1,tz_010,"186,376,233,423",1,,任务选中奖励高亮
task_select2,tz_010,"158,186,271,217",1,,任务选中奖励高亮
task_reward,tz_011,"34,178,148,209",1,,任务奖励框
title_gold,tz_013,"258,175,510,261",1,,精英怪
title_silver,tz_013,"0,178,250,263",1,,银英怪
npc_multi_hp1,tz_012,"380,443,495,450",1,,怪物多层血条
npc_multi_hp2,tz_012,"380,456,495,463",1,,怪物多层血条
npc_multi_hp3,tz_012,"380,430,495,437",1,,怪物多层血条
npc_multi_hp4,tz_012,"380,417,495,424",1,,怪物多层血条
npc_multi_hp5,tz_012,"381,406,495,411",1,,怪物多层血条
qc_black1,tz_010,"417,284,424,291",1,,青成小能量点(黑）
qc_black2,tz_010,"416,304,427,315",1,,青成大能量点(黑）
qc_white1,tz_010,"417,238,424,245",1,,青成小能量点(亮）
qc_white2,tz_010,"416,258,427,269",1,,青成大能量点(亮）
net_fast,tz_012,"261,201,275,237",1,,网络良好
net_normal,tz_012,"261,201,275,237",1,,网络普通
net_slow,tz_012,"231,201,245,237",1,,网络差
hud_blood_enemy,tz_010,"104,452,332,462",1,,hud敌对关系血条
hud_blood_friend,tz_010,"104,426,332,436",1,,hud友善关系血条
hud_blood_neutral,tz_010,"105,466,333,476",1,,hud中立关系血条
hud_zhaopai,ui_zhaopai,"36,14,219,46",1,,hud招牌
ic_it068,ic_it068,,1,"2,2,-2,-2",银行
zixuanguo,zixuanguo,,1,,闭关使用的紫玄果
dis_zixuanguo,dis_zixuanguo,,1,,
yuanlingjinghun,yuanlingjinghun,,1,,闭关使用的元灵精魄
dis_yuanlingjinghun,dis_yuanlingjinghun,,1,,
ic_gold,ic_gold,,1,,货币金子的图标
ic_ag,ic_ag,,1,,货币银子的图标
ic_cu,ic_cu,,1,,货币铜版的图标
ic_action_sit,ic_action_sit,,1,,坐下
ic_action_pracitice,ic_action_pracitice,,1,,修炼
ic_action_attack,ic_action_attack,,1,,攻击
ic_action_fuse,ic_action_fuse,,1,,溶合
frm_PinBg,frm_PinBg,"0,0,215,219",1,,PIN码背景
frm_Pin,frm_Pin,"0,0,215,219",1,,PIN码
team_member_offline,team_member_offline,,1,,
