typeid,posx,posy,dir
5321,661,212,4
5321,700,216,8
5321,668,196,8
5321,676,212,14
5321,710,205,12
5321,682,181,6
5321,689,198,6
5322,718,135,8
5322,733,142,0
5322,743,135,12
5322,731,99,8
5322,729,120,8
5322,714,98,10
5322,744,111,12
5322,685,99,12
5322,717,81,12
5324,553,214,8
5324,582,213,8
5324,597,200,8
5324,600,181,12
5324,580,192,6
5324,562,190,14
5324,544,198,8
5324,546,175,6
5324,564,169,10
5324,599,163,8
5322,686,86,12
5321,702,180,12
5321,675,161,0
5321,693,159,6
5323,635,143,4
5323,629,130,4
5323,580,119,14
5323,562,104,0
5323,542,130,4
5323,547,152,0
5323,581,97,8
5323,545,110,4
5323,563,85,2
5325,562,64,0
5323,561,125,0
5324,582,172,8
5324,565,147,8
5323,607,147,4
5323,585,147,2
5321,680,140,6
5321,662,127,6
5322,662,106,8
5322,658,85,8
5333,680,27,14
5340,546,95,0
5339,668,145,8
5342,715,218,4
5341,567,221,8
5343,569,61,14
5344,665,145,6
5347,710,219,8
5345,542,98,2
5346,570,223,8
