typeid,posx,posy,dir
7027,661,212,4
7027,700,216,8
7027,668,196,8
7027,676,212,14
7027,710,205,12
7027,682,181,6
7027,689,198,6
7028,718,135,8
7031,733,142,0
7028,743,135,12
7028,731,99,8
7028,729,120,8
7028,714,98,10
7028,744,111,12
7028,685,99,12
7028,717,81,12
7030,553,214,8
7030,582,213,8
7030,597,200,8
7032,689,205,0
7030,600,181,12
7030,580,192,6
7030,562,190,14
7030,544,198,8
7030,546,175,6
7030,564,169,10
7030,599,163,8
7028,686,86,12
7027,702,180,12
7027,675,161,0
7027,693,159,6
7029,635,143,4
7029,629,130,4
7029,580,119,14
7029,562,104,0
7029,542,130,4
7029,547,152,0
7029,581,97,8
7029,545,110,4
7029,563,85,2
7033,562,64,0
7029,561,125,0
7030,582,172,8
7030,565,147,8
7029,607,147,4
7029,585,147,2
7027,680,140,6
7027,662,127,6
7028,662,106,8
7028,658,85,8
7026,680,27,14



