typeid,posx,posy,dir
4845,1468,-1474,4
4845,1472,-1499,2
4845,1469,-1448,2
4845,1452,-1503,4
4845,1461,-1504,2
4845,1456,-1511,4
4845,1424,-1488,4
4845,1460,-1486,2
4845,1459,-1472,2
4845,1467,-1483,2
4845,1420,-1480,4
4845,1426,-1474,4
4845,1453,-1454,2
4845,1452,-1445,4
4845,1460,-1449,4
4836,1467,-1353,12
4846,1455,-1311,8
4846,1465,-1311,8
4846,1460,-1316,8
4846,1309,-1423,6
4846,1318,-1424,8
4846,1309,-1415,8
4846,1318,-1415,8
4846,1370,-1477,2
4846,1367,-1485,2
4846,1364,-1469,2
4846,1354,-1452,2
4846,1346,-1459,2
4846,1343,-1446,2
4846,1344,-1509,8
4846,1345,-1493,8
4846,1339,-1501,8
4846,1383,-1356,10
4846,1389,-1360,10
4846,1389,-1352,10
4846,1475,-1374,12
4846,1479,-1366,14
4846,1482,-1374,10
4846,1436,-1333,8
4846,1439,-1341,8
4846,1443,-1334,4
4845,1480,-1334,10
4845,1482,-1343,10
4845,1487,-1336,10
4845,1448,-1369,2
4845,1441,-1365,2
4845,1443,-1373,0
4841,1275,-1172,4
4841,1276,-1181,4
4841,1282,-1177,4
4843,1198,-1139,8
4843,1212,-1148,12
4843,1206,-1142,10
4841,1240,-1181,4
4841,1244,-1189,4
4841,1237,-1186,4
4841,1184,-1207,4
4841,1207,-1216,0
4841,1200,-1197,6
4841,1159,-1171,8
4841,1153,-1178,6
4841,1166,-1175,6
4843,1208,-1090,8
4843,1200,-1108,2
4843,1208,-1112,2
4843,1149,-1089,8
4843,1150,-1103,2
4843,1153,-1096,4
4843,1098,-1164,4
4843,1105,-1168,4
4843,1103,-1157,2
4837,970,-1176,4
4843,1358,-1154,8
4843,1364,-1162,6
4843,1350,-1160,10
4843,1396,-1132,10
4843,1391,-1137,8
4843,1398,-1141,10
4841,1385,-1187,8
4841,1379,-1196,8
4841,1395,-1194,8
4842,1540,-1161,10
4842,1545,-1158,8
4842,1544,-1167,8
4842,1597,-1119,12
4842,1599,-1114,8
4842,1606,-1118,8
4842,1604,-1154,4
4842,1609,-1161,8
4842,1603,-1160,12
4842,1642,-1105,10
4842,1636,-1109,8
4842,1643,-1112,8
4842,1617,-1218,8
4842,1619,-1209,12
4842,1621,-1201,14
4844,1652,-1165,12
4844,1644,-1164,10
4844,1646,-1171,14
4844,1662,-1206,14
4844,1655,-1209,14
4844,1662,-1212,14
4844,1712,-1111,10
4844,1706,-1114,14
4844,1704,-1107,12
4838,1733,-1192,14
4844,1488,-1161,12
4844,1485,-1168,14
4844,1492,-1166,12
4844,1450,-1143,12
4844,1447,-1149,10
4844,1459,-1141,6
4844,1454,-1193,8
4844,1448,-1188,8
4844,1462,-1192,8
4840,389,-132,8
4847,1512,-1480,12
4846,1316,-1472,6
4846,1323,-1471,4
4846,1318,-1479,8
4845,1347,-1390,6
4845,1320,-1379,6
4845,1361,-1384,6
4846,1456,-1324,8
4843,1015,-1166,4
4843,1011,-1162,6
4843,1012,-1171,2
4844,1693,-1180,12
4844,1686,-1182,12
4844,1692,-1187,8
4842,1439,-1226,6
4842,1436,-1222,8
4852,1463,-1506,14
4853,1426,-1464,8
4854,1386,-1502,0
4855,1314,-1455,8
4856,1376,-1373,12
4857,1144,-1098,4
4858,1407,-1130,8
4845,1470,-1508,2
4845,1454,-1479,2
4845,1464,-1456,4
4845,1431,-1490,4
4845,1363,-1477,4
4845,1345,-1468,6
4845,1334,-1387,6
4846,1314,-1420,8
4846,1322,-1485,8
4846,1336,-1492,0
4846,1382,-1362,8
4846,1466,-1323,8
4842,1444,-1225,6
4843,1402,-1127,8
4843,1357,-1162,8
4841,1386,-1196,8
4842,1448,-1221,8
4844,1457,-1187,8
4844,1479,-1164,12
4844,1714,-1202,14
4844,1720,-1203,14
4842,1720,-1175,14
4842,1727,-1172,14
4841,1191,-1202,8
4841,1191,-1212,14
4841,1175,-1174,12
4843,1217,-1092,8
4843,1223,-1098,10
4843,1076,-1178,14
4843,1084,-1178,14
4843,1075,-1154,10
4843,1084,-1155,8
4841,1040,-1166,4
4841,1044,-1164,4
4841,961,-1159,6
4841,968,-1157,4
4841,998,-1150,6
4841,992,-1156,8
4843,984,-1191,2
4843,993,-1190,0
4843,955,-1183,0
4843,952,-1176,2
