typeid,posx,posy,dir
5331,1486,1478,8
5331,1549,1527,8
5331,1586,1468,8
5331,1426,1514,8
5331,1396,1625,8
5331,1331,1699,8
5331,1389,1745,8
5331,1339,1769,8
5331,1284,1707,8
5331,1416,1668,8
5331,1506,1636,8
5331,1557,1652,8
5331,1555,1607,8
5331,1455,1626,8
5331,1504,1707,8
5331,1535,1735,8
5331,1569,1674,8
5331,1625,1712,8
5331,1686,1722,8
5331,1744,1664,8
5331,1688,1636,8
5331,1647,1660,8
5331,1726,1713,8
5331,1663,1594,8
5331,1742,1579,8
5331,1787,1584,8
5331,1834,1611,8
5331,1831,1562,8
5331,1727,1512,8
5331,1773,1504,8
5331,1877,1558,8
5331,1927,1585,8
5331,1958,1621,8
5331,1979,1632,8
5331,2009,1687,8
5331,1930,1695,8
5331,1898,1690,8
5331,1837,1722,8
5331,1872,1655,8
5331,1899,1740,8
5331,1976,1744,8
5331,2003,1581,8
5331,1907,1433,8
5331,1968,1406,8
5331,1962,1483,8
5331,1911,1490,8
5331,1948,1447,8
5331,1846,1420,8
5331,1851,1353,8
5331,1909,1331,8
5331,1761,1343,8
5331,1720,1380,8
5331,1701,1340,8
5331,1651,1404,8
5331,1683,1438,8
5331,1330,1518,8
5331,1331,1577,8
5331,1351,1634,8
5331,1367,1700,8
5331,1246,1747,8
5331,1218,1787,8
5331,1224,1829,8
5331,1238,1885,8
5331,1217,1915,8
5331,1190,1953,8
5331,1128,1919,8
5331,1156,1897,8
5331,1135,1996,8
5331,1059,1959,8
5331,1072,1935,8
5331,1058,1868,8
5331,1112,1800,8
5331,1125,1860,8
5331,1142,1787,8
5331,1074,1781,8
5331,1126,1735,8
5331,1079,1695,8
5331,1114,1660,8
5331,1055,1669,8
5331,1089,1646,8
5331,1167,1647,8
5331,1189,1726,8
5331,1192,1774,8
5331,1314,1975,8
5331,1348,2007,8
5331,1376,1920,8
5331,1441,1901,8
5331,1424,1977,8
5331,1444,1956,8
5331,1471,1909,8
5331,1485,1856,8
5331,1411,1830,8
5331,1435,1816,8
5331,1502,1960,8
5331,1476,1973,8
5331,1458,2016,8
5331,1496,1937,8
5331,1401,1952,8
5331,1327,1893,8
5331,1303,1880,8
5331,1276,1866,8
5331,1356,1860,8
5331,1327,1934,8
5331,1361,1157,8
5331,1392,1094,8
5331,1330,1119,8
5331,1341,1072,8
5331,1401,1072,8
5331,1449,1084,8
5331,1426,1195,8
5331,1321,1234,8
5331,1411,1229,8
5331,1451,1019,8
5331,1378,905,8
5331,1389,852,8
5331,1356,873,8
5331,1468,863,8
5331,1477,815,8
5331,1457,772,8
5331,1399,770,8
5331,1391,822,8
5331,1353,777,8
5331,1320,790,8
5331,1345,823,8
5331,1519,804,8
5331,1456,908,8
5331,1508,925,8
5331,1406,938,8
5331,1373,675,8
5331,1378,622,8
5331,1374,584,8
5331,1417,574,8
5331,1443,606,8
5331,1507,627,8
5331,1469,669,8
5331,1348,694,8
5331,1576,570,8
5331,1643,533,8
5331,1676,582,8
5331,1723,545,8
5331,1707,671,8
5331,1751,700,8
5331,1717,750,8
5331,1619,668,8
5331,1594,700,8
5331,1559,685,8
5331,1555,746,8
5331,1656,774,8
5331,1655,798,8
5331,1718,805,8
5331,1602,801,8
5331,1654,715,8
5331,1656,672,8
5331,1833,644,8
5331,1919,666,8
5331,1857,588,8
5331,1941,596,8
5331,1999,660,8
5331,2009,699,8
5331,1952,711,8
5331,1832,708,8
5331,1836,561,8
5331,1898,528,8
5331,1999,549,8
5331,1823,814,8
5331,1897,820,8
5331,1996,881,8
5331,1958,906,8
5331,1867,916,8
5331,1813,903,8
5331,1780,884,8
5331,1852,859,8
5331,1836,940,8
5331,1935,1007,8
5331,1987,1032,8
5331,1912,1051,8
5331,1982,1101,8
5331,1866,1140,8
5331,1867,1186,8
5331,1796,1156,8
5331,1762,1251,8
5331,1895,1144,8
5331,1959,1185,8
5331,1815,1096,8
5331,1764,1067,8
5331,1809,1049,8
5331,1695,1136,8
5331,1651,1141,8
5331,1652,1181,8
5331,1686,1190,8
5331,1576,1132,8
5331,1591,1084,8
5331,1651,1077,8
5331,1700,1080,8
5331,1705,1239,8
5331,1592,1250,8
