typeid,posx,posy,dir
7038,1316,1243,8
7038,1345,1250,12
7038,1313,1234,6
7038,1321,1237,0
7038,1348,1224,0
7038,1341,1216,10
7038,1346,1207,6
7038,1338,1243,8
7038,1363,1250,8
7038,1367,1243,2
7038,1365,1227,10
7038,1383,1250,6
7038,1380,1241,2
7038,1317,1211,12
7038,1323,1204,8
7038,1324,1214,0
7038,1329,1191,0
7038,1333,1182,8
7038,1339,1189,0
7038,1362,1207,10
7038,1371,1216,6
7038,1380,1221,14
7038,1408,1220,8
7038,1404,1233,6
7038,1393,1201,2
7038,1417,1222,12
7038,1411,1186,12
7038,1410,1195,6
7038,1401,1193,2
7038,1443,1192,2
7038,1449,1185,10
7038,1435,1184,2
7038,1448,1179,10
7038,1396,1244,2
7038,1426,1238,10
7038,1432,1226,2
7038,1440,1229,10
7038,1419,1208,6
7038,1428,1210,14
7038,1408,1252,4
7038,1414,1242,8
7038,1401,1201,2
7038,1470,1206,10
7038,1470,1196,12
7038,1479,1191,8
7038,1487,1192,4
7038,1482,1175,14
7038,1475,1171,6
7038,1467,1172,14
7038,1475,1177,4
7038,1449,1208,14
7038,1455,1201,6
7038,1441,1202,14
7038,1348,1243,6
7038,1318,1145,4
7038,1679,1191,0
7035,1556,1206,10
7035,1564,1202,10
7035,1563,1213,6
7035,1562,1234,0
7035,1569,1234,8
7035,1567,1243,2
7035,1559,1245,10
7035,1581,1225,2
7035,1588,1225,14
7035,1585,1215,8
7035,1579,1260,8
7035,1581,1249,2
7035,1589,1254,8
7035,1607,1261,4
7035,1616,1255,14
7035,1609,1249,8
7035,1602,1252,2
7035,1608,1217,2
7035,1601,1220,12
7035,1604,1211,6
7035,1635,1240,6
7035,1640,1232,14
7035,1632,1230,8
7035,1644,1240,0
7035,1639,1263,0
7035,1643,1255,8
7035,1652,1262,0
7035,1669,1258,0
7035,1659,1248,12
7035,1667,1248,6
7035,1557,1167,6
7035,1560,1159,14
7035,1576,1167,6
7035,1573,1157,6
7035,1598,1170,2
7035,1607,1171,10
7035,1609,1160,2
7035,1595,1157,10
7035,1555,1112,6
7035,1552,1103,4
7035,1559,1104,0
7035,1571,1116,12
7035,1575,1110,8
7035,1580,1116,0
7035,1554,1089,10
7035,1556,1083,4
7035,1561,1086,10
7035,1582,1098,4
7035,1576,1086,14
7035,1579,1092,4
7035,1561,1066,4
7035,1568,1060,10
7035,1570,1067,2
7035,1590,1069,2
7035,1588,1060,12
7035,1596,1063,4
7035,1597,1108,4
7035,1605,1101,14
7035,1606,1108,6
7035,1595,1098,0
7035,1730,1097,0
7035,1611,1072,10
7035,1597,1079,4
7036,1633,1190,8
7036,1643,1198,6
7036,1631,1202,14
7036,1666,1201,8
7036,1660,1191,2
7036,1667,1192,10
7036,1631,1168,10
7036,1631,1157,2
7036,1641,1164,12
7036,1660,1175,12
7036,1660,1166,4
7036,1653,1177,14
7036,1690,1193,14
7036,1699,1195,10
7036,1708,1191,4
7036,1699,1186,14
7036,1691,1157,14
7036,1701,1158,8
7036,1696,1166,2
7036,1640,1156,10
7036,1631,1127,10
7036,1632,1121,6
7036,1640,1123,0
7036,1646,1112,10
7036,1660,1119,2
7036,1669,1125,6
7036,1678,1128,6
7036,1675,1116,12
7036,1719,1170,4
7036,1723,1160,10
7036,1715,1161,2
7038,1461,1115,0
7038,1454,1116,10
7038,1456,1108,6
7038,1416,1118,6
7038,1417,1108,0
7038,1421,1111,10
7038,1456,1065,10
7038,1456,1077,2
7038,1465,1066,10
7038,1467,1087,10
7038,1471,1093,4
7038,1477,1085,14
7038,1484,1102,14
7038,1491,1094,6
7038,1485,1094,12
7038,1493,1079,12
7038,1502,1075,4
7038,1495,1067,14
7038,1483,1063,10
7038,1477,1048,4
7038,1481,1043,12
7038,1473,1039,4
7038,1459,1018,4
7038,1450,1013,10
7038,1450,1020,4
7038,1459,1025,14
7038,1421,1015,8
7038,1420,1023,0
7038,1431,1021,10
7038,1431,1012,4
7038,1456,1049,4
7038,1444,1046,12
7038,1449,1038,6
7038,1413,1058,6
7038,1407,1040,0
7038,1422,1043,10
7038,1422,1078,10
7038,1435,1083,6
7038,1434,1067,14
7038,1385,1022,0
7038,1395,1016,12
7038,1396,1025,4
7037,1332,1028,2
7037,1320,1045,14
7037,1322,1061,10
7037,1330,1048,6
7037,1340,1018,6
7037,1329,1020,0
7037,1324,1024,10
7037,1342,1076,10
7037,1347,1090,2
7037,1347,1083,10
7037,1341,1123,10
7037,1352,1119,4
7037,1356,1128,12
7037,1387,1126,12
7037,1390,1115,6
7037,1388,1106,0
7037,1397,1086,0
7037,1384,1090,10
7037,1402,1075,4
7037,1372,1079,10
7037,1363,1166,10
7037,1370,1158,4
7037,1371,1171,14
7037,1393,1164,8
7037,1406,1157,6
7037,1388,1155,12
7037,1404,1146,6
7037,1393,1149,12
7037,1329,1059,2
7037,1374,1060,8
7037,1391,1060,6
7037,1379,1051,14
7037,1358,1151,2
7037,1347,1149,10
7037,1353,1140,2
5112,1438,1177,8
5112,1436,1182,8
5112,1416,1217,8
5112,1425,1217,8
5112,1440,1232,8
5112,1431,1235,8
5112,1390,1249,8
5112,1382,1246,8
5112,1370,1230,8
5112,1359,1213,8
5112,1351,1212,8
5112,1399,1251,8
5112,1481,1197,8
5112,1475,1200,8
5112,1379,1224,8
7035,1894,1068,6
7035,1930,1174,8
7035,1980,1252,8
7035,1916,1163,2
7035,1985,1246,12
7035,2000,1223,10
7035,1998,1229,14
7035,1984,1210,8
7035,1990,1206,0
7035,1984,1203,14
7035,1979,1190,12
7035,1975,1184,2
7035,1957,1203,10
7035,1927,1182,6
7035,1953,1211,14
7035,1964,1201,8
7035,1961,1247,6
7035,1951,1242,8
7035,1959,1240,4
7035,1975,1242,10
7035,1981,1236,2
7035,1929,1244,6
7035,1937,1244,8
7035,1923,1241,10
7035,1938,1228,2
7035,1943,1222,14
