typeid,posx,posy,dir
5331,1569,1402,8
5331,1576,1496,8
5331,1463,1508,8
5331,1545,1617,8
5331,1440,1604,8
5331,1431,1673,8
5331,1371,1751,8
5331,1339,1715,8
5331,1249,1730,8
5331,1163,1699,8
5331,1197,1609,8
5331,1088,1616,8
5331,1149,1632,8
5331,1074,1704,8
5331,1122,1765,8
5331,1080,1821,8
5331,1149,1847,8
5331,1094,1867,8
5331,1131,1952,8
5331,1077,1993,8
5331,1164,1989,8
5331,1232,1971,8
5331,1190,1906,8
5331,1218,1850,8
5331,1290,1881,8
5331,1331,1926,8
5331,1300,1972,8
5331,1411,1961,8
5331,1459,2013,8
5331,1487,1971,8
5331,1495,1940,8
5331,1442,1950,8
5331,1422,1981,8
5331,1485,1896,8
5331,1485,1852,8
5331,1437,1820,8
5331,1510,1757,8
5331,1556,1748,8
5331,1743,1733,8
5331,1687,1691,8
5331,1750,1622,8
5331,1808,1621,8
5331,1845,1579,8
5331,1893,1671,8
5331,1869,1742,8
5331,1993,1539,8
5331,1931,1595,8
5331,1749,1501,8
5331,1838,1431,8
5331,1923,1446,8
5331,1981,1485,8
5331,1994,1457,8
5331,1888,1480,8
5331,1753,1351,8
5331,1766,1408,8
5331,1672,1408,8
5331,1688,1323,8
5331,1474,1199,8
5331,1423,1208,8
5331,1380,1243,8
5331,1358,1163,8
5331,1351,1124,8
5331,1386,1081,8
5331,1464,1047,8
5331,1676,1146,8
5331,1691,1162,8
5331,1655,1164,8
5331,1675,1179,8
5331,1727,969,8
5331,1702,864,8
5331,1600,848,8
5331,1701,912,8
5331,1920,933,8
5331,2000,912,8
5331,1976,852,8
5331,1929,827,8
5331,1838,857,8
5331,1798,815,8
5331,1753,866,8
5331,1752,707,8
5331,1701,667,8
5331,1620,662,8
5331,1583,698,8
5331,1603,595,8
5331,1658,561,8
5331,1730,540,8
5331,1456,568,8
5331,1406,602,8
5331,1349,655,8
5331,1433,722,8
5331,1378,771,8
5331,1341,834,8
5331,1429,829,8
5331,1467,799,8
5331,1523,808,8
5331,1368,910,8
5331,1463,902,8
5331,1454,945,8
5331,1333,950,8
5331,1329,1017,8
5331,1982,1336,8
5331,1899,1344,8
5331,1801,1325,8
5331,1880,1155,8
5331,1877,1190,8
5331,1856,1228,8
5331,1831,1207,8
5331,1946,1103,8
5331,2006,1055,8
5331,1937,1016,8
5331,1913,986,8
5331,1887,1061,8
5331,2011,1153,8
5331,2022,839,8
5331,2010,674,8
5331,1950,701,8
5331,1920,634,8
5331,1972,603,8
5331,1888,551,8
5331,2014,549,8
5331,1844,563,8
5331,1789,567,8
5331,1813,613,8
5331,1855,672,8
5331,1823,719,8
5331,1805,691,8
5331,1335,559,8
5331,1388,858,8
5331,1308,871,8
5331,1435,1136,8
5331,1455,1093,8
5331,1469,1058,8
5331,1632,1206,8
5331,1716,1121,8
