typeid,posx,posy,dir
5695,-547,1993,12
5690,-562,1970,10
5689,-622,2004,6
5689,-574,1897,14
5689,-565,1964,14
5689,-624,1915,2
5689,-575,1967,4
5689,-585,1904,14
5690,-575,1959,0
5690,-612,1915,14
5690,-623,1929,8
5690,-586,1893,2
5690,-575,1904,8
5689,-612,1926,0
5689,-676,1967,6
5689,-609,1952,0
5690,-622,1994,4
5690,-612,1991,0
5689,-610,2003,12
5689,-666,1960,14
5690,-661,1920,2
5690,-671,1921,2
5690,-666,1929,8
5690,-681,1992,4
5690,-681,2004,4
5690,-674,1999,4
5689,-722,2005,6
5689,-715,2005,10
5689,-719,1997,2
5690,-568,1938,0
5690,-576,1938,2
5689,-617,1951,2
5689,-677,1956,4
5690,-619,1890,2
5690,-610,1889,14
5689,-584,1998,6
5689,-585,1990,10
5691,-605,1854,0
5691,-612,1854,0
5691,-618,1854,0
5690,-576,1855,14
5690,-574,1799,0
5690,-657,1851,6
5690,-657,1803,2
5689,-657,1844,4
5689,-657,1809,4
5689,-580,1799,8
5689,-578,1851,12
5691,-617,1799,0
5691,-608,1827,10
5691,-609,1799,0
5691,-641,1808,2
5691,-589,1843,14
5691,-636,1805,2
5691,-620,1827,6
5691,-639,1844,2
5691,-635,1845,2
5691,-595,1841,14
5691,-614,1828,8
5691,-593,1806,14
5691,-588,1809,14
5691,-608,1754,12
5691,-618,1754,4
5691,-618,1774,4
5691,-609,1774,12
5692,-618,1722,4
5692,-618,1713,4
5692,-606,1722,12
5692,-607,1713,12
5692,-631,1679,0
5692,-617,1678,0
5692,-624,1678,0
5692,-585,1670,14
5692,-585,1663,14
5692,-585,1656,14
5692,-602,1669,2
5692,-602,1662,2
5692,-601,1656,2
5692,-586,1649,14
5692,-601,1650,2
5692,-648,1700,6
5692,-649,1683,2
5692,-655,1700,6
5692,-655,1683,2
5692,-662,1700,6
5692,-668,1700,6
5692,-661,1683,2
5692,-668,1683,2
5692,-634,1702,8
5692,-627,1702,8
5659,-706,1691,4
5692,-587,1698,10
5692,-583,1692,12
5693,-593,1613,0
5691,-613,1795,0
5692,-713,1660,0
5692,-704,1661,0
5692,-712,1723,8
5692,-703,1722,8
5692,-714,1730,8
5692,-700,1729,8
5692,-715,1651,0
5692,-703,1652,0
