typeid,posx,posy,dir
4460,354,152,12
4460,353,146,10
4460,347,151,12
4460,375,161,8
4460,372,154,11
4460,378,156,15
4460,400,157,9
4460,395,151,13
4460,402,152,9
4460,417,139,13
4460,415,134,11
4460,421,134,15
4460,442,122,13
4460,447,118,15
4460,463,113,13
4460,457,114,9
4460,458,123,7
4461,463,141,8
4461,468,138,0
4461,462,135,8
4461,476,173,0
4461,485,175,8
4461,481,179,0
4461,475,211,8
4461,477,203,0
4461,470,198,8
4461,466,212,0
4461,495,188,0
4461,493,196,8
4462,103,129,8
4462,98,136,4
4462,94,129,6
4462,119,148,8
4462,113,142,8
4462,111,148,8
4463,66,169,8
4463,61,173,12
4463,70,174,4
4463,41,163,8
4463,46,169,10
4463,38,168,8
4462,61,142,8
4462,65,149,6
4462,56,151,0
4462,52,143,10
4463,43,127,8
4463,72,128,4
4463,53,122,6
4463,46,121,2
4463,74,123,4
4463,79,131,4
4462,48,114,4
4462,62,199,12
4462,68,194,10
4462,59,192,10
4460,367,102,10
4460,372,96,4
4460,362,96,8
4460,376,67,2
4460,382,74,10
4460,388,67,2
4461,340,121,8
4461,352,121,0
4461,347,115,8
4461,311,175,0
4461,323,174,8
4461,316,168,0
4461,235,166,8
4461,238,158,0
4461,233,151,8
4461,229,171,6
4460,271,150,8
4460,266,143,0
4460,279,145,8
4465,102,94,0
4465,107,88,6
4465,101,85,0
4465,92,61,8
4465,99,67,12
4465,93,68,10
4465,80,70,12
4465,77,63,0
4465,74,68,12
4465,81,41,10
4465,73,38,8
4465,74,46,0
4465,133,-17,10
4465,129,-24,2
4465,141,-18,10
4464,80,-40,8
4464,75,-32,8
4464,71,-42,0
4465,113,-37,8
4465,105,-34,0
4465,106,-43,8
4464,41,-34,8
4464,47,-26,10
4464,38,-25,0
4464,47,-60,4
4464,50,-51,8
4464,56,-62,6
4464,79,-69,10
4464,73,-61,10
4464,24,-59,8
4464,30,-52,0
4464,29,-68,8
4466,193,-107,14
4466,198,-114,14
4466,196,-99,6
4466,219,-89,14
4466,227,-86,6
4466,225,-95,14
4466,278,-75,14
4466,281,-83,6
4466,288,-77,14
4466,305,-95,6
4466,296,-93,14
4466,307,-85,6
4466,366,-28,14
4466,370,-14,12
4466,369,-23,14
4466,390,-40,14
4466,391,-48,8
4466,383,-43,10
4467,431,-42,8
4467,423,-39,0
4467,416,-45,14
4467,438,-18,0
4467,438,-26,8
4467,428,-19,0
4467,443,-87,14
4467,440,-94,14
4467,449,-93,12
4467,460,-40,8
4467,465,-47,0
4467,468,-39,10
4467,393,-82,2
4467,396,-73,2
4467,403,-84,2
4467,424,-65,10
4467,432,-66,14
4467,422,-72,14
4467,451,-68,8
4467,447,-59,8
4467,458,-64,0
4466,427,-131,8
4466,432,-124,0
4466,437,-131,8
4464,49,-90,6
4464,40,-92,2
4464,31,-93,2
4464,42,-151,10
4464,42,-135,2
4464,47,-143,2
4464,62,-172,0
4464,71,-171,6
4464,78,-164,14
4468,305,59,6
4468,311,54,6
4468,291,52,6
4468,292,43,4
4468,298,46,12
4468,319,33,2
4468,312,38,12
4468,309,34,4
4468,314,60,6
4469,268,51,4
4469,268,46,4
4469,276,48,4
4468,260,64,8
4468,256,70,0
4468,262,69,8
4468,256,14,0
4468,256,9,8
4468,261,13,0
4468,191,9,8
4468,190,16,0
4468,199,12,8
4469,190,37,8
4469,190,53,0
4469,187,33,8
4469,193,34,8
4469,187,58,0
4469,193,59,0
4468,189,45,8
4468,191,43,0
4468,192,46,8
4469,203,42,14
4469,203,48,10
4469,205,45,12
4468,203,67,8
4468,207,64,12
4468,207,68,8
4468,243,62,0
4468,240,56,0
4468,245,55,0
4468,242,26,8
4468,246,24,14
4468,245,31,8
4468,204,22,0
4468,204,29,14
4468,208,25,2
4469,241,41,4
4469,241,48,4
4469,235,44,4
4469,228,39,2
4469,226,49,6
4469,219,44,4
4470,177,-396,4
4470,172,-396,4
4470,167,-396,4
4470,177,-417,0
4470,173,-417,0
4470,169,-417,0
4470,151,-417,0
4470,152,-395,4
4469,147,-425,0
4469,155,-425,0
4469,148,-387,8
4469,104,-403,4
4469,100,-398,4
4469,104,-409,4
4469,99,-414,4
4470,113,-380,6
4470,118,-380,6
4470,116,-388,6
4470,118,-433,14
4470,113,-433,14
4470,116,-425,14
4469,156,-387,8
4471,416,213,4
4471,74,227,8
4474,76,224,8
4474,82,224,8
4474,76,218,10
4474,92,205,12
4474,84,205,10
4474,93,213,10
4471,172,-220,4
4475,169,-215,6
4475,168,-220,2
4475,162,-224,6
4475,118,-193,8
4475,127,-192,12
4475,116,-201,10
4475,79,-205,2
4475,95,-203,6
4475,87,-207,0
4471,56,-402,4
4477,57,-405,0
4477,57,-398,0
4477,60,-402,2
4477,136,-396,4
4477,129,-396,4
4477,133,-396,4
4477,136,-417,4
4477,133,-417,4
4477,129,-417,4
4471,389,-149,12
4476,399,-144,4
4476,399,-136,0
4476,398,-152,10
4476,423,-163,4
4476,424,-156,0
4476,418,-150,0
4462,153,176,8
4462,144,172,10
4462,153,159,0
4462,162,161,4
4474,151,76,0
4474,157,69,8
4474,160,77,2
4479,223,165,6
4481,154,85,2
4486,190,-406,8
4485,217,45,4
4494,146,-213,12
4498,47,206,8
4504,161,70,0
4500,459,-208,14
4503,75,-405,4
4497,420,210,6
4483,430,53,12
4483,83,-397,10
4463,41,187,8
4463,33,187,10
4463,37,194,2
4470,116,-396,8
4470,116,-417,14
