typeid,posx,posy,dir
5147,210,55,12
5149,169,45,4
5149,141,34,6
5149,175,33,0
5149,162,62,4
5149,132,52,2
5167,92,155,0
5150,73,69,6
5150,82,68,10
5150,78,75,8
5150,64,44,4
5150,59,50,4
5150,59,38,4
5150,96,36,4
5150,83,37,0
5150,90,39,0
5153,159,407,6
5153,157,415,10
5153,163,423,4
5153,164,410,6
5153,97,433,6
5153,100,442,10
5153,91,440,6
5153,138,402,12
5153,115,396,4
5153,138,396,12
5154,75,325,6
5154,76,334,2
5154,68,330,14
5154,112,308,2
5154,116,313,0
5154,109,318,0
5154,81,303,12
5154,87,298,6
5154,90,306,2
5154,77,356,2
5154,85,363,2
5154,83,350,6
5152,153,335,10
5152,176,361,12
5152,170,368,10
5152,163,364,10
5152,170,354,12
5152,179,369,10
5153,115,402,4
5153,115,408,6
5153,138,408,12
5152,156,327,14
5152,161,333,14
5152,136,355,6
5152,141,351,6
5152,142,358,6
5152,107,358,10
5152,110,349,12
5152,115,355,10
5154,70,384,4
5154,88,383,6
5154,78,384,10
5158,391,450,10
5158,314,423,10
5158,333,435,14
5158,350,359,10
5158,382,366,14
5156,340,403,8
5156,349,403,8
5156,358,403,8
5156,357,383,0
5156,348,383,0
5156,339,382,0
5158,417,414,8
5168,423,392,12
5158,421,369,8
5158,391,391,14
5158,321,359,14
5157,413,412,10
5157,415,418,14
5157,395,386,10
5157,395,394,12
5157,416,371,10
5157,419,366,8
5156,331,403,8
5156,331,382,0
5166,126,427,8
5161,336,572,2
5162,312,637,6
5163,364,693,8
5164,436,663,10
5165,432,584,14
5169,377,623,12
5172,364,603,0
5177,354,590,8
5173,353,624,4
5178,337,628,8
5174,371,646,8
5179,369,662,8
5175,397,636,10
5180,412,643,8
5176,396,608,12
5181,410,598,8
5183,141,290,8
5147,389,600,8
5184,73,53,6
5185,147,31,2
5186,181,68,8
5187,174,46,2
5188,128,54,10
5158,386,447,6
5158,396,447,10
5182,93,158,8
