typeid,posx,posy,dir
5672,576,1708,8
5671,586,1671,8
5671,577,1669,8
5671,583,1664,8
5671,565,1631,4
5671,561,1626,4
5671,558,1634,4
5671,613,1644,12
5671,618,1652,8
5671,622,1643,8
5671,606,1612,8
5671,599,1615,8
5671,606,1619,8
5671,621,1568,8
5671,631,1573,8
5671,627,1568,8
5670,587,1494,6
5670,599,1468,9
5670,598,1462,11
5670,582,1499,6
5670,594,1500,8
5670,605,1470,12
5671,605,1529,8
5671,611,1531,8
5671,651,1552,10
5671,656,1548,10
5670,703,1415,12
5670,697,1409,14
5670,694,1417,14
5670,672,1411,2
5670,664,1416,4
5670,672,1416,2
5670,710,1440,12
5670,702,1439,14
5670,705,1447,12
5670,671,1489,0
5670,678,1494,14
5670,681,1455,4
5670,675,1461,2
5670,702,1366,0
5670,687,1368,2
5670,666,1395,6
5674,758,1685,8
5674,763,1677,8
5674,754,1678,8
5674,807,1602,12
5674,807,1593,12
5674,799,1596,12
5674,756,1626,8
5674,753,1619,8
5674,757,1567,12
5674,756,1558,12
5674,728,1534,14
5674,720,1530,14
5674,793,1661,10
5674,799,1655,10
5674,787,1656,10
5674,794,1649,10
5670,672,1500,14
5670,666,1496,0
5670,669,1457,0
5677,564,1339,1
5674,834,1598,10
5674,833,1589,14
5681,824,1661,12
5682,824,1698,10
5678,824,1661,8
5679,824,1698,8
5680,795,1682,8
5683,795,1682,4
5673,682,1411,2
5685,584,1430,8
5686,714,1531,12
5687,772,1592,12
5670,601,1426,12
5670,597,1430,8
5670,595,1426,4
5670,578,1458,8
5670,580,1453,4
5670,575,1449,6
5670,586,1480,6
5670,591,1478,10
5671,679,1548,12
5671,683,1545,10
5671,547,1620,4
5671,545,1625,4
5671,583,1685,8
5671,577,1684,8
5671,633,1655,12
5671,630,1660,10
5671,595,1638,8
5671,588,1635,8
5671,593,1632,8
5674,712,1554,8
5674,704,1552,8
5670,625,1514,12
5670,620,1510,12
5670,619,1517,12
5670,673,1527,4
5670,669,1523,4
5670,663,1526,4
5670,642,1531,12
5670,646,1525,12
5670,646,1519,12
5670,639,1525,12
5671,621,1552,6
5671,624,1547,6
5671,618,1546,6
